YXC|BAH,|BAH|IST|FRA|YYC|YXC|
YXC|BEG,|BEG|IST|FRA|YYC|YXC|
YXC|BEN,|BEN|IST|FRA|YYC|YXC|
YXC|BEY,|BEY|IST|FRA|YYC|YXC|
YXC|BHX,|BHX|EWR|YYC|YXC|
YXC|BIO,|BIO|IST|FRA|YYC|YXC|
YXC|BLQ,|BLQ|IST|FRA|YYC|YXC|
YXC|BOM,|BOM|IST|FRA|YYC|YXC|
YXC|BRE,|BRE|IST|FRA|YYC|YXC|
YXC|BSL,|BSL|IST|FRA|YYC|YXC|
YXC|BSR,|BSR|IST|FRA|YYC|YXC|
YXC|BUD,|BUD|IST|FRA|YYC|YXC|
YXC|BUS,|BUS|IST|FRA|YYC|YXC|
YXC|CAI,|CAI|IST|FRA|YYC|YXC|
YXC|CGN,|CGN|IST|FRA|YYC|YXC|
YXC|CMN,|CMN|IST|FRA|YYC|YXC|
YXC|CND,|CND|IST|FRA|YYC|YXC|
YXC|DAR,|DAR|IST|FRA|YYC|YXC|
YXC|DLM,|DLM|IST|FRA|YYC|YXC|
YXC|DMM,|DMM|IST|FRA|YYC|YXC|
YXC|DNK,|DNK|IST|FRA|YYC|YXC|
YXC|DNZ,|DNZ|IST|FRA|YYC|YXC|
YXC|DOK,|DOK|IST|FRA|YYC|YXC|
YXC|DUS,|DUS|ORD|YYC|YXC|
YXC|EDI,|EDI|EWR|YYC|YXC|
YXC|ELQ,|ELQ|IST|FRA|YYC|YXC|
YXC|FDH,|FDH|IST|FRA|YYC|YXC|
YXC|GOA,|GOA|IST|FRA|YYC|YXC|
YXC|GOT,|GOT|BRU|YUL|YYC|YXC|
YXC|HAJ,|HAJ|BRU|YUL|YYC|YXC|
YXC|HBE,|HBE|IST|FRA|YYC|YXC|
YXC|HEL,|HEL|IST|FRA|YYC|YXC|
YXC|HRG,|HRG|IST|FRA|YYC|YXC|
YXC|IFN,|IFN|IST|FRA|YYC|YXC|
YXC|ISE,|ISE|IST|FRA|YYC|YXC|
YXC|ISU,|ISU|IST|FRA|YYC|YXC|
YXC|JIB,|JIB|IST|FRA|YYC|YXC|
YXC|JRO,|JRO|IST|FRA|YYC|YXC|
YXC|KAN,|KAN|IST|FRA|YYC|YXC|
YXC|KBL,|KBL|IST|FRA|YYC|YXC|
YXC|KBP,|KBP|IST|FRA|YYC|YXC|
YXC|KFS,|KFS|IST|FRA|YYC|YXC|
YXC|KHI,|KHI|IST|FRA|YYC|YXC|
YXC|KIV,|KIV|IST|FRA|YYC|YXC|
YXC|KRT,|KRT|IST|FRA|YYC|YXC|
YXC|KSH,|KSH|IST|FRA|YYC|YXC|
YXC|KVD,|KVD|IST|FRA|YYC|YXC|
YXC|KWI,|KWI|SAW|FRA|YYC|YXC|
YXC|KYA,|KYA|IST|FRA|YYC|YXC|
YXC|KZN,|KZN|IST|FRA|YYC|YXC|
YXC|KZR,|KZR|IST|FRA|YYC|YXC|
YXC|LED,|LED|VIE|YYZ|YYC|YXC|
YXC|LEJ,|LEJ|IST|FRA|YYC|YXC|
YXC|LGW,|LGW|IST|FRA|YYC|YXC|
YXC|LHE,|LHE|IST|FRA|YYC|YXC|
YXC|LIS,|LIS|EWR|YYC|YXC|
