SRQ|MCT,|MCT|IST|ORD|SRQ|
SRQ|AYT,|AYT|IST|ORD|SRQ|
SRQ|SCQ,|SCQ|BIO|IST|ORD|SRQ|
SRQ|AAL,|AAL|IST|ORD|SRQ|
SRQ|AOE,|AOE|BRU|ORD|SRQ|
SRQ|JNB,|JNB|DKR|IAD|ORD|SRQ|
SRQ|LBV,|LBV|DLA|BRU|ORD|SRQ|
SRQ|ADA,|ADA|IST|ORD|SRQ|
SRQ|ADB,|ADB|IST|ORD|SRQ|
SRQ|ADF,|ADF|ESB|VIE|ORD|SRQ|
SRQ|AJI,|AJI|ESB|VIE|ORD|SRQ|
SRQ|BAL,|BAL|ESB|VIE|ORD|SRQ|
SRQ|BJV,|BJV|IST|ORD|SRQ|
SRQ|CKZ,|CKZ|ESB|VIE|ORD|SRQ|
SRQ|DIY,|DIY|ESB|VIE|ORD|SRQ|
SRQ|ECN,|ECN|IST|ORD|SRQ|
SRQ|ERC,|ERC|ESB|VIE|ORD|SRQ|
SRQ|ERZ,|ERZ|ESB|VIE|ORD|SRQ|
SRQ|EZS,|EZS|ESB|VIE|ORD|SRQ|
SRQ|GNY,|GNY|ESB|VIE|ORD|SRQ|
SRQ|GZP,|GZP|ESB|VIE|ORD|SRQ|
SRQ|GZT,|GZT|ESB|VIE|ORD|SRQ|
SRQ|HTY,|HTY|IST|ORD|SRQ|
SRQ|KCM,|KCM|ESB|VIE|ORD|SRQ|
SRQ|KSY,|KSY|ESB|VIE|ORD|SRQ|
SRQ|MLX,|MLX|ESB|VIE|ORD|SRQ|
SRQ|MQM,|MQM|ESB|VIE|ORD|SRQ|
SRQ|MSR,|MSR|ESB|VIE|ORD|SRQ|
SRQ|TEQ,|TEQ|ESB|VIE|ORD|SRQ|
SRQ|TZX,|TZX|ESB|VIE|ORD|SRQ|
SRQ|VAN,|VAN|ESB|VIE|ORD|SRQ|
SRQ|ULN,|ULN|FRU|IST|ORD|SRQ|
SRQ|HIJ,|HIJ|ICN|YVR|ORD|SRQ|
SRQ|VVO,|VVO|ICN|YVR|ORD|SRQ|
SRQ|ACC,|ACC|IST|ORD|SRQ|
SRQ|AER,|AER|IST|ORD|SRQ|
SRQ|AGP,|AGP|IST|ORD|SRQ|
SRQ|ALG,|ALG|IST|ORD|SRQ|
SRQ|AMM,|AMM|IST|ORD|SRQ|
SRQ|AQJ,|AQJ|IST|ORD|SRQ|
SRQ|ARN,|ARN|EWR|ORD|SRQ|
SRQ|ASR,|ASR|SAW|VIE|ORD|SRQ|
SRQ|ATH,|ATH|IST|ORD|SRQ|
SRQ|BAH,|BAH|IST|ORD|SRQ|
SRQ|BEG,|BEG|IST|ORD|SRQ|
SRQ|BEN,|BEN|IST|ORD|SRQ|
SRQ|BEY,|BEY|IST|ORD|SRQ|
SRQ|BHX,|BHX|EWR|ORD|SRQ|
SRQ|BIO,|BIO|IST|ORD|SRQ|
SRQ|BLQ,|BLQ|IST|ORD|SRQ|
SRQ|BOM,|BOM|IST|ORD|SRQ|
SRQ|BRE,|BRE|IST|ORD|SRQ|
SRQ|BSL,|BSL|IST|ORD|SRQ|
SRQ|BSR,|BSR|IST|ORD|SRQ|
SRQ|BUD,|BUD|IST|ORD|SRQ|
SRQ|BUS,|BUS|IST|ORD|SRQ|
SRQ|CAI,|CAI|IST|ORD|SRQ|
SRQ|CGN,|CGN|IST|ORD|SRQ|
SRQ|CMN,|CMN|IST|ORD|SRQ|
SRQ|CND,|CND|IST|ORD|SRQ|
SRQ|DAR,|DAR|NBO|ZRH|ORD|SRQ|
SRQ|DLM,|DLM|IST|ORD|SRQ|
SRQ|DMM,|DMM|IST|ORD|SRQ|
SRQ|DNK,|DNK|IST|ORD|SRQ|
SRQ|DNZ,|DNZ|IST|ORD|SRQ|
SRQ|DOK,|DOK|IST|ORD|SRQ|
SRQ|DUS,|DUS|ORD|SRQ|
SRQ|EDI,|EDI|EWR|ORD|SRQ|
SRQ|ELQ,|ELQ|IST|ORD|SRQ|
SRQ|FDH,|FDH|IST|ORD|SRQ|
SRQ|GOA,|GOA|IST|ORD|SRQ|
SRQ|GOT,|GOT|BRU|ORD|SRQ|
SRQ|HAJ,|HAJ|BRU|ORD|SRQ|
SRQ|HBE,|HBE|IST|ORD|SRQ|
SRQ|HEL,|HEL|IST|ORD|SRQ|
SRQ|HRG,|HRG|IST|ORD|SRQ|
SRQ|IFN,|IFN|IST|ORD|SRQ|
SRQ|ISE,|ISE|IST|ORD|SRQ|
SRQ|ISU,|ISU|IST|ORD|SRQ|
SRQ|JIB,|JIB|IST|ORD|SRQ|
SRQ|JRO,|JRO|IST|ORD|SRQ|
SRQ|KAN,|KAN|IST|ORD|SRQ|
SRQ|KBL,|KBL|IST|ORD|SRQ|
SRQ|KBP,|KBP|IST|ORD|SRQ|
SRQ|KFS,|KFS|IST|ORD|SRQ|
SRQ|KHI,|KHI|IST|ORD|SRQ|
SRQ|KIV,|KIV|IST|ORD|SRQ|
SRQ|KRT,|KRT|IST|ORD|SRQ|
SRQ|KSH,|KSH|IST|ORD|SRQ|
SRQ|KVD,|KVD|IST|ORD|SRQ|
SRQ|KWI,|KWI|SAW|VIE|ORD|SRQ|
SRQ|KYA,|KYA|IST|ORD|SRQ|
SRQ|KZN,|KZN|IST|ORD|SRQ|
SRQ|KZR,|KZR|IST|ORD|SRQ|
SRQ|LED,|LED|VIE|ORD|SRQ|
SRQ|LEJ,|LEJ|IST|ORD|SRQ|
SRQ|LGW,|LGW|IST|ORD|SRQ|
SRQ|LHE,|LHE|IST|ORD|SRQ|
SRQ|LIS,|LIS|EWR|ORD|SRQ|
SRQ|LJU,|LJU|IST|ORD|SRQ|
SRQ|LOS,|LOS|FRA|ORD|SRQ|
SRQ|LUX,|LUX|IST|ORD|SRQ|
SRQ|LWO,|LWO|IST|ORD|SRQ|
SRQ|LYS,|LYS|IST|ORD|SRQ|
SRQ|MAD,|MAD|EWR|ORD|SRQ|
SRQ|MAN,|MAN|EWR|ORD|SRQ|
SRQ|MED,|MED|IST|ORD|SRQ|
SRQ|MHD,|MHD|IST|ORD|SRQ|
SRQ|MLA,|MLA|IST|ORD|SRQ|
SRQ|MRS,|MRS|IST|ORD|SRQ|
SRQ|MSQ,|MSQ|IST|ORD|SRQ|
SRQ|MXP,|MXP|EWR|ORD|SRQ|
SRQ|MZH,|MZH|IST|ORD|SRQ|
SRQ|MZR,|MZR|IST|ORD|SRQ|
SRQ|NAJ,|NAJ|IST|ORD|SRQ|
SRQ|NAV,|NAV|IST|ORD|SRQ|
SRQ|NCE,|NCE|IST|ORD|SRQ|
SRQ|NIM,|NIM|IST|ORD|SRQ|
SRQ|NJF,|NJF|IST|ORD|SRQ|
SRQ|NSI,|NSI|BRU|ORD|SRQ|
SRQ|NUE,|NUE|IST|ORD|SRQ|
SRQ|ODS,|ODS|IST|ORD|SRQ|
SRQ|ORN,|ORN|IST|ORD|SRQ|
