YUM|TRN,|TRN|IST|LAX|YUM|
YUM|TUN,|TUN|IST|LAX|YUM|
YUM|TXL,|TXL|EWR|LAX|YUM|
YUM|UFA,|UFA|IST|LAX|YUM|
YUM|VAS,|VAS|IST|LAX|YUM|
YUM|VCE,|VCE|IST|LAX|YUM|
YUM|YNB,|YNB|IST|LAX|YUM|
YUM|ZAG,|ZAG|IST|LAX|YUM|
YUM|MGQ,|MGQ|JIB|IST|LAX|YUM|
YUM|CPT,|CPT|JNB|DKR|IAD|LAX|YUM|
YUM|MBA,|MBA|JRO|IST|LAX|YUM|
YUM|NDJ,|NDJ|KAN|IST|LAX|YUM|
YUM|CMB,|CMB|MLE|CAN|LAX|YUM|
YUM|ADE,|ADE|SAH|IST|LAX|YUM|
YUM|ASF,|ASF|SAW|FRA|LAX|YUM|
