RSW|BKI,|BKI|SZX|PEK|ORD|RSW|
RSW|AKU,|AKU|URC|TSE|FRA|MCO|RSW|
RSW|ALA,|ALA|TSE|FRA|MCO|RSW|
RSW|ASB,|ASB|GYD|FRA|MCO|RSW|
RSW|DNH,|DNH|URC|TSE|FRA|MCO|RSW|
RSW|DYU,|DYU|IST|FRA|MCO|RSW|
RSW|FRU,|FRU|IST|FRA|MCO|RSW|
RSW|GYD,|GYD|FRA|MCO|RSW|
RSW|HTN,|HTN|URC|TSE|FRA|MCO|RSW|
RSW|IKA,|IKA|SAW|FRA|MCO|RSW|
RSW|KCA,|KCA|URC|TSE|FRA|MCO|RSW|
RSW|KHG,|KHG|URC|TSE|FRA|MCO|RSW|
RSW|KRL,|KRL|URC|TSE|FRA|MCO|RSW|
RSW|KRY,|KRY|URC|TSE|FRA|MCO|RSW|
RSW|LBD,|LBD|URC|TSE|FRA|MCO|RSW|
RSW|NLT,|NLT|URC|TSE|FRA|MCO|RSW|
RSW|OSS,|OSS|IST|FRA|MCO|RSW|
RSW|OVB,|OVB|IST|FRA|MCO|RSW|
RSW|TBS,|TBS|SAW|FRA|MCO|RSW|
RSW|TCG,|TCG|URC|TSE|FRA|MCO|RSW|
RSW|TSE,|TSE|FRA|MCO|RSW|
RSW|YIN,|YIN|URC|TSE|FRA|MCO|RSW|
RSW|ENH,|ENH|WUH|PEK|ORD|RSW|
RSW|ENY,|ENY|XIY|PEK|ORD|RSW|
RSW|WXN,|WXN|XIY|PEK|ORD|RSW|
RSW|BLL,|BLL|IST|FRA|MCO|RSW|
RSW|ESB,|ESB|FRA|MCO|RSW|
RSW|SAW,|SAW|FRA|MCO|RSW|
RSW|HAM,|HAM|EWR|RSW|
RSW|HRE,|HRE|ADD|JED|FRA|MCO|RSW|
RSW|JUB,|JUB|CAI|JFK|IAD|MCO|RSW|
RSW|SSG,|SSG|DLA|BRU|EWR|RSW|
RSW|BGW,|BGW|ESB|FRA|MCO|RSW|
RSW|EBL,|EBL|IST|FRA|MCO|RSW|
RSW|VKO,|VKO|IST|FRA|MCO|RSW|
RSW|MCT,|MCT|IST|FRA|MCO|RSW|
RSW|AYT,|AYT|IST|FRA|MCO|RSW|
RSW|SCQ,|SCQ|BIO|IST|FRA|MCO|RSW|
RSW|AAL,|AAL|IST|FRA|MCO|RSW|
RSW|AOE,|AOE|BRU|EWR|RSW|
RSW|JNB,|JNB|DKR|IAD|MCO|RSW|
RSW|LBV,|LBV|DLA|BRU|EWR|RSW|
RSW|ADA,|ADA|SAW|FRA|MCO|RSW|
RSW|ADB,|ADB|HAM|EWR|RSW|
RSW|ADF,|ADF|ESB|FRA|MCO|RSW|
RSW|AJI,|AJI|ESB|FRA|MCO|RSW|
RSW|BAL,|BAL|ESB|FRA|MCO|RSW|
RSW|BJV,|BJV|IST|FRA|MCO|RSW|
RSW|CKZ,|CKZ|ESB|FRA|MCO|RSW|
RSW|DIY,|DIY|ESB|FRA|MCO|RSW|
RSW|ECN,|ECN|IST|FRA|MCO|RSW|
RSW|ERC,|ERC|ESB|FRA|MCO|RSW|
RSW|ERZ,|ERZ|ESB|FRA|MCO|RSW|
RSW|EZS,|EZS|ESB|FRA|MCO|RSW|
RSW|GNY,|GNY|ESB|FRA|MCO|RSW|
RSW|GZP,|GZP|ESB|FRA|MCO|RSW|
RSW|GZT,|GZT|ESB|FRA|MCO|RSW|
RSW|HTY,|HTY|SAW|FRA|MCO|RSW|
RSW|KCM,|KCM|ESB|FRA|MCO|RSW|
RSW|KSY,|KSY|ESB|FRA|MCO|RSW|
RSW|MLX,|MLX|ESB|FRA|MCO|RSW|
RSW|MQM,|MQM|ESB|FRA|MCO|RSW|
RSW|MSR,|MSR|ESB|FRA|MCO|RSW|
RSW|TEQ,|TEQ|ESB|FRA|MCO|RSW|
RSW|TZX,|TZX|ESB|FRA|MCO|RSW|
RSW|VAN,|VAN|ESB|FRA|MCO|RSW|
RSW|ULN,|ULN|FRU|IST|FRA|MCO|RSW|
RSW|HIJ,|HIJ|ICN|YVR|DEN|RSW|
RSW|VVO,|VVO|ICN|YVR|DEN|RSW|
RSW|ACC,|ACC|IST|FRA|MCO|RSW|
RSW|AER,|AER|IST|FRA|MCO|RSW|
RSW|AGP,|AGP|IST|FRA|MCO|RSW|
RSW|ALG,|ALG|IST|FRA|MCO|RSW|
RSW|AMM,|AMM|IST|FRA|MCO|RSW|
RSW|AQJ,|AQJ|IST|FRA|MCO|RSW|
RSW|ARN,|ARN|EWR|RSW|
RSW|ASR,|ASR|SAW|FRA|MCO|RSW|
RSW|ATH,|ATH|IST|FRA|MCO|RSW|
RSW|BAH,|BAH|IST|FRA|MCO|RSW|
RSW|BEG,|BEG|IST|FRA|MCO|RSW|
RSW|BEN,|BEN|IST|FRA|MCO|RSW|
RSW|BEY,|BEY|IST|FRA|MCO|RSW|
RSW|BHX,|BHX|EWR|RSW|
RSW|BIO,|BIO|IST|FRA|MCO|RSW|
RSW|BLQ,|BLQ|IST|FRA|MCO|RSW|
RSW|BOM,|BOM|EWR|RSW|
RSW|BRE,|BRE|IST|FRA|MCO|RSW|
RSW|BSL,|BSL|IST|FRA|MCO|RSW|
RSW|BSR,|BSR|IST|FRA|MCO|RSW|
RSW|BUD,|BUD|IST|FRA|MCO|RSW|
RSW|BUS,|BUS|IST|FRA|MCO|RSW|
RSW|CAI,|CAI|JFK|IAD|MCO|RSW|
RSW|CGN,|CGN|IST|FRA|MCO|RSW|
RSW|CMN,|CMN|IST|FRA|MCO|RSW|
RSW|CND,|CND|IST|FRA|MCO|RSW|
RSW|DAR,|DAR|NBO|ZRH|BOS|MCO|RSW|
RSW|DLM,|DLM|IST|FRA|MCO|RSW|
RSW|DMM,|DMM|IST|FRA|MCO|RSW|
RSW|DNK,|DNK|IST|FRA|MCO|RSW|
RSW|DNZ,|DNZ|IST|FRA|MCO|RSW|
RSW|DOK,|DOK|IST|FRA|MCO|RSW|
RSW|DUS,|DUS|EWR|RSW|
RSW|EDI,|EDI|EWR|RSW|
RSW|ELQ,|ELQ|IST|FRA|MCO|RSW|
RSW|FDH,|FDH|IST|FRA|MCO|RSW|
RSW|GOA,|GOA|IST|FRA|MCO|RSW|
RSW|GOT,|GOT|BRU|EWR|RSW|
RSW|HAJ,|HAJ|BRU|EWR|RSW|
RSW|HBE,|HBE|IST|FRA|MCO|RSW|
RSW|HEL,|HEL|IST|FRA|MCO|RSW|
RSW|HRG,|HRG|IST|FRA|MCO|RSW|
RSW|IFN,|IFN|IST|FRA|MCO|RSW|
RSW|ISE,|ISE|IST|FRA|MCO|RSW|
RSW|ISU,|ISU|IST|FRA|MCO|RSW|
RSW|JIB,|JIB|IST|FRA|MCO|RSW|
RSW|JRO,|JRO|IST|FRA|MCO|RSW|
RSW|KAN,|KAN|IST|FRA|MCO|RSW|
RSW|KBL,|KBL|IST|FRA|MCO|RSW|
RSW|KBP,|KBP|IST|FRA|MCO|RSW|
RSW|KFS,|KFS|IST|FRA|MCO|RSW|
RSW|KHI,|KHI|IST|FRA|MCO|RSW|
RSW|KIV,|KIV|IST|FRA|MCO|RSW|
RSW|KRT,|KRT|IST|FRA|MCO|RSW|
RSW|KSH,|KSH|IST|FRA|MCO|RSW|
RSW|KVD,|KVD|IST|FRA|MCO|RSW|
RSW|KWI,|KWI|SAW|FRA|MCO|RSW|
RSW|KYA,|KYA|IST|FRA|MCO|RSW|
RSW|KZN,|KZN|IST|FRA|MCO|RSW|
RSW|KZR,|KZR|IST|FRA|MCO|RSW|
RSW|LED,|LED|VIE|IAD|MCO|RSW|
RSW|LEJ,|LEJ|IST|FRA|MCO|RSW|
RSW|LGW,|LGW|IST|FRA|MCO|RSW|
RSW|LHE,|LHE|IST|FRA|MCO|RSW|
RSW|LIS,|LIS|EWR|RSW|
RSW|LJU,|LJU|IST|FRA|MCO|RSW|
RSW|LOS,|LOS|IAH|RSW|
RSW|LUX,|LUX|IST|FRA|MCO|RSW|
RSW|LWO,|LWO|IST|FRA|MCO|RSW|
RSW|LYS,|LYS|IST|FRA|MCO|RSW|
RSW|MAD,|MAD|EWR|RSW|
RSW|MAN,|MAN|EWR|RSW|
RSW|MED,|MED|IST|FRA|MCO|RSW|
RSW|MHD,|MHD|IST|FRA|MCO|RSW|
RSW|MLA,|MLA|IST|FRA|MCO|RSW|
RSW|MRS,|MRS|IST|FRA|MCO|RSW|
RSW|MSQ,|MSQ|IST|FRA|MCO|RSW|
RSW|MXP,|MXP|EWR|RSW|
RSW|MZH,|MZH|IST|FRA|MCO|RSW|
RSW|MZR,|MZR|IST|FRA|MCO|RSW|
RSW|NAJ,|NAJ|IST|FRA|MCO|RSW|
RSW|NAV,|NAV|IST|FRA|MCO|RSW|
RSW|NCE,|NCE|IST|FRA|MCO|RSW|
RSW|NIM,|NIM|IST|FRA|MCO|RSW|
RSW|NJF,|NJF|IST|FRA|MCO|RSW|
RSW|NSI,|NSI|BRU|EWR|RSW|
RSW|NUE,|NUE|IST|FRA|MCO|RSW|
RSW|ODS,|ODS|IST|FRA|MCO|RSW|
RSW|ORN,|ORN|IST|FRA|MCO|RSW|
RSW|OTP,|OTP|IST|FRA|MCO|RSW|
RSW|PRG,|PRG|BRU|EWR|RSW|
RSW|PRN,|PRN|IST|FRA|MCO|RSW|
RSW|RIX,|RIX|IST|FRA|MCO|RSW|
RSW|ROV,|ROV|IST|FRA|MCO|RSW|
RSW|RTM,|RTM|IST|FRA|MCO|RSW|
RSW|RUH,|RUH|IST|FRA|MCO|RSW|
RSW|SAH,|SAH|IST|FRA|MCO|RSW|
RSW|SJJ,|SJJ|IST|FRA|MCO|RSW|
