YSB|NAJ,|NAJ|IST|YYZ|YSB|
YSB|NAV,|NAV|IST|YYZ|YSB|
YSB|NCE,|NCE|IST|YYZ|YSB|
YSB|NIM,|NIM|IST|YYZ|YSB|
YSB|NJF,|NJF|IST|YYZ|YSB|
YSB|NSI,|NSI|BRU|YUL|YYZ|YSB|
YSB|NUE,|NUE|IST|YYZ|YSB|
YSB|ODS,|ODS|IST|YYZ|YSB|
YSB|ORN,|ORN|IST|YYZ|YSB|
YSB|OTP,|OTP|IST|YYZ|YSB|
YSB|PRG,|PRG|BRU|YUL|YYZ|YSB|
YSB|PRN,|PRN|IST|YYZ|YSB|
YSB|RIX,|RIX|IST|YYZ|YSB|
YSB|ROV,|ROV|IST|YYZ|YSB|
YSB|RTM,|RTM|IST|YYZ|YSB|
YSB|RUH,|RUH|IST|YYZ|YSB|
YSB|SAH,|SAH|IST|YYZ|YSB|
YSB|SJJ,|SJJ|IST|YYZ|YSB|
YSB|SKG,|SKG|IST|YYZ|YSB|
YSB|SKP,|SKP|IST|YYZ|YSB|
YSB|SSH,|SSH|IST|YYZ|YSB|
YSB|STR,|STR|EWR|YYZ|YSB|
YSB|SVX,|SVX|IST|YYZ|YSB|
YSB|SYZ,|SYZ|IST|YYZ|YSB|
YSB|SZG,|SZG|IST|YYZ|YSB|
YSB|TBZ,|TBZ|IST|YYZ|YSB|
YSB|TGD,|TGD|IST|YYZ|YSB|
YSB|TIA,|TIA|IST|YYZ|YSB|
YSB|TIF,|TIF|IST|YYZ|YSB|
YSB|TIP,|TIP|IST|YYZ|YSB|
YSB|TLL,|TLL|VNO|CPH|YYZ|YSB|
YSB|TLS,|TLS|IST|YYZ|YSB|
