ATL|MXP,|MXP|EWR|ATL|
ATL|MZH,|MZH|IST|FRA|ATL|
ATL|MZR,|MZR|IST|FRA|ATL|
ATL|NAJ,|NAJ|IST|FRA|ATL|
ATL|NAV,|NAV|IST|FRA|ATL|
ATL|NCE,|NCE|IST|FRA|ATL|
ATL|NIM,|NIM|IST|FRA|ATL|
ATL|NJF,|NJF|IST|FRA|ATL|
ATL|NSI,|NSI|BRU|IAD|ATL|
ATL|NUE,|NUE|IST|FRA|ATL|
ATL|ODS,|ODS|IST|FRA|ATL|
ATL|ORN,|ORN|IST|FRA|ATL|
ATL|OTP,|OTP|IST|FRA|ATL|
ATL|PRG,|PRG|BRU|IAD|ATL|
ATL|PRN,|PRN|IST|FRA|ATL|
ATL|RIX,|RIX|IST|FRA|ATL|
ATL|ROV,|ROV|IST|FRA|ATL|
ATL|RTM,|RTM|IST|FRA|ATL|
ATL|RUH,|RUH|IST|FRA|ATL|
ATL|SAH,|SAH|IST|FRA|ATL|
ATL|SJJ,|SJJ|IST|FRA|ATL|
ATL|SKG,|SKG|IST|FRA|ATL|
ATL|SKP,|SKP|IST|FRA|ATL|
ATL|SSH,|SSH|IST|FRA|ATL|
ATL|STR,|STR|EWR|ATL|
ATL|SVX,|SVX|IST|FRA|ATL|
ATL|SYZ,|SYZ|IST|FRA|ATL|
ATL|SZG,|SZG|IST|FRA|ATL|
ATL|TBZ,|TBZ|IST|FRA|ATL|
ATL|TGD,|TGD|IST|FRA|ATL|
ATL|TIA,|TIA|IST|FRA|ATL|
ATL|TIF,|TIF|IST|FRA|ATL|
ATL|TIP,|TIP|IST|FRA|ATL|
ATL|TLL,|TLL|VNO|CPH|YYZ|ATL|
ATL|TLS,|TLS|IST|FRA|ATL|
ATL|TRN,|TRN|IST|FRA|ATL|
ATL|TUN,|TUN|IST|FRA|ATL|
ATL|TXL,|TXL|EWR|ATL|
ATL|UFA,|UFA|IST|FRA|ATL|
ATL|VAS,|VAS|SAW|FRA|ATL|
ATL|VCE,|VCE|IST|FRA|ATL|
ATL|YNB,|YNB|IST|FRA|ATL|
ATL|ZAG,|ZAG|IST|FRA|ATL|
ATL|MGQ,|MGQ|JIB|IST|FRA|ATL|
ATL|CPT,|CPT|JNB|DKR|IAD|ATL|
ATL|MBA,|MBA|JRO|IST|FRA|ATL|
ATL|NDJ,|NDJ|KAN|IST|FRA|ATL|
ATL|CMB,|CMB|MLE|IST|FRA|ATL|
ATL|ADE,|ADE|SAH|IST|FRA|ATL|
ATL|ASF,|ASF|SAW|FRA|ATL|
ATL|STW,|STW|SAW|FRA|ATL|
ATL|LFW,|LFW|ABJ|BRU|IAD|ATL|
ATL|CEC,|CEC|ACV|SMF|DEN|ATL|
ATL|SMF,|SMF|DEN|ATL|
ATL|CDR,|CDR|AIA|DEN|ATL|
ATL|FMN,|FMN|DEN|ATL|
ATL|JST,|JST|IAD|ATL|
ATL|JHW,|JHW|CLE|ATL|
ATL|SHD,|SHD|IAD|ATL|
ATL|PTY,|PTY|MCO|ATL|
ATL|FNA,|FNA|BRU|IAD|ATL|
ATL|SXB,|SXB|BRU|IAD|ATL|
ATL|ACV,|ACV|SMF|DEN|ATL|
ATL|MGW,|MGW|IAD|ATL|
ATL|ALB,|ALB|IAD|ATL|
ATL|AUS,|AUS|ATL|
ATL|BFD,|BFD|CLE|ATL|
ATL|BUF,|BUF|CLE|ATL|
ATL|CHS,|CHS|ATL|
ATL|DAY,|DAY|ATL|
ATL|DUJ,|DUJ|CLE|ATL|
ATL|ERI,|ERI|CLE|ATL|
