MCO|KSY,|KSY|ESB|FRA|MCO|
MCO|MLX,|MLX|ESB|FRA|MCO|
MCO|MQM,|MQM|ESB|FRA|MCO|
MCO|MSR,|MSR|ESB|FRA|MCO|
MCO|TEQ,|TEQ|ESB|FRA|MCO|
MCO|TZX,|TZX|ESB|FRA|MCO|
MCO|VAN,|VAN|ESB|FRA|MCO|
MCO|ULN,|ULN|FRU|IST|FRA|MCO|
MCO|HIJ,|HIJ|ICN|YVR|DEN|MCO|
MCO|VVO,|VVO|ICN|YVR|DEN|MCO|
MCO|ACC,|ACC|IST|FRA|MCO|
MCO|AER,|AER|IST|FRA|MCO|
MCO|AGP,|AGP|IST|FRA|MCO|
MCO|ALG,|ALG|IST|FRA|MCO|
MCO|AMM,|AMM|IST|FRA|MCO|
MCO|AQJ,|AQJ|IST|FRA|MCO|
MCO|ARN,|ARN|EWR|MCO|
MCO|ASR,|ASR|SAW|FRA|MCO|
MCO|ATH,|ATH|IST|FRA|MCO|
MCO|BAH,|BAH|IST|FRA|MCO|
MCO|BEG,|BEG|IST|FRA|MCO|
MCO|BEN,|BEN|IST|FRA|MCO|
MCO|BEY,|BEY|IST|FRA|MCO|
MCO|BHX,|BHX|EWR|MCO|
MCO|BIO,|BIO|IST|FRA|MCO|
MCO|BLQ,|BLQ|IST|FRA|MCO|
MCO|BOM,|BOM|EWR|MCO|
MCO|BRE,|BRE|IST|FRA|MCO|
MCO|BSL,|BSL|IST|FRA|MCO|
MCO|BSR,|BSR|IST|FRA|MCO|
MCO|BUD,|BUD|IST|FRA|MCO|
MCO|BUS,|BUS|IST|FRA|MCO|
MCO|CAI,|CAI|JFK|IAD|MCO|
MCO|CGN,|CGN|IST|FRA|MCO|
MCO|CMN,|CMN|IST|FRA|MCO|
MCO|CND,|CND|IST|FRA|MCO|
MCO|DAR,|DAR|NBO|ZRH|BOS|MCO|
MCO|DLM,|DLM|IST|FRA|MCO|
MCO|DMM,|DMM|IST|FRA|MCO|
MCO|DNK,|DNK|IST|FRA|MCO|
MCO|DNZ,|DNZ|IST|FRA|MCO|
MCO|DOK,|DOK|IST|FRA|MCO|
MCO|DUS,|DUS|EWR|MCO|
MCO|EDI,|EDI|EWR|MCO|
MCO|ELQ,|ELQ|IST|FRA|MCO|
MCO|FDH,|FDH|IST|FRA|MCO|
MCO|GOA,|GOA|IST|FRA|MCO|
MCO|GOT,|GOT|BRU|EWR|MCO|
MCO|HAJ,|HAJ|BRU|EWR|MCO|
MCO|HBE,|HBE|IST|FRA|MCO|
MCO|HEL,|HEL|IST|FRA|MCO|
MCO|HRG,|HRG|IST|FRA|MCO|
MCO|IFN,|IFN|IST|FRA|MCO|
MCO|ISE,|ISE|IST|FRA|MCO|
MCO|ISU,|ISU|IST|FRA|MCO|
MCO|JIB,|JIB|IST|FRA|MCO|
MCO|JRO,|JRO|IST|FRA|MCO|
MCO|KAN,|KAN|IST|FRA|MCO|
MCO|KBL,|KBL|IST|FRA|MCO|
MCO|KBP,|KBP|IST|FRA|MCO|
MCO|KFS,|KFS|IST|FRA|MCO|
MCO|KHI,|KHI|IST|FRA|MCO|
MCO|KIV,|KIV|IST|FRA|MCO|
MCO|KRT,|KRT|IST|FRA|MCO|
MCO|KSH,|KSH|IST|FRA|MCO|
MCO|KVD,|KVD|IST|FRA|MCO|
MCO|KWI,|KWI|SAW|FRA|MCO|
MCO|KYA,|KYA|IST|FRA|MCO|
MCO|KZN,|KZN|IST|FRA|MCO|
MCO|KZR,|KZR|IST|FRA|MCO|
MCO|LED,|LED|VIE|IAD|MCO|
MCO|LEJ,|LEJ|IST|FRA|MCO|
MCO|LGW,|LGW|IST|FRA|MCO|
MCO|LHE,|LHE|IST|FRA|MCO|
MCO|LIS,|LIS|EWR|MCO|
MCO|LJU,|LJU|IST|FRA|MCO|
MCO|LOS,|LOS|IAH|MCO|
MCO|LUX,|LUX|IST|FRA|MCO|
MCO|LWO,|LWO|IST|FRA|MCO|
MCO|LYS,|LYS|IST|FRA|MCO|
MCO|MAD,|MAD|EWR|MCO|
MCO|MAN,|MAN|EWR|MCO|
MCO|MED,|MED|IST|FRA|MCO|
MCO|MHD,|MHD|IST|FRA|MCO|
MCO|MLA,|MLA|IST|FRA|MCO|
MCO|MRS,|MRS|IST|FRA|MCO|
MCO|MSQ,|MSQ|IST|FRA|MCO|
MCO|MXP,|MXP|EWR|MCO|
MCO|MZH,|MZH|IST|FRA|MCO|
MCO|MZR,|MZR|IST|FRA|MCO|
MCO|NAJ,|NAJ|IST|FRA|MCO|
MCO|NAV,|NAV|IST|FRA|MCO|
MCO|NCE,|NCE|IST|FRA|MCO|
MCO|NIM,|NIM|IST|FRA|MCO|
MCO|NJF,|NJF|IST|FRA|MCO|
MCO|NSI,|NSI|BRU|EWR|MCO|
MCO|NUE,|NUE|IST|FRA|MCO|
MCO|ODS,|ODS|IST|FRA|MCO|
MCO|ORN,|ORN|IST|FRA|MCO|
MCO|OTP,|OTP|IST|FRA|MCO|
MCO|PRG,|PRG|BRU|EWR|MCO|
MCO|PRN,|PRN|IST|FRA|MCO|
MCO|RIX,|RIX|IST|FRA|MCO|
MCO|ROV,|ROV|IST|FRA|MCO|
MCO|RTM,|RTM|IST|FRA|MCO|
MCO|RUH,|RUH|IST|FRA|MCO|
MCO|SAH,|SAH|IST|FRA|MCO|
MCO|SJJ,|SJJ|IST|FRA|MCO|
MCO|SKG,|SKG|IST|FRA|MCO|
MCO|SKP,|SKP|IST|FRA|MCO|
MCO|SSH,|SSH|IST|FRA|MCO|
MCO|STR,|STR|EWR|MCO|
MCO|SVX,|SVX|IST|FRA|MCO|
MCO|SYZ,|SYZ|IST|FRA|MCO|
MCO|SZG,|SZG|IST|FRA|MCO|
MCO|TBZ,|TBZ|IST|FRA|MCO|
MCO|TGD,|TGD|IST|FRA|MCO|
MCO|TIA,|TIA|IST|FRA|MCO|
MCO|TIF,|TIF|IST|FRA|MCO|
MCO|TIP,|TIP|IST|FRA|MCO|
MCO|TLL,|TLL|VNO|CPH|YYZ|MCO|
MCO|TLS,|TLS|IST|FRA|MCO|
MCO|TRN,|TRN|IST|FRA|MCO|
MCO|TUN,|TUN|IST|FRA|MCO|
MCO|TXL,|TXL|EWR|MCO|
MCO|UFA,|UFA|IST|FRA|MCO|
MCO|VAS,|VAS|SAW|FRA|MCO|
MCO|VCE,|VCE|IST|FRA|MCO|
MCO|YNB,|YNB|IST|FRA|MCO|
MCO|ZAG,|ZAG|IST|FRA|MCO|
MCO|MGQ,|MGQ|JIB|IST|FRA|MCO|
MCO|CPT,|CPT|JNB|DKR|IAD|MCO|
MCO|MBA,|MBA|JRO|IST|FRA|MCO|
MCO|NDJ,|NDJ|KAN|IST|FRA|MCO|
MCO|CMB,|CMB|MLE|IST|FRA|MCO|
MCO|ADE,|ADE|SAH|IST|FRA|MCO|
MCO|ASF,|ASF|SAW|FRA|MCO|
MCO|STW,|STW|SAW|FRA|MCO|
MCO|LFW,|LFW|ABJ|BRU|EWR|MCO|
MCO|CEC,|CEC|ACV|SMF|LAS|MCO|
MCO|SMF,|SMF|LAS|MCO|
MCO|CDR,|CDR|AIA|DEN|MCO|
MCO|FMN,|FMN|DEN|MCO|
MCO|JST,|JST|IAD|MCO|
MCO|JHW,|JHW|CLE|MCO|
MCO|SHD,|SHD|IAD|MCO|
MCO|PTY,|PTY|MCO|
MCO|FNA,|FNA|BRU|EWR|MCO|
MCO|SXB,|SXB|BRU|EWR|MCO|
MCO|ACV,|ACV|SMF|LAS|MCO|
MCO|MGW,|MGW|IAD|MCO|
MCO|ALB,|ALB|MCO|
MCO|AUS,|AUS|MCO|
MCO|BFD,|BFD|CLE|MCO|
MCO|BUF,|BUF|MCO|
MCO|CHS,|CHS|ATL|MCO|
MCO|DAY,|DAY|MCO|
MCO|DUJ,|DUJ|CLE|MCO|
MCO|ERI,|ERI|CLE|MCO|
MCO|FKL,|FKL|CLE|MCO|
MCO|FNT,|FNT|MCO|
MCO|GRR,|GRR|MCO|
MCO|GSP,|GSP|BNA|MCO|
MCO|PBI,|PBI|TPA|GNV|MCO|
MCO|PKB,|PKB|CLE|MCO|
MCO|RIC,|RIC|MCO|
MCO|SDF,|SDF|MCO|
MCO|GUM,|GUM|HNL|IAH|MCO|
