GTF|KCM,|KCM|ESB|FRA|DEN|GTF|
GTF|KSY,|KSY|ESB|FRA|DEN|GTF|
GTF|MLX,|MLX|ESB|FRA|DEN|GTF|
GTF|MQM,|MQM|ESB|FRA|DEN|GTF|
GTF|MSR,|MSR|ESB|FRA|DEN|GTF|
GTF|TEQ,|TEQ|ESB|FRA|DEN|GTF|
GTF|TZX,|TZX|ESB|FRA|DEN|GTF|
GTF|VAN,|VAN|ESB|FRA|DEN|GTF|
GTF|ULN,|ULN|FRU|IST|FRA|DEN|GTF|
GTF|HIJ,|HIJ|ICN|YVR|DEN|GTF|
GTF|VVO,|VVO|ICN|YVR|DEN|GTF|
GTF|ACC,|ACC|IST|FRA|DEN|GTF|
GTF|AER,|AER|IST|FRA|DEN|GTF|
GTF|AGP,|AGP|IST|FRA|DEN|GTF|
GTF|ALG,|ALG|IST|FRA|DEN|GTF|
GTF|AMM,|AMM|IST|FRA|DEN|GTF|
GTF|AQJ,|AQJ|IST|FRA|DEN|GTF|
GTF|ARN,|ARN|EWR|DEN|GTF|
GTF|ASR,|ASR|SAW|FRA|DEN|GTF|
GTF|ATH,|ATH|IST|FRA|DEN|GTF|
GTF|BAH,|BAH|IST|FRA|DEN|GTF|
GTF|BEG,|BEG|IST|FRA|DEN|GTF|
GTF|BEN,|BEN|IST|FRA|DEN|GTF|
GTF|BEY,|BEY|IST|FRA|DEN|GTF|
GTF|BHX,|BHX|EWR|DEN|GTF|
GTF|BIO,|BIO|IST|FRA|DEN|GTF|
GTF|BLQ,|BLQ|IST|FRA|DEN|GTF|
GTF|BOM,|BOM|IST|FRA|DEN|GTF|
GTF|BRE,|BRE|IST|FRA|DEN|GTF|
GTF|BSL,|BSL|IST|FRA|DEN|GTF|
GTF|BSR,|BSR|IST|FRA|DEN|GTF|
GTF|BUD,|BUD|IST|FRA|DEN|GTF|
GTF|BUS,|BUS|IST|FRA|DEN|GTF|
GTF|CAI,|CAI|IST|FRA|DEN|GTF|
GTF|CGN,|CGN|IST|FRA|DEN|GTF|
GTF|CMN,|CMN|IST|FRA|DEN|GTF|
GTF|CND,|CND|IST|FRA|DEN|GTF|
GTF|DAR,|DAR|NBO|ZRH|ORD|DEN|GTF|
GTF|DLM,|DLM|IST|FRA|DEN|GTF|
GTF|DMM,|DMM|IST|FRA|DEN|GTF|
GTF|DNK,|DNK|IST|FRA|DEN|GTF|
GTF|DNZ,|DNZ|IST|FRA|DEN|GTF|
GTF|DOK,|DOK|IST|FRA|DEN|GTF|
GTF|DUS,|DUS|ORD|DEN|GTF|
GTF|EDI,|EDI|EWR|DEN|GTF|
GTF|ELQ,|ELQ|IST|FRA|DEN|GTF|
GTF|FDH,|FDH|IST|FRA|DEN|GTF|
GTF|GOA,|GOA|IST|FRA|DEN|GTF|
GTF|GOT,|GOT|BRU|ORD|DEN|GTF|
GTF|HAJ,|HAJ|BRU|ORD|DEN|GTF|
GTF|HBE,|HBE|IST|FRA|DEN|GTF|
GTF|HEL,|HEL|IST|FRA|DEN|GTF|
GTF|HRG,|HRG|IST|FRA|DEN|GTF|
GTF|IFN,|IFN|IST|FRA|DEN|GTF|
GTF|ISE,|ISE|IST|FRA|DEN|GTF|
GTF|ISU,|ISU|IST|FRA|DEN|GTF|
