OSL|JNB,|JNB|IST|OSL|
OSL|LBV,|LBV|DLA|IST|OSL|
OSL|ADA,|ADA|IST|OSL|
OSL|ADB,|ADB|IST|OSL|
OSL|ADF,|ADF|IST|OSL|
OSL|AJI,|AJI|IST|OSL|
OSL|BAL,|BAL|IST|OSL|
OSL|BJV,|BJV|IST|OSL|
OSL|CKZ,|CKZ|ESB|IST|OSL|
OSL|DIY,|DIY|IST|OSL|
OSL|ECN,|ECN|IST|OSL|
OSL|ERC,|ERC|IST|OSL|
OSL|ERZ,|ERZ|IST|OSL|
OSL|EZS,|EZS|IST|OSL|
OSL|GNY,|GNY|IST|OSL|
OSL|GZP,|GZP|ESB|IST|OSL|
OSL|GZT,|GZT|IST|OSL|
OSL|HTY,|HTY|IST|OSL|
OSL|KCM,|KCM|IST|OSL|
OSL|KSY,|KSY|IST|OSL|
OSL|MLX,|MLX|IST|OSL|
OSL|MQM,|MQM|IST|OSL|
OSL|MSR,|MSR|IST|OSL|
OSL|TEQ,|TEQ|ESB|IST|OSL|
OSL|TZX,|TZX|IST|OSL|
OSL|VAN,|VAN|IST|OSL|
OSL|ULN,|ULN|FRU|IST|OSL|
OSL|HIJ,|HIJ|ICN|IST|OSL|
OSL|VVO,|VVO|ICN|IST|OSL|
OSL|ACC,|ACC|IST|OSL|
OSL|AER,|AER|IST|OSL|
OSL|AGP,|AGP|IST|OSL|
OSL|ALG,|ALG|IST|OSL|
OSL|AMM,|AMM|IST|OSL|
OSL|AQJ,|AQJ|IST|OSL|
OSL|ARN,|ARN|IST|OSL|
OSL|ASR,|ASR|IST|OSL|
OSL|ATH,|ATH|IST|OSL|
OSL|BAH,|BAH|IST|OSL|
OSL|BEG,|BEG|IST|OSL|
OSL|BEN,|BEN|IST|OSL|
OSL|BEY,|BEY|IST|OSL|
OSL|BHX,|BHX|IST|OSL|
OSL|BIO,|BIO|IST|OSL|
OSL|BLQ,|BLQ|IST|OSL|
OSL|BOM,|BOM|IST|OSL|
OSL|BRE,|BRE|IST|OSL|
OSL|BSL,|BSL|IST|OSL|
OSL|BSR,|BSR|IST|OSL|
OSL|BUD,|BUD|IST|OSL|
OSL|BUS,|BUS|IST|OSL|
OSL|CAI,|CAI|IST|OSL|
OSL|CGN,|CGN|IST|OSL|
OSL|CMN,|CMN|IST|OSL|
OSL|CND,|CND|IST|OSL|
OSL|DAR,|DAR|IST|OSL|
OSL|DLM,|DLM|IST|OSL|
OSL|DMM,|DMM|IST|OSL|
OSL|DNK,|DNK|IST|OSL|
OSL|DNZ,|DNZ|IST|OSL|
OSL|DOK,|DOK|IST|OSL|
OSL|DUS,|DUS|IST|OSL|
OSL|EDI,|EDI|IST|OSL|
OSL|ELQ,|ELQ|IST|OSL|
OSL|FDH,|FDH|IST|OSL|
OSL|GOA,|GOA|IST|OSL|
OSL|GOT,|GOT|IST|OSL|
OSL|HAJ,|HAJ|IST|OSL|
OSL|HBE,|HBE|IST|OSL|
OSL|HEL,|HEL|IST|OSL|
OSL|HRG,|HRG|IST|OSL|
OSL|IFN,|IFN|IST|OSL|
OSL|ISE,|ISE|IST|OSL|
OSL|ISU,|ISU|IST|OSL|
OSL|JIB,|JIB|IST|OSL|
OSL|JRO,|JRO|IST|OSL|
OSL|KAN,|KAN|IST|OSL|
OSL|KBL,|KBL|IST|OSL|
OSL|KBP,|KBP|IST|OSL|
OSL|KFS,|KFS|IST|OSL|
OSL|KHI,|KHI|IST|OSL|
OSL|KIV,|KIV|IST|OSL|
OSL|KRT,|KRT|IST|OSL|
OSL|KSH,|KSH|IST|OSL|
OSL|KVD,|KVD|IST|OSL|
OSL|KWI,|KWI|IST|OSL|
OSL|KYA,|KYA|IST|OSL|
OSL|KZN,|KZN|IST|OSL|
OSL|KZR,|KZR|IST|OSL|
OSL|LED,|LED|IST|OSL|
OSL|LEJ,|LEJ|IST|OSL|
OSL|LGW,|LGW|IST|OSL|
OSL|LHE,|LHE|IST|OSL|
OSL|LIS,|LIS|IST|OSL|
OSL|LJU,|LJU|IST|OSL|
OSL|LOS,|LOS|IST|OSL|
OSL|LUX,|LUX|IST|OSL|
OSL|LWO,|LWO|IST|OSL|
OSL|LYS,|LYS|IST|OSL|
OSL|MAD,|MAD|IST|OSL|
OSL|MAN,|MAN|IST|OSL|
OSL|MED,|MED|IST|OSL|
OSL|MHD,|MHD|IST|OSL|
OSL|MLA,|MLA|IST|OSL|
