DNZ|SYM,|SYM|KMG|CTU|URC|IST|DNZ|
DNZ|ZAT,|ZAT|KMG|CTU|URC|IST|DNZ|
DNZ|LUN,|LUN|NBO|IST|DNZ|
DNZ|AOG,|AOG|PEK|IST|DNZ|
DNZ|GMP,|GMP|PEK|IST|DNZ|
DNZ|ISB,|ISB|IST|DNZ|
DNZ|TAS,|TAS|IST|DNZ|
DNZ|WUS,|WUS|PEK|IST|DNZ|
DNZ|JMU,|JMU|PVG|IST|DNZ|
DNZ|NDG,|NDG|PVG|IST|DNZ|
DNZ|JXA,|JXA|SHE|PEK|IST|DNZ|
DNZ|PUS,|PUS|SHE|PEK|IST|DNZ|
DNZ|BKI,|BKI|SZX|CKG|URC|IST|DNZ|
DNZ|AKU,|AKU|URC|IST|DNZ|
DNZ|ALA,|ALA|IST|DNZ|
DNZ|ASB,|ASB|IST|DNZ|
DNZ|DNH,|DNH|URC|IST|DNZ|
DNZ|DYU,|DYU|IST|DNZ|
DNZ|FRU,|FRU|IST|DNZ|
DNZ|GYD,|GYD|IST|DNZ|
DNZ|HTN,|HTN|URC|IST|DNZ|
DNZ|IKA,|IKA|IST|DNZ|
DNZ|KCA,|KCA|URC|IST|DNZ|
DNZ|KHG,|KHG|URC|IST|DNZ|
DNZ|KRL,|KRL|URC|IST|DNZ|
DNZ|KRY,|KRY|URC|IST|DNZ|
DNZ|LBD,|LBD|URC|IST|DNZ|
DNZ|NLT,|NLT|URC|IST|DNZ|
DNZ|OSS,|OSS|IST|DNZ|
DNZ|OVB,|OVB|IST|DNZ|
DNZ|TBS,|TBS|IST|DNZ|
DNZ|TCG,|TCG|URC|IST|DNZ|
DNZ|TSE,|TSE|IST|DNZ|
DNZ|YIN,|YIN|URC|IST|DNZ|
DNZ|ENH,|ENH|WUH|URC|IST|DNZ|
DNZ|ENY,|ENY|XIY|URC|IST|DNZ|
DNZ|WXN,|WXN|XIY|URC|IST|DNZ|
DNZ|BLL,|BLL|IST|DNZ|
DNZ|ESB,|ESB|IST|DNZ|
DNZ|SAW,|SAW|ADB|IST|DNZ|
DNZ|HAM,|HAM|IST|DNZ|
DNZ|HRE,|HRE|ADD|IST|DNZ|
DNZ|JUB,|JUB|CAI|IST|DNZ|
DNZ|SSG,|SSG|DLA|IST|DNZ|
DNZ|BGW,|BGW|IST|DNZ|
DNZ|EBL,|EBL|IST|DNZ|
DNZ|VKO,|VKO|IST|DNZ|
DNZ|MCT,|MCT|IST|DNZ|
DNZ|AYT,|AYT|IST|DNZ|
DNZ|SCQ,|SCQ|BIO|IST|DNZ|
DNZ|AAL,|AAL|IST|DNZ|
DNZ|AOE,|AOE|BRU|IST|DNZ|
DNZ|JNB,|JNB|IST|DNZ|
DNZ|LBV,|LBV|DLA|IST|DNZ|
DNZ|ADA,|ADA|IST|DNZ|
DNZ|ADB,|ADB|IST|DNZ|
DNZ|ADF,|ADF|IST|DNZ|
DNZ|AJI,|AJI|IST|DNZ|
DNZ|BAL,|BAL|IST|DNZ|
DNZ|BJV,|BJV|IST|DNZ|
DNZ|CKZ,|CKZ|ESB|IST|DNZ|
DNZ|DIY,|DIY|IST|DNZ|
DNZ|ECN,|ECN|IST|DNZ|
DNZ|ERC,|ERC|IST|DNZ|
DNZ|ERZ,|ERZ|IST|DNZ|
DNZ|EZS,|EZS|IST|DNZ|
