PNS|AQJ,|AQJ|IST|YYZ|BNA|PNS|
PNS|ARN,|ARN|EWR|BNA|PNS|
PNS|ASR,|ASR|SAW|VIE|YYZ|BNA|PNS|
PNS|ATH,|ATH|IST|YYZ|BNA|PNS|
PNS|BAH,|BAH|IST|YYZ|BNA|PNS|
PNS|BEG,|BEG|IST|YYZ|BNA|PNS|
PNS|BEN,|BEN|IST|YYZ|BNA|PNS|
PNS|BEY,|BEY|IST|YYZ|BNA|PNS|
PNS|BHX,|BHX|EWR|BNA|PNS|
PNS|BIO,|BIO|IST|YYZ|BNA|PNS|
PNS|BLQ,|BLQ|IST|YYZ|BNA|PNS|
PNS|BOM,|BOM|EWR|BNA|PNS|
PNS|BRE,|BRE|IST|YYZ|BNA|PNS|
PNS|BSL,|BSL|IST|YYZ|BNA|PNS|
PNS|BSR,|BSR|IST|YYZ|BNA|PNS|
PNS|BUD,|BUD|IST|YYZ|BNA|PNS|
PNS|BUS,|BUS|IST|YYZ|BNA|PNS|
PNS|CAI,|CAI|JFK|IAD|BNA|PNS|
PNS|CGN,|CGN|IST|YYZ|BNA|PNS|
PNS|CMN,|CMN|IST|YYZ|BNA|PNS|
PNS|CND,|CND|IST|YYZ|BNA|PNS|
PNS|DAR,|DAR|NBO|ZRH|YYZ|BNA|PNS|
PNS|DLM,|DLM|IST|YYZ|BNA|PNS|
PNS|DMM,|DMM|IST|YYZ|BNA|PNS|
PNS|DNK,|DNK|IST|YYZ|BNA|PNS|
PNS|DNZ,|DNZ|IST|YYZ|BNA|PNS|
PNS|DOK,|DOK|IST|YYZ|BNA|PNS|
PNS|DUS,|DUS|EWR|BNA|PNS|
PNS|EDI,|EDI|EWR|BNA|PNS|
PNS|ELQ,|ELQ|IST|YYZ|BNA|PNS|
PNS|FDH,|FDH|IST|YYZ|BNA|PNS|
PNS|GOA,|GOA|IST|YYZ|BNA|PNS|
PNS|GOT,|GOT|BRU|YUL|YYZ|BNA|PNS|
PNS|HAJ,|HAJ|BRU|YUL|YYZ|BNA|PNS|
PNS|HBE,|HBE|IST|YYZ|BNA|PNS|
PNS|HEL,|HEL|IST|YYZ|BNA|PNS|
PNS|HRG,|HRG|IST|YYZ|BNA|PNS|
PNS|IFN,|IFN|IST|YYZ|BNA|PNS|
PNS|ISE,|ISE|IST|YYZ|BNA|PNS|
PNS|ISU,|ISU|IST|YYZ|BNA|PNS|
PNS|JIB,|JIB|IST|YYZ|BNA|PNS|
PNS|JRO,|JRO|IST|YYZ|BNA|PNS|
PNS|KAN,|KAN|IST|YYZ|BNA|PNS|
PNS|KBL,|KBL|IST|YYZ|BNA|PNS|
PNS|KBP,|KBP|IST|YYZ|BNA|PNS|
PNS|KFS,|KFS|IST|YYZ|BNA|PNS|
PNS|KHI,|KHI|IST|YYZ|BNA|PNS|
PNS|KIV,|KIV|IST|YYZ|BNA|PNS|
PNS|KRT,|KRT|IST|YYZ|BNA|PNS|
PNS|KSH,|KSH|IST|YYZ|BNA|PNS|
PNS|KVD,|KVD|IST|YYZ|BNA|PNS|
PNS|KWI,|KWI|SAW|VIE|YYZ|BNA|PNS|
PNS|KYA,|KYA|IST|YYZ|BNA|PNS|
PNS|KZN,|KZN|IST|YYZ|BNA|PNS|
PNS|KZR,|KZR|IST|YYZ|BNA|PNS|
PNS|LED,|LED|VIE|YYZ|BNA|PNS|
PNS|LEJ,|LEJ|IST|YYZ|BNA|PNS|
PNS|LGW,|LGW|IST|YYZ|BNA|PNS|
PNS|LHE,|LHE|IST|YYZ|BNA|PNS|
PNS|LIS,|LIS|EWR|BNA|PNS|
PNS|LJU,|LJU|IST|YYZ|BNA|PNS|
PNS|LOS,|LOS|IAH|PNS|
PNS|LUX,|LUX|IST|YYZ|BNA|PNS|
PNS|LWO,|LWO|IST|YYZ|BNA|PNS|
PNS|LYS,|LYS|IST|YYZ|BNA|PNS|
PNS|MAD,|MAD|EWR|BNA|PNS|
PNS|MAN,|MAN|EWR|BNA|PNS|
PNS|MED,|MED|IST|YYZ|BNA|PNS|
PNS|MHD,|MHD|IST|YYZ|BNA|PNS|
PNS|MLA,|MLA|IST|YYZ|BNA|PNS|
PNS|MRS,|MRS|IST|YYZ|BNA|PNS|
PNS|MSQ,|MSQ|IST|YYZ|BNA|PNS|
PNS|MXP,|MXP|EWR|BNA|PNS|
PNS|MZH,|MZH|IST|YYZ|BNA|PNS|
PNS|MZR,|MZR|IST|YYZ|BNA|PNS|
PNS|NAJ,|NAJ|IST|YYZ|BNA|PNS|
PNS|NAV,|NAV|IST|YYZ|BNA|PNS|
PNS|NCE,|NCE|IST|YYZ|BNA|PNS|
PNS|NIM,|NIM|IST|YYZ|BNA|PNS|
PNS|NJF,|NJF|IST|YYZ|BNA|PNS|
PNS|NSI,|NSI|BRU|YUL|YYZ|BNA|PNS|
