CGD|MGW,|MGW|IAD|PEK|CGD|
CGD|ALB,|ALB|EWR|PEK|CGD|
CGD|AUS,|AUS|DEN|YVR|PEK|CGD|
CGD|BFD,|BFD|CLE|YYZ|PEK|CGD|
CGD|BUF,|BUF|CLE|YYZ|PEK|CGD|
CGD|CHS,|CHS|ORD|PEK|CGD|
CGD|DAY,|DAY|ORD|PEK|CGD|
CGD|DUJ,|DUJ|CLE|YYZ|PEK|CGD|
CGD|ERI,|ERI|CLE|YYZ|PEK|CGD|
CGD|FKL,|FKL|CLE|YYZ|PEK|CGD|
