CAK|HSN,|HSN|PEK|ORD|CAK|
CAK|DLU,|DLU|KMG|PEK|ORD|CAK|
CAK|SYM,|SYM|KMG|PEK|ORD|CAK|
CAK|ZAT,|ZAT|KMG|PEK|ORD|CAK|
CAK|LUN,|LUN|NBO|ZRH|BOS|CAK|
CAK|AOG,|AOG|PEK|ORD|CAK|
CAK|GMP,|GMP|PEK|ORD|CAK|
CAK|ISB,|ISB|IST|FRA|BOS|CAK|
CAK|TAS,|TAS|IST|FRA|BOS|CAK|
CAK|WUS,|WUS|PEK|ORD|CAK|
CAK|JMU,|JMU|PVG|ORD|CAK|
CAK|NDG,|NDG|PVG|ORD|CAK|
CAK|JXA,|JXA|SHE|PEK|ORD|CAK|
CAK|PUS,|PUS|SHE|PEK|ORD|CAK|
CAK|BKI,|BKI|SZX|PEK|ORD|CAK|
CAK|AKU,|AKU|URC|TSE|FRA|BOS|CAK|
CAK|ALA,|ALA|TSE|FRA|BOS|CAK|
CAK|ASB,|ASB|GYD|FRA|BOS|CAK|
CAK|DNH,|DNH|URC|TSE|FRA|BOS|CAK|
CAK|DYU,|DYU|IST|FRA|BOS|CAK|
CAK|FRU,|FRU|IST|FRA|BOS|CAK|
CAK|GYD,|GYD|FRA|BOS|CAK|
CAK|HTN,|HTN|URC|TSE|FRA|BOS|CAK|
CAK|IKA,|IKA|SAW|FRA|BOS|CAK|
CAK|KCA,|KCA|URC|TSE|FRA|BOS|CAK|
CAK|KHG,|KHG|URC|TSE|FRA|BOS|CAK|
CAK|KRL,|KRL|URC|TSE|FRA|BOS|CAK|
CAK|KRY,|KRY|URC|TSE|FRA|BOS|CAK|
CAK|LBD,|LBD|URC|TSE|FRA|BOS|CAK|
CAK|NLT,|NLT|URC|TSE|FRA|BOS|CAK|
CAK|OSS,|OSS|IST|FRA|BOS|CAK|
CAK|OVB,|OVB|IST|FRA|BOS|CAK|
CAK|TBS,|TBS|SAW|FRA|BOS|CAK|
CAK|TCG,|TCG|URC|TSE|FRA|BOS|CAK|
CAK|TSE,|TSE|FRA|BOS|CAK|
CAK|YIN,|YIN|URC|TSE|FRA|BOS|CAK|
CAK|ENH,|ENH|WUH|PEK|ORD|CAK|
CAK|ENY,|ENY|XIY|PEK|ORD|CAK|
CAK|WXN,|WXN|XIY|PEK|ORD|CAK|
CAK|BLL,|BLL|IST|FRA|BOS|CAK|
CAK|ESB,|ESB|FRA|BOS|CAK|
CAK|SAW,|SAW|FRA|BOS|CAK|
CAK|HAM,|HAM|EWR|BOS|CAK|
CAK|HRE,|HRE|ADD|JED|FRA|BOS|CAK|
CAK|JUB,|JUB|CAI|IST|FRA|BOS|CAK|
CAK|SSG,|SSG|DLA|BRU|YUL|LGA|CAK|
CAK|BGW,|BGW|ESB|FRA|BOS|CAK|
CAK|EBL,|EBL|IST|FRA|BOS|CAK|
CAK|VKO,|VKO|IST|FRA|BOS|CAK|
CAK|MCT,|MCT|IST|FRA|BOS|CAK|
CAK|AYT,|AYT|IST|FRA|BOS|CAK|
CAK|SCQ,|SCQ|BIO|IST|FRA|BOS|CAK|
CAK|AAL,|AAL|IST|FRA|BOS|CAK|
CAK|AOE,|AOE|BRU|YUL|LGA|CAK|
CAK|JNB,|JNB|DKR|IAD|LGA|CAK|
CAK|LBV,|LBV|DLA|BRU|YUL|LGA|CAK|
CAK|ADA,|ADA|SAW|FRA|BOS|CAK|
CAK|ADB,|ADB|IST|FRA|BOS|CAK|
CAK|ADF,|ADF|ESB|FRA|BOS|CAK|
CAK|AJI,|AJI|ESB|FRA|BOS|CAK|
CAK|BAL,|BAL|ESB|FRA|BOS|CAK|
CAK|BJV,|BJV|IST|FRA|BOS|CAK|
CAK|CKZ,|CKZ|ESB|FRA|BOS|CAK|
CAK|DIY,|DIY|ESB|FRA|BOS|CAK|
CAK|ECN,|ECN|IST|FRA|BOS|CAK|
CAK|ERC,|ERC|ESB|FRA|BOS|CAK|
CAK|ERZ,|ERZ|ESB|FRA|BOS|CAK|
CAK|EZS,|EZS|ESB|FRA|BOS|CAK|
CAK|GNY,|GNY|ESB|FRA|BOS|CAK|
CAK|GZP,|GZP|ESB|FRA|BOS|CAK|
CAK|GZT,|GZT|ESB|FRA|BOS|CAK|
CAK|HTY,|HTY|SAW|FRA|BOS|CAK|
CAK|KCM,|KCM|ESB|FRA|BOS|CAK|
CAK|KSY,|KSY|ESB|FRA|BOS|CAK|
CAK|MLX,|MLX|ESB|FRA|BOS|CAK|
CAK|MQM,|MQM|ESB|FRA|BOS|CAK|
CAK|MSR,|MSR|ESB|FRA|BOS|CAK|
CAK|TEQ,|TEQ|ESB|FRA|BOS|CAK|
CAK|TZX,|TZX|ESB|FRA|BOS|CAK|
CAK|VAN,|VAN|ESB|FRA|BOS|CAK|
CAK|ULN,|ULN|FRU|IST|FRA|BOS|CAK|
CAK|HIJ,|HIJ|ICN|YVR|ORD|CAK|
CAK|VVO,|VVO|ICN|YVR|ORD|CAK|
CAK|ACC,|ACC|IST|FRA|BOS|CAK|
CAK|AER,|AER|IST|FRA|BOS|CAK|
CAK|AGP,|AGP|IST|FRA|BOS|CAK|
CAK|ALG,|ALG|IST|FRA|BOS|CAK|
CAK|AMM,|AMM|IST|FRA|BOS|CAK|
CAK|AQJ,|AQJ|IST|FRA|BOS|CAK|
CAK|ARN,|ARN|EWR|BOS|CAK|
CAK|ASR,|ASR|SAW|FRA|BOS|CAK|
CAK|ATH,|ATH|IST|FRA|BOS|CAK|
CAK|BAH,|BAH|IST|FRA|BOS|CAK|
CAK|BEG,|BEG|IST|FRA|BOS|CAK|
CAK|BEN,|BEN|IST|FRA|BOS|CAK|
CAK|BEY,|BEY|IST|FRA|BOS|CAK|
CAK|BHX,|BHX|EWR|BOS|CAK|
CAK|BIO,|BIO|IST|FRA|BOS|CAK|
CAK|BLQ,|BLQ|IST|FRA|BOS|CAK|
CAK|BOM,|BOM|IST|FRA|BOS|CAK|
CAK|BRE,|BRE|IST|FRA|BOS|CAK|
CAK|BSL,|BSL|IST|FRA|BOS|CAK|
CAK|BSR,|BSR|IST|FRA|BOS|CAK|
CAK|BUD,|BUD|IST|FRA|BOS|CAK|
CAK|BUS,|BUS|IST|FRA|BOS|CAK|
CAK|CAI,|CAI|IST|FRA|BOS|CAK|
CAK|CGN,|CGN|IST|FRA|BOS|CAK|
CAK|CMN,|CMN|IST|FRA|BOS|CAK|
CAK|CND,|CND|IST|FRA|BOS|CAK|
CAK|DAR,|DAR|NBO|ZRH|BOS|CAK|
CAK|DLM,|DLM|IST|FRA|BOS|CAK|
CAK|DMM,|DMM|IST|FRA|BOS|CAK|
CAK|DNK,|DNK|IST|FRA|BOS|CAK|
CAK|DNZ,|DNZ|IST|FRA|BOS|CAK|
CAK|DOK,|DOK|IST|FRA|BOS|CAK|
CAK|DUS,|DUS|EWR|BOS|CAK|
CAK|EDI,|EDI|EWR|BOS|CAK|
CAK|ELQ,|ELQ|IST|FRA|BOS|CAK|
CAK|FDH,|FDH|IST|FRA|BOS|CAK|
