AEX|ADB,|ADB|HAM|EWR|IAH|AEX|
AEX|ADF,|ADF|ESB|VIE|YYZ|IAH|AEX|
AEX|AJI,|AJI|ESB|VIE|YYZ|IAH|AEX|
AEX|BAL,|BAL|ESB|VIE|YYZ|IAH|AEX|
AEX|BJV,|BJV|IST|IAH|AEX|
AEX|CKZ,|CKZ|ESB|VIE|YYZ|IAH|AEX|
AEX|DIY,|DIY|ESB|VIE|YYZ|IAH|AEX|
AEX|ECN,|ECN|IST|IAH|AEX|
AEX|ERC,|ERC|ESB|VIE|YYZ|IAH|AEX|
AEX|ERZ,|ERZ|ESB|VIE|YYZ|IAH|AEX|
AEX|EZS,|EZS|ESB|VIE|YYZ|IAH|AEX|
AEX|GNY,|GNY|ESB|VIE|YYZ|IAH|AEX|
AEX|GZP,|GZP|ESB|VIE|YYZ|IAH|AEX|
AEX|GZT,|GZT|ESB|VIE|YYZ|IAH|AEX|
AEX|HTY,|HTY|SAW|VIE|YYZ|IAH|AEX|
AEX|KCM,|KCM|ESB|VIE|YYZ|IAH|AEX|
AEX|KSY,|KSY|ESB|VIE|YYZ|IAH|AEX|
AEX|MLX,|MLX|ESB|VIE|YYZ|IAH|AEX|
AEX|MQM,|MQM|ESB|VIE|YYZ|IAH|AEX|
AEX|MSR,|MSR|ESB|VIE|YYZ|IAH|AEX|
AEX|TEQ,|TEQ|ESB|VIE|YYZ|IAH|AEX|
AEX|TZX,|TZX|ESB|VIE|YYZ|IAH|AEX|
AEX|VAN,|VAN|ESB|VIE|YYZ|IAH|AEX|
AEX|ULN,|ULN|FRU|IST|IAH|AEX|
AEX|HIJ,|HIJ|ICN|YVR|IAH|AEX|
AEX|VVO,|VVO|ICN|YVR|IAH|AEX|
AEX|ACC,|ACC|IST|IAH|AEX|
AEX|AER,|AER|IST|IAH|AEX|
AEX|AGP,|AGP|IST|IAH|AEX|
AEX|ALG,|ALG|IST|IAH|AEX|
AEX|AMM,|AMM|IST|IAH|AEX|
AEX|AQJ,|AQJ|IST|IAH|AEX|
AEX|ARN,|ARN|EWR|IAH|AEX|
AEX|ASR,|ASR|SAW|VIE|YYZ|IAH|AEX|
AEX|ATH,|ATH|IST|IAH|AEX|
AEX|BAH,|BAH|IST|IAH|AEX|
AEX|BEG,|BEG|IST|IAH|AEX|
AEX|BEN,|BEN|IST|IAH|AEX|
AEX|BEY,|BEY|IST|IAH|AEX|
AEX|BHX,|BHX|EWR|IAH|AEX|
AEX|BIO,|BIO|IST|IAH|AEX|
AEX|BLQ,|BLQ|IST|IAH|AEX|
AEX|BOM,|BOM|EWR|IAH|AEX|
AEX|BRE,|BRE|IST|IAH|AEX|
AEX|BSL,|BSL|IST|IAH|AEX|
AEX|BSR,|BSR|IST|IAH|AEX|
AEX|BUD,|BUD|IST|IAH|AEX|
AEX|BUS,|BUS|IST|IAH|AEX|
AEX|CAI,|CAI|JFK|IAD|IAH|AEX|
AEX|CGN,|CGN|IST|IAH|AEX|
AEX|CMN,|CMN|IST|IAH|AEX|
AEX|CND,|CND|IST|IAH|AEX|
AEX|DAR,|DAR|NBO|ZRH|YUL|IAH|AEX|
AEX|DLM,|DLM|IST|IAH|AEX|
AEX|DMM,|DMM|IST|IAH|AEX|
AEX|DNK,|DNK|IST|IAH|AEX|
AEX|DNZ,|DNZ|IST|IAH|AEX|
AEX|DOK,|DOK|IST|IAH|AEX|
AEX|DUS,|DUS|ORD|IAH|AEX|
AEX|EDI,|EDI|EWR|IAH|AEX|
AEX|ELQ,|ELQ|IST|IAH|AEX|
AEX|FDH,|FDH|IST|IAH|AEX|
AEX|GOA,|GOA|IST|IAH|AEX|
AEX|GOT,|GOT|BRU|YUL|IAH|AEX|
AEX|HAJ,|HAJ|BRU|YUL|IAH|AEX|
AEX|HBE,|HBE|IST|IAH|AEX|
AEX|HEL,|HEL|IST|IAH|AEX|
AEX|HRG,|HRG|IST|IAH|AEX|
AEX|IFN,|IFN|IST|IAH|AEX|
AEX|ISE,|ISE|IST|IAH|AEX|
AEX|ISU,|ISU|IST|IAH|AEX|
AEX|JIB,|JIB|IST|IAH|AEX|
AEX|JRO,|JRO|IST|IAH|AEX|
AEX|KAN,|KAN|IST|IAH|AEX|
AEX|KBL,|KBL|IST|IAH|AEX|
AEX|KBP,|KBP|IST|IAH|AEX|
AEX|KFS,|KFS|IST|IAH|AEX|
AEX|KHI,|KHI|IST|IAH|AEX|
AEX|KIV,|KIV|IST|IAH|AEX|
AEX|KRT,|KRT|IST|IAH|AEX|
AEX|KSH,|KSH|IST|IAH|AEX|
AEX|KVD,|KVD|IST|IAH|AEX|
AEX|KWI,|KWI|SAW|VIE|YYZ|IAH|AEX|
AEX|KYA,|KYA|IST|IAH|AEX|
AEX|KZN,|KZN|IST|IAH|AEX|
AEX|KZR,|KZR|IST|IAH|AEX|
AEX|LED,|LED|VIE|YYZ|IAH|AEX|
AEX|LEJ,|LEJ|IST|IAH|AEX|
AEX|LGW,|LGW|IST|IAH|AEX|
AEX|LHE,|LHE|IST|IAH|AEX|
AEX|LIS,|LIS|EWR|IAH|AEX|
AEX|LJU,|LJU|IST|IAH|AEX|
AEX|LOS,|LOS|IAH|AEX|
AEX|LUX,|LUX|IST|IAH|AEX|
AEX|LWO,|LWO|IST|IAH|AEX|
AEX|LYS,|LYS|IST|IAH|AEX|
AEX|MAD,|MAD|EWR|IAH|AEX|
AEX|MAN,|MAN|EWR|IAH|AEX|
AEX|MED,|MED|IST|IAH|AEX|
AEX|MHD,|MHD|IST|IAH|AEX|
AEX|MLA,|MLA|IST|IAH|AEX|
AEX|MRS,|MRS|IST|IAH|AEX|
AEX|MSQ,|MSQ|IST|IAH|AEX|
AEX|MXP,|MXP|EWR|IAH|AEX|
AEX|MZH,|MZH|IST|IAH|AEX|
AEX|MZR,|MZR|IST|IAH|AEX|
AEX|NAJ,|NAJ|IST|IAH|AEX|
AEX|NAV,|NAV|IST|IAH|AEX|
AEX|NCE,|NCE|IST|IAH|AEX|
AEX|NIM,|NIM|IST|IAH|AEX|
AEX|NJF,|NJF|IST|IAH|AEX|
AEX|NSI,|NSI|BRU|YUL|IAH|AEX|
AEX|NUE,|NUE|IST|IAH|AEX|
AEX|ODS,|ODS|IST|IAH|AEX|
AEX|ORN,|ORN|IST|IAH|AEX|
AEX|OTP,|OTP|IST|IAH|AEX|
AEX|PRG,|PRG|BRU|YUL|IAH|AEX|
AEX|PRN,|PRN|IST|IAH|AEX|
AEX|RIX,|RIX|IST|IAH|AEX|
AEX|ROV,|ROV|IST|IAH|AEX|
AEX|RTM,|RTM|IST|IAH|AEX|
AEX|RUH,|RUH|IST|IAH|AEX|
AEX|SAH,|SAH|IST|IAH|AEX|
AEX|SJJ,|SJJ|IST|IAH|AEX|
AEX|SKG,|SKG|IST|IAH|AEX|
AEX|SKP,|SKP|IST|IAH|AEX|
AEX|SSH,|SSH|IST|IAH|AEX|
AEX|STR,|STR|EWR|IAH|AEX|
AEX|SVX,|SVX|IST|IAH|AEX|
AEX|SYZ,|SYZ|IST|IAH|AEX|
AEX|SZG,|SZG|IST|IAH|AEX|
AEX|TBZ,|TBZ|IST|IAH|AEX|
AEX|TGD,|TGD|IST|IAH|AEX|
AEX|TIA,|TIA|IST|IAH|AEX|
AEX|TIF,|TIF|IST|IAH|AEX|
AEX|TIP,|TIP|IST|IAH|AEX|
