DAT|BEY,|BEY|IST|URC|TYN|DAT|
DAT|BHX,|BHX|IST|URC|TYN|DAT|
DAT|BIO,|BIO|IST|URC|TYN|DAT|
DAT|BLQ,|BLQ|IST|URC|TYN|DAT|
DAT|BOM,|BOM|IST|URC|TYN|DAT|
DAT|BRE,|BRE|IST|URC|TYN|DAT|
DAT|BSL,|BSL|IST|URC|TYN|DAT|
DAT|BSR,|BSR|IST|URC|TYN|DAT|
DAT|BUD,|BUD|IST|URC|TYN|DAT|
DAT|BUS,|BUS|IST|URC|TYN|DAT|
DAT|CAI,|CAI|IST|URC|TYN|DAT|
DAT|CGN,|CGN|IST|URC|TYN|DAT|
DAT|CMN,|CMN|IST|URC|TYN|DAT|
DAT|CND,|CND|IST|URC|TYN|DAT|
DAT|DAR,|DAR|NBO|CAN|CIH|DAT|
DAT|DLM,|DLM|IST|URC|TYN|DAT|
DAT|DMM,|DMM|IST|URC|TYN|DAT|
DAT|DNK,|DNK|IST|URC|TYN|DAT|
DAT|DNZ,|DNZ|IST|URC|TYN|DAT|
DAT|DOK,|DOK|IST|URC|TYN|DAT|
DAT|DUS,|DUS|IST|URC|TYN|DAT|
DAT|EDI,|EDI|IST|URC|TYN|DAT|
DAT|ELQ,|ELQ|IST|URC|TYN|DAT|
DAT|FDH,|FDH|IST|URC|TYN|DAT|
DAT|GOA,|GOA|IST|URC|TYN|DAT|
DAT|GOT,|GOT|IST|URC|TYN|DAT|
DAT|HAJ,|HAJ|IST|URC|TYN|DAT|
DAT|HBE,|HBE|IST|URC|TYN|DAT|
DAT|HEL,|HEL|IST|URC|TYN|DAT|
DAT|HRG,|HRG|IST|URC|TYN|DAT|
DAT|IFN,|IFN|IST|URC|TYN|DAT|
DAT|ISE,|ISE|IST|URC|TYN|DAT|
DAT|ISU,|ISU|IST|URC|TYN|DAT|
DAT|JIB,|JIB|IST|URC|TYN|DAT|
DAT|JRO,|JRO|IST|URC|TYN|DAT|
DAT|KAN,|KAN|IST|URC|TYN|DAT|
DAT|KBL,|KBL|IST|URC|TYN|DAT|
DAT|KBP,|KBP|IST|URC|TYN|DAT|
DAT|KFS,|KFS|IST|URC|TYN|DAT|
DAT|KHI,|KHI|IST|URC|TYN|DAT|
DAT|KIV,|KIV|IST|URC|TYN|DAT|
DAT|KRT,|KRT|IST|URC|TYN|DAT|
DAT|KSH,|KSH|IST|URC|TYN|DAT|
DAT|KVD,|KVD|IST|URC|TYN|DAT|
DAT|KWI,|KWI|SAW|TBS|URC|TYN|DAT|
DAT|KYA,|KYA|SAW|TBS|URC|TYN|DAT|
DAT|KZN,|KZN|IST|URC|TYN|DAT|
DAT|KZR,|KZR|IST|URC|TYN|DAT|
DAT|LED,|LED|IST|URC|TYN|DAT|
DAT|LEJ,|LEJ|IST|URC|TYN|DAT|
DAT|LGW,|LGW|IST|URC|TYN|DAT|
DAT|LHE,|LHE|IST|URC|TYN|DAT|
DAT|LIS,|LIS|IST|URC|TYN|DAT|
DAT|LJU,|LJU|IST|URC|TYN|DAT|
DAT|LOS,|LOS|IST|URC|TYN|DAT|
DAT|LUX,|LUX|IST|URC|TYN|DAT|
DAT|LWO,|LWO|IST|URC|TYN|DAT|
DAT|LYS,|LYS|IST|URC|TYN|DAT|
