AKL|STW,|STW|SAW|TBS|URC|CAN|AKL|
AKL|LFW,|LFW|ABJ|OUA|NIM|IST|BKK|AKL|
AKL|CEC,|CEC|SFO|AKL|
AKL|SMF,|SMF|SFO|AKL|
AKL|CDR,|CDR|AIA|DEN|LAX|AKL|
AKL|FMN,|FMN|SOW|PHX|LAX|AKL|
AKL|JST,|JST|IAD|LAX|AKL|
AKL|JHW,|JHW|CLE|LAX|AKL|
AKL|SHD,|SHD|IAD|LAX|AKL|
AKL|PTY,|PTY|LAX|AKL|
AKL|FNA,|FNA|BRU|IST|BKK|AKL|
AKL|SXB,|SXB|BRU|IST|BKK|AKL|
AKL|ACV,|ACV|SFO|AKL|
AKL|MGW,|MGW|IAD|LAX|AKL|
AKL|ALB,|ALB|ORD|LAX|AKL|
AKL|AUS,|AUS|LAX|AKL|
AKL|BFD,|BFD|CLE|LAX|AKL|
AKL|BUF,|BUF|ORD|LAX|AKL|
AKL|CHS,|CHS|ATL|LAX|AKL|
AKL|DAY,|DAY|DEN|LAX|AKL|
AKL|DUJ,|DUJ|CLE|LAX|AKL|
AKL|ERI,|ERI|CLE|LAX|AKL|
AKL|FKL,|FKL|CLE|LAX|AKL|
AKL|FNT,|FNT|LAS|LAX|AKL|
AKL|GRR,|GRR|DEN|LAX|AKL|
AKL|GSP,|GSP|BNA|LAX|AKL|
AKL|PBI,|PBI|TPA|MSY|LAX|AKL|
AKL|PKB,|PKB|CLE|LAX|AKL|
AKL|RIC,|RIC|ORD|LAX|AKL|
AKL|SDF,|SDF|LAS|LAX|AKL|
AKL|GUM,|GUM|HKG|CAN|AKL|
AKL|WRL,|WRL|CYS|DEN|LAX|AKL|
AKL|LBL,|AKL|
AKL|ABQ,|ABQ|LAX|AKL|
