KZN|HBE,|HBE|IST|KZN|
KZN|HEL,|HEL|IST|KZN|
KZN|HRG,|HRG|IST|KZN|
KZN|IFN,|IFN|IST|KZN|
KZN|ISE,|ISE|IST|KZN|
KZN|ISU,|ISU|IST|KZN|
KZN|JIB,|JIB|IST|KZN|
KZN|JRO,|JRO|IST|KZN|
KZN|KAN,|KAN|IST|KZN|
KZN|KBL,|KBL|IST|KZN|
KZN|KBP,|KBP|IST|KZN|
KZN|KFS,|KFS|IST|KZN|
KZN|KHI,|KHI|IST|KZN|
KZN|KIV,|KIV|IST|KZN|
KZN|KRT,|KRT|IST|KZN|
KZN|KSH,|KSH|IST|KZN|
KZN|KVD,|KVD|IST|KZN|
KZN|KWI,|KWI|IST|KZN|
KZN|KYA,|KYA|IST|KZN|
KZN|KZR,|KZR|IST|KZN|
KZN|LED,|LED|IST|KZN|
KZN|LEJ,|LEJ|IST|KZN|
KZN|LGW,|LGW|IST|KZN|
KZN|LHE,|LHE|IST|KZN|
KZN|LIS,|LIS|IST|KZN|
KZN|LJU,|LJU|IST|KZN|
KZN|LOS,|LOS|IST|KZN|
KZN|LUX,|LUX|IST|KZN|
KZN|LWO,|LWO|IST|KZN|
KZN|LYS,|LYS|IST|KZN|
KZN|MAD,|MAD|IST|KZN|
KZN|MAN,|MAN|IST|KZN|
KZN|MED,|MED|IST|KZN|
KZN|MHD,|MHD|IST|KZN|
KZN|MLA,|MLA|IST|KZN|
KZN|MRS,|MRS|IST|KZN|
KZN|MSQ,|MSQ|IST|KZN|
KZN|MXP,|MXP|IST|KZN|
KZN|MZH,|MZH|IST|KZN|
KZN|MZR,|MZR|IST|KZN|
KZN|NAJ,|NAJ|IST|KZN|
KZN|NAV,|NAV|IST|KZN|
KZN|NCE,|NCE|IST|KZN|
KZN|NIM,|NIM|IST|KZN|
KZN|NJF,|NJF|IST|KZN|
KZN|NSI,|NSI|IST|KZN|
KZN|NUE,|NUE|IST|KZN|
KZN|ODS,|ODS|IST|KZN|
KZN|ORN,|ORN|IST|KZN|
KZN|OTP,|OTP|IST|KZN|
KZN|PRG,|PRG|IST|KZN|
KZN|PRN,|PRN|IST|KZN|
KZN|RIX,|RIX|IST|KZN|
KZN|ROV,|ROV|IST|KZN|
KZN|RTM,|RTM|IST|KZN|
KZN|RUH,|RUH|IST|KZN|
KZN|SAH,|SAH|IST|KZN|
KZN|SJJ,|SJJ|IST|KZN|
KZN|SKG,|SKG|IST|KZN|
KZN|SKP,|SKP|IST|KZN|
KZN|SSH,|SSH|IST|KZN|
KZN|STR,|STR|IST|KZN|
KZN|SVX,|SVX|IST|KZN|
KZN|SYZ,|SYZ|IST|KZN|
KZN|SZG,|SZG|IST|KZN|
KZN|TBZ,|TBZ|IST|KZN|
KZN|TGD,|TGD|IST|KZN|
KZN|TIA,|TIA|IST|KZN|
KZN|TIF,|TIF|IST|KZN|
KZN|TIP,|TIP|IST|KZN|
KZN|TLL,|TLL|IST|KZN|
KZN|TLS,|TLS|IST|KZN|
KZN|TRN,|TRN|IST|KZN|
KZN|TUN,|TUN|IST|KZN|
KZN|TXL,|TXL|IST|KZN|
KZN|UFA,|UFA|IST|KZN|
KZN|VAS,|VAS|IST|KZN|
KZN|VCE,|VCE|IST|KZN|
KZN|YNB,|YNB|IST|KZN|
KZN|ZAG,|ZAG|IST|KZN|
KZN|MGQ,|MGQ|JIB|IST|KZN|
KZN|CPT,|CPT|JNB|IST|KZN|
KZN|MBA,|MBA|JRO|IST|KZN|
KZN|NDJ,|NDJ|KAN|IST|KZN|
KZN|CMB,|CMB|MLE|IST|KZN|
KZN|ADE,|ADE|SAH|IST|KZN|
KZN|ASF,|ASF|SAW|ADB|IST|KZN|
KZN|STW,|STW|SAW|ADB|IST|KZN|
KZN|LFW,|LFW|ABJ|OUA|NIM|IST|KZN|
KZN|CEC,|CEC|ACV|SMF|SEA|FRA|IST|KZN|
KZN|SMF,|SMF|SEA|FRA|IST|KZN|
KZN|CDR,|CDR|AIA|DEN|FRA|IST|KZN|
KZN|FMN,|FMN|DEN|FRA|IST|KZN|
KZN|JST,|JST|IAD|IST|KZN|
KZN|JHW,|JHW|CLE|YYZ|IST|KZN|
KZN|SHD,|SHD|IAD|IST|KZN|
KZN|PTY,|PTY|MIA|ZRH|IST|KZN|
KZN|FNA,|FNA|BRU|IST|KZN|
KZN|SXB,|SXB|BRU|IST|KZN|
KZN|ACV,|ACV|SMF|SEA|FRA|IST|KZN|
KZN|MGW,|MGW|IAD|IST|KZN|
KZN|ALB,|ALB|EWR|BHX|IST|KZN|
KZN|AUS,|AUS|ORD|IST|KZN|
KZN|BFD,|BFD|CLE|YYZ|IST|KZN|
KZN|BUF,|BUF|EWR|BHX|IST|KZN|
KZN|CHS,|CHS|EWR|BHX|IST|KZN|
KZN|DAY,|DAY|CLE|YYZ|IST|KZN|
KZN|DUJ,|DUJ|CLE|YYZ|IST|KZN|
KZN|ERI,|ERI|CLE|YYZ|IST|KZN|
KZN|FKL,|FKL|CLE|YYZ|IST|KZN|
KZN|FNT,|FNT|CLE|YYZ|IST|KZN|
KZN|GRR,|GRR|CLE|YYZ|IST|KZN|
KZN|GSP,|GSP|EWR|BHX|IST|KZN|
KZN|PBI,|PBI|EWR|BHX|IST|KZN|
KZN|PKB,|PKB|CLE|YYZ|IST|KZN|
KZN|RIC,|RIC|EWR|BHX|IST|KZN|
KZN|SDF,|SDF|CLE|YYZ|IST|KZN|
KZN|GUM,|GUM|FUK|ICN|IST|KZN|
KZN|WRL,|WRL|CYS|DEN|FRA|IST|KZN|
KZN|LBL,|KZN|
KZN|ABQ,|ABQ|DEN|FRA|IST|KZN|
