MSN|YNB,|YNB|IST|ORD|MSN|
MSN|ZAG,|ZAG|IST|ORD|MSN|
MSN|MGQ,|MGQ|JIB|IST|ORD|MSN|
MSN|CPT,|CPT|JNB|DKR|IAD|ORD|MSN|
MSN|MBA,|MBA|JRO|IST|ORD|MSN|
MSN|NDJ,|NDJ|KAN|IST|ORD|MSN|
MSN|CMB,|CMB|MLE|IST|ORD|MSN|
MSN|ADE,|ADE|SAH|IST|ORD|MSN|
MSN|ASF,|ASF|SAW|VIE|ORD|MSN|
MSN|STW,|STW|SAW|VIE|ORD|MSN|
MSN|LFW,|LFW|ABJ|BRU|ORD|MSN|
