BUS|SYZ,|SYZ|IST|BUS|
BUS|SZG,|SZG|IST|BUS|
BUS|TBZ,|TBZ|IST|BUS|
BUS|TGD,|TGD|IST|BUS|
BUS|TIA,|TIA|IST|BUS|
BUS|TIF,|TIF|IST|BUS|
BUS|TIP,|TIP|IST|BUS|
BUS|TLL,|TLL|IST|BUS|
BUS|TLS,|TLS|IST|BUS|
BUS|TRN,|TRN|IST|BUS|
BUS|TUN,|TUN|IST|BUS|
BUS|TXL,|TXL|IST|BUS|
BUS|UFA,|UFA|IST|BUS|
BUS|VAS,|VAS|IST|BUS|
BUS|VCE,|VCE|IST|BUS|
BUS|YNB,|YNB|IST|BUS|
BUS|ZAG,|ZAG|IST|BUS|
BUS|MGQ,|MGQ|JIB|IST|BUS|
BUS|CPT,|CPT|JNB|IST|BUS|
BUS|MBA,|MBA|JRO|IST|BUS|
BUS|NDJ,|NDJ|KAN|IST|BUS|
BUS|CMB,|CMB|MLE|IST|BUS|
BUS|ADE,|ADE|SAH|IST|BUS|
BUS|ASF,|ASF|SAW|ADB|IST|BUS|
BUS|STW,|STW|SAW|ADB|IST|BUS|
BUS|LFW,|LFW|ABJ|OUA|NIM|IST|BUS|
BUS|CEC,|CEC|ACV|SMF|SEA|FRA|IST|BUS|
BUS|SMF,|SMF|SEA|FRA|IST|BUS|
BUS|CDR,|CDR|AIA|DEN|FRA|IST|BUS|
BUS|FMN,|FMN|DEN|FRA|IST|BUS|
BUS|JST,|JST|IAD|IST|BUS|
BUS|JHW,|JHW|CLE|YYZ|IST|BUS|
BUS|SHD,|SHD|IAD|IST|BUS|
BUS|PTY,|PTY|MIA|ZRH|IST|BUS|
BUS|FNA,|FNA|BRU|IST|BUS|
BUS|SXB,|SXB|BRU|IST|BUS|
BUS|ACV,|ACV|SMF|SEA|FRA|IST|BUS|
BUS|MGW,|MGW|IAD|IST|BUS|
BUS|ALB,|ALB|EWR|BHX|IST|BUS|
BUS|AUS,|AUS|ORD|IST|BUS|
BUS|BFD,|BFD|CLE|YYZ|IST|BUS|
BUS|BUF,|BUF|EWR|BHX|IST|BUS|
BUS|CHS,|CHS|EWR|BHX|IST|BUS|
BUS|DAY,|DAY|CLE|YYZ|IST|BUS|
BUS|DUJ,|DUJ|CLE|YYZ|IST|BUS|
BUS|ERI,|ERI|CLE|YYZ|IST|BUS|
BUS|FKL,|FKL|CLE|YYZ|IST|BUS|
BUS|FNT,|FNT|CLE|YYZ|IST|BUS|
BUS|GRR,|GRR|CLE|YYZ|IST|BUS|
BUS|GSP,|GSP|EWR|BHX|IST|BUS|
BUS|PBI,|PBI|EWR|BHX|IST|BUS|
BUS|PKB,|PKB|CLE|YYZ|IST|BUS|
