DEN|NSI,|NSI|BRU|ORD|DEN|
DEN|NUE,|NUE|IST|FRA|DEN|
DEN|ODS,|ODS|IST|FRA|DEN|
DEN|ORN,|ORN|IST|FRA|DEN|
DEN|OTP,|OTP|IST|FRA|DEN|
DEN|PRG,|PRG|BRU|ORD|DEN|
DEN|PRN,|PRN|IST|FRA|DEN|
DEN|RIX,|RIX|IST|FRA|DEN|
DEN|ROV,|ROV|IST|FRA|DEN|
DEN|RTM,|RTM|IST|FRA|DEN|
DEN|RUH,|RUH|IST|FRA|DEN|
DEN|SAH,|SAH|IST|FRA|DEN|
DEN|SJJ,|SJJ|IST|FRA|DEN|
DEN|SKG,|SKG|IST|FRA|DEN|
DEN|SKP,|SKP|IST|FRA|DEN|
DEN|SSH,|SSH|IST|FRA|DEN|
DEN|STR,|STR|EWR|DEN|
DEN|SVX,|SVX|IST|FRA|DEN|
DEN|SYZ,|SYZ|IST|FRA|DEN|
DEN|SZG,|SZG|IST|FRA|DEN|
DEN|TBZ,|TBZ|IST|FRA|DEN|
DEN|TGD,|TGD|IST|FRA|DEN|
DEN|TIA,|TIA|IST|FRA|DEN|
DEN|TIF,|TIF|IST|FRA|DEN|
DEN|TIP,|TIP|IST|FRA|DEN|
DEN|TLL,|TLL|VNO|CPH|YYZ|DEN|
DEN|TLS,|TLS|IST|FRA|DEN|
DEN|TRN,|TRN|IST|FRA|DEN|
DEN|TUN,|TUN|IST|FRA|DEN|
DEN|TXL,|TXL|EWR|DEN|
DEN|UFA,|UFA|IST|FRA|DEN|
DEN|VAS,|VAS|SAW|FRA|DEN|
DEN|VCE,|VCE|IST|FRA|DEN|
DEN|YNB,|YNB|IST|FRA|DEN|
DEN|ZAG,|ZAG|IST|FRA|DEN|
DEN|MGQ,|MGQ|JIB|IST|FRA|DEN|
DEN|CPT,|CPT|JNB|DKR|IAD|DEN|
DEN|MBA,|MBA|JRO|IST|FRA|DEN|
DEN|NDJ,|NDJ|KAN|IST|FRA|DEN|
DEN|CMB,|CMB|MLE|IST|FRA|DEN|
DEN|ADE,|ADE|SAH|IST|FRA|DEN|
DEN|ASF,|ASF|SAW|FRA|DEN|
DEN|STW,|STW|SAW|FRA|DEN|
DEN|LFW,|LFW|ABJ|BRU|ORD|DEN|
DEN|CEC,|CEC|ACV|SMF|DEN|
DEN|SMF,|SMF|DEN|
DEN|CDR,|CDR|AIA|DEN|
DEN|FMN,|FMN|DEN|
DEN|JST,|JST|IAD|DEN|
DEN|JHW,|JHW|CLE|DEN|
DEN|SHD,|SHD|IAD|DEN|
DEN|PTY,|PTY|IAH|DEN|
DEN|FNA,|FNA|BRU|ORD|DEN|
DEN|SXB,|SXB|BRU|ORD|DEN|
DEN|ACV,|ACV|SMF|DEN|
DEN|MGW,|MGW|IAD|DEN|
DEN|ALB,|ALB|ORD|DEN|
DEN|AUS,|AUS|DEN|
DEN|BFD,|BFD|CLE|DEN|
DEN|BUF,|BUF|ORD|DEN|
DEN|CHS,|CHS|BNA|DEN|
DEN|DAY,|DAY|DEN|
DEN|DUJ,|DUJ|CLE|DEN|
DEN|ERI,|ERI|CLE|DEN|
DEN|FKL,|FKL|CLE|DEN|
DEN|FNT,|FNT|CLE|DEN|
DEN|GRR,|GRR|DEN|
DEN|GSP,|GSP|BNA|DEN|
DEN|PBI,|PBI|TPA|DEN|
DEN|PKB,|PKB|CLE|DEN|
DEN|RIC,|RIC|ORD|DEN|
DEN|SDF,|SDF|DEN|
DEN|GUM,|GUM|HNL|DEN|
DEN|WRL,|WRL|CYS|DEN|
DEN|LBL,|DEN|
DEN|ABQ,|ABQ|DEN|
DEN|AIA,|AIA|DEN|
DEN|ALS,|ALS|DEN|
DEN|AMA,|AMA|DEN|
DEN|ANC,|ANC|DEN|
DEN|ASE,|ASE|DEN|
DEN|BFL,|BFL|DEN|
DEN|BHM,|BHM|DEN|
DEN|BIL,|BIL|DEN|
DEN|BIS,|BIS|DEN|
DEN|BOI,|BOI|DEN|
DEN|BUR,|BUR|DEN|
