GLA|IFN,|IFN|IST|BHX|EWR|GLA|
GLA|ISE,|ISE|IST|BHX|EWR|GLA|
GLA|ISU,|ISU|IST|BHX|EWR|GLA|
GLA|JIB,|JIB|IST|BHX|EWR|GLA|
GLA|JRO,|JRO|IST|BHX|EWR|GLA|
GLA|KAN,|KAN|IST|BHX|EWR|GLA|
GLA|KBL,|KBL|IST|BHX|EWR|GLA|
GLA|KBP,|KBP|IST|BHX|EWR|GLA|
GLA|KFS,|KFS|IST|BHX|EWR|GLA|
GLA|KHI,|KHI|IST|BHX|EWR|GLA|
GLA|KIV,|KIV|IST|BHX|EWR|GLA|
GLA|KRT,|KRT|IST|BHX|EWR|GLA|
GLA|KSH,|KSH|IST|BHX|EWR|GLA|
GLA|KVD,|KVD|IST|BHX|EWR|GLA|
GLA|KWI,|KWI|SAW|FRA|EWR|GLA|
GLA|KYA,|KYA|IST|BHX|EWR|GLA|
GLA|KZN,|KZN|IST|BHX|EWR|GLA|
GLA|KZR,|KZR|IST|BHX|EWR|GLA|
GLA|LED,|LED|VIE|IAD|EWR|GLA|
GLA|LEJ,|LEJ|IST|BHX|EWR|GLA|
GLA|LGW,|LGW|IST|BHX|EWR|GLA|
GLA|LHE,|LHE|IST|BHX|EWR|GLA|
GLA|LIS,|LIS|EWR|GLA|
GLA|LJU,|LJU|IST|BHX|EWR|GLA|
GLA|LOS,|LOS|FRA|EWR|GLA|
GLA|LUX,|LUX|IST|BHX|EWR|GLA|
GLA|LWO,|LWO|IST|BHX|EWR|GLA|
GLA|LYS,|LYS|IST|BHX|EWR|GLA|
GLA|MAD,|MAD|EWR|GLA|
GLA|MAN,|MAN|EWR|GLA|
GLA|MED,|MED|IST|BHX|EWR|GLA|
GLA|MHD,|MHD|IST|BHX|EWR|GLA|
GLA|MLA,|MLA|IST|BHX|EWR|GLA|
GLA|MRS,|MRS|IST|BHX|EWR|GLA|
GLA|MSQ,|MSQ|IST|BHX|EWR|GLA|
GLA|MXP,|MXP|EWR|GLA|
GLA|MZH,|MZH|IST|BHX|EWR|GLA|
GLA|MZR,|MZR|IST|BHX|EWR|GLA|
GLA|NAJ,|NAJ|IST|BHX|EWR|GLA|
GLA|NAV,|NAV|IST|BHX|EWR|GLA|
GLA|NCE,|NCE|IST|BHX|EWR|GLA|
GLA|NIM,|NIM|IST|BHX|EWR|GLA|
GLA|NJF,|NJF|IST|BHX|EWR|GLA|
GLA|NSI,|NSI|BRU|EWR|GLA|
GLA|NUE,|NUE|IST|BHX|EWR|GLA|
GLA|ODS,|ODS|IST|BHX|EWR|GLA|
GLA|ORN,|ORN|IST|BHX|EWR|GLA|
GLA|OTP,|OTP|IST|BHX|EWR|GLA|
GLA|PRG,|PRG|BRU|EWR|GLA|
GLA|PRN,|PRN|IST|BHX|EWR|GLA|
GLA|RIX,|RIX|IST|BHX|EWR|GLA|
GLA|ROV,|ROV|IST|BHX|EWR|GLA|
GLA|RTM,|RTM|IST|BHX|EWR|GLA|
GLA|RUH,|RUH|IST|BHX|EWR|GLA|
GLA|SAH,|SAH|IST|BHX|EWR|GLA|
GLA|SJJ,|SJJ|IST|BHX|EWR|GLA|
GLA|SKG,|SKG|IST|BHX|EWR|GLA|
GLA|SKP,|SKP|IST|BHX|EWR|GLA|
GLA|SSH,|SSH|IST|BHX|EWR|GLA|
GLA|STR,|STR|EWR|GLA|
GLA|SVX,|SVX|IST|BHX|EWR|GLA|
GLA|SYZ,|SYZ|IST|BHX|EWR|GLA|
GLA|SZG,|SZG|IST|BHX|EWR|GLA|
GLA|TBZ,|TBZ|IST|BHX|EWR|GLA|
GLA|TGD,|TGD|IST|BHX|EWR|GLA|
GLA|TIA,|TIA|IST|BHX|EWR|GLA|
GLA|TIF,|TIF|IST|BHX|EWR|GLA|
GLA|TIP,|TIP|IST|BHX|EWR|GLA|
GLA|TLL,|TLL|VNO|CPH|AMS|EWR|GLA|
