IST|SAV,|SAV|EWR|BHX|IST|
IST|SDQ,|SDQ|EWR|BHX|IST|
IST|SJU,|SJU|EWR|BHX|IST|
IST|SNN,|SNN|EWR|BHX|IST|
IST|STT,|STT|EWR|BHX|IST|
IST|SXM,|SXM|EWR|BHX|IST|
IST|BIM,|BIM|FLL|MCO|FRA|IST|
IST|ELH,|ELH|PBI|EWR|BHX|IST|
IST|EYW,|EYW|MCO|FRA|IST|
IST|FPO,|FPO|FLL|MCO|FRA|IST|
IST|GHB,|GHB|FLL|MCO|FRA|IST|
IST|MHH,|MHH|MCO|FRA|IST|
IST|TCB,|TCB|FLL|MCO|FRA|IST|
IST|SOW,|SOW|FMN|DEN|FRA|IST|
IST|ROB,|ROB|FNA|BRU|IST|
IST|GIG,|GIG|GRU|IST|
IST|CNS,|CNS|GUM|FUK|ICN|IST|
IST|CTS,|CTS|GUM|FUK|ICN|IST|
IST|OKJ,|OKJ|GUM|FUK|ICN|IST|
IST|ROP,|ROP|GUM|FUK|ICN|IST|
IST|ROR,|ROR|MNL|CAN|IST|
