LYG|KWI,|KWI|SAW|TBS|URC|INC|XUZ|LYG|
LYG|KYA,|KYA|SAW|TBS|URC|INC|XUZ|LYG|
LYG|KZN,|KZN|IST|URC|INC|XUZ|LYG|
LYG|KZR,|KZR|IST|URC|INC|XUZ|LYG|
LYG|LED,|LED|IST|URC|INC|XUZ|LYG|
LYG|LEJ,|LEJ|IST|URC|INC|XUZ|LYG|
LYG|LGW,|LGW|IST|URC|INC|XUZ|LYG|
LYG|LHE,|LHE|IST|URC|INC|XUZ|LYG|
LYG|LIS,|LIS|IST|URC|INC|XUZ|LYG|
LYG|LJU,|LJU|IST|URC|INC|XUZ|LYG|
LYG|LOS,|LOS|IST|URC|INC|XUZ|LYG|
LYG|LUX,|LUX|IST|URC|INC|XUZ|LYG|
