YDF|AAL,|AAL|IST|LHR|YYT|YDF|
YDF|AOE,|AOE|BRU|YUL|YHZ|YDF|
YDF|JNB,|JNB|IST|LHR|YYT|YDF|
YDF|LBV,|LBV|DLA|IST|LHR|YYT|YDF|
YDF|ADA,|ADA|IST|LHR|YYT|YDF|
YDF|ADB,|ADB|IST|LHR|YYT|YDF|
YDF|ADF,|ADF|IST|LHR|YYT|YDF|
YDF|AJI,|AJI|IST|LHR|YYT|YDF|
YDF|BAL,|BAL|IST|LHR|YYT|YDF|
YDF|BJV,|BJV|IST|LHR|YYT|YDF|
YDF|CKZ,|CKZ|ESB|IST|LHR|YYT|YDF|
YDF|DIY,|DIY|IST|LHR|YYT|YDF|
YDF|ECN,|ECN|IST|LHR|YYT|YDF|
YDF|ERC,|ERC|IST|LHR|YYT|YDF|
YDF|ERZ,|ERZ|IST|LHR|YYT|YDF|
YDF|EZS,|EZS|IST|LHR|YYT|YDF|
YDF|GNY,|GNY|IST|LHR|YYT|YDF|
YDF|GZP,|GZP|ESB|IST|LHR|YYT|YDF|
YDF|GZT,|GZT|IST|LHR|YYT|YDF|
YDF|HTY,|HTY|IST|LHR|YYT|YDF|
YDF|KCM,|KCM|IST|LHR|YYT|YDF|
YDF|KSY,|KSY|IST|LHR|YYT|YDF|
YDF|MLX,|MLX|IST|LHR|YYT|YDF|
YDF|MQM,|MQM|IST|LHR|YYT|YDF|
YDF|MSR,|MSR|IST|LHR|YYT|YDF|
YDF|TEQ,|TEQ|ESB|IST|LHR|YYT|YDF|
YDF|TZX,|TZX|IST|LHR|YYT|YDF|
YDF|VAN,|VAN|IST|LHR|YYT|YDF|
YDF|ULN,|ULN|FRU|IST|LHR|YYT|YDF|
YDF|HIJ,|HIJ|ICN|JFK|YUL|YHZ|YDF|
YDF|VVO,|VVO|ICN|JFK|YUL|YHZ|YDF|
YDF|ACC,|ACC|IST|LHR|YYT|YDF|
YDF|AER,|AER|IST|LHR|YYT|YDF|
YDF|AGP,|AGP|IST|LHR|YYT|YDF|
YDF|ALG,|ALG|IST|LHR|YYT|YDF|
YDF|AMM,|AMM|IST|LHR|YYT|YDF|
YDF|AQJ,|AQJ|IST|LHR|YYT|YDF|
YDF|ARN,|ARN|EWR|YHZ|YDF|
YDF|ASR,|ASR|IST|LHR|YYT|YDF|
YDF|ATH,|ATH|IST|LHR|YYT|YDF|
YDF|BAH,|BAH|IST|LHR|YYT|YDF|
YDF|BEG,|BEG|IST|LHR|YYT|YDF|
YDF|BEN,|BEN|IST|LHR|YYT|YDF|
YDF|BEY,|BEY|IST|LHR|YYT|YDF|
YDF|BHX,|BHX|EWR|YHZ|YDF|
YDF|BIO,|BIO|IST|LHR|YYT|YDF|
YDF|BLQ,|BLQ|IST|LHR|YYT|YDF|
YDF|BOM,|BOM|IST|LHR|YYT|YDF|
YDF|BRE,|BRE|IST|LHR|YYT|YDF|
YDF|BSL,|BSL|IST|LHR|YYT|YDF|
YDF|BSR,|BSR|IST|LHR|YYT|YDF|
YDF|BUD,|BUD|IST|LHR|YYT|YDF|
YDF|BUS,|BUS|IST|LHR|YYT|YDF|
YDF|CAI,|CAI|IST|LHR|YYT|YDF|
YDF|CGN,|CGN|IST|LHR|YYT|YDF|
YDF|CMN,|CMN|IST|LHR|YYT|YDF|
YDF|CND,|CND|IST|LHR|YYT|YDF|
YDF|DAR,|DAR|IST|LHR|YYT|YDF|
