MBJ|ESB,|ESB|IST|LHR|YHZ|MBJ|
MBJ|SAW,|SAW|FRA|EWR|MBJ|
MBJ|HAM,|HAM|EWR|MBJ|
MBJ|HRE,|HRE|ADD|IST|LHR|YHZ|MBJ|
MBJ|JUB,|JUB|CAI|IST|LHR|YHZ|MBJ|
MBJ|SSG,|SSG|DLA|BRU|EWR|MBJ|
MBJ|BGW,|BGW|IST|LHR|YHZ|MBJ|
MBJ|EBL,|EBL|IST|LHR|YHZ|MBJ|
MBJ|VKO,|VKO|IST|LHR|YHZ|MBJ|
MBJ|MCT,|MCT|IST|LHR|YHZ|MBJ|
MBJ|AYT,|AYT|IST|LHR|YHZ|MBJ|
MBJ|SCQ,|SCQ|BIO|IST|LHR|YHZ|MBJ|
MBJ|AAL,|AAL|IST|LHR|YHZ|MBJ|
MBJ|AOE,|AOE|BRU|EWR|MBJ|
MBJ|JNB,|JNB|DKR|IAD|MBJ|
MBJ|LBV,|LBV|DLA|BRU|EWR|MBJ|
MBJ|ADA,|ADA|IST|LHR|YHZ|MBJ|
MBJ|ADB,|ADB|IST|LHR|YHZ|MBJ|
MBJ|ADF,|ADF|IST|LHR|YHZ|MBJ|
MBJ|AJI,|AJI|IST|LHR|YHZ|MBJ|
MBJ|BAL,|BAL|IST|LHR|YHZ|MBJ|
MBJ|BJV,|BJV|IST|LHR|YHZ|MBJ|
MBJ|CKZ,|CKZ|ESB|IST|LHR|YHZ|MBJ|
MBJ|DIY,|DIY|IST|LHR|YHZ|MBJ|
MBJ|ECN,|ECN|IST|LHR|YHZ|MBJ|
MBJ|ERC,|ERC|IST|LHR|YHZ|MBJ|
MBJ|ERZ,|ERZ|IST|LHR|YHZ|MBJ|
MBJ|EZS,|EZS|IST|LHR|YHZ|MBJ|
MBJ|GNY,|GNY|IST|LHR|YHZ|MBJ|
MBJ|GZP,|GZP|ESB|IST|LHR|YHZ|MBJ|
MBJ|GZT,|GZT|IST|LHR|YHZ|MBJ|
MBJ|HTY,|HTY|IST|LHR|YHZ|MBJ|
MBJ|KCM,|KCM|IST|LHR|YHZ|MBJ|
MBJ|KSY,|KSY|IST|LHR|YHZ|MBJ|
MBJ|MLX,|MLX|IST|LHR|YHZ|MBJ|
MBJ|MQM,|MQM|IST|LHR|YHZ|MBJ|
MBJ|MSR,|MSR|IST|LHR|YHZ|MBJ|
MBJ|TEQ,|TEQ|ESB|IST|LHR|YHZ|MBJ|
MBJ|TZX,|TZX|IST|LHR|YHZ|MBJ|
MBJ|VAN,|VAN|IST|LHR|YHZ|MBJ|
MBJ|ULN,|ULN|FRU|IST|LHR|YHZ|MBJ|
MBJ|HIJ,|HIJ|ICN|YVR|IAH|MBJ|
MBJ|VVO,|VVO|ICN|YVR|IAH|MBJ|
MBJ|ACC,|ACC|IST|LHR|YHZ|MBJ|
MBJ|AER,|AER|IST|LHR|YHZ|MBJ|
MBJ|AGP,|AGP|IST|LHR|YHZ|MBJ|
MBJ|ALG,|ALG|IST|LHR|YHZ|MBJ|
MBJ|AMM,|AMM|IST|LHR|YHZ|MBJ|
MBJ|AQJ,|AQJ|IST|LHR|YHZ|MBJ|
MBJ|ARN,|ARN|EWR|MBJ|
MBJ|ASR,|ASR|IST|LHR|YHZ|MBJ|
MBJ|ATH,|ATH|IST|LHR|YHZ|MBJ|
MBJ|BAH,|BAH|IST|LHR|YHZ|MBJ|
MBJ|BEG,|BEG|IST|LHR|YHZ|MBJ|
MBJ|BEN,|BEN|IST|LHR|YHZ|MBJ|
MBJ|BEY,|BEY|IST|LHR|YHZ|MBJ|
MBJ|BHX,|BHX|EWR|MBJ|
MBJ|BIO,|BIO|IST|LHR|YHZ|MBJ|
MBJ|BLQ,|BLQ|IST|LHR|YHZ|MBJ|
MBJ|BOM,|BOM|EWR|MBJ|
MBJ|BRE,|BRE|IST|LHR|YHZ|MBJ|
MBJ|BSL,|BSL|IST|LHR|YHZ|MBJ|
MBJ|BSR,|BSR|IST|LHR|YHZ|MBJ|
MBJ|BUD,|BUD|IST|LHR|YHZ|MBJ|
MBJ|BUS,|BUS|IST|LHR|YHZ|MBJ|
MBJ|CAI,|CAI|IST|LHR|YHZ|MBJ|
MBJ|CGN,|CGN|IST|LHR|YHZ|MBJ|
MBJ|CMN,|CMN|IST|LHR|YHZ|MBJ|
MBJ|CND,|CND|IST|LHR|YHZ|MBJ|
MBJ|DAR,|DAR|NBO|ZRH|EWR|MBJ|
MBJ|DLM,|DLM|IST|LHR|YHZ|MBJ|
MBJ|DMM,|DMM|IST|LHR|YHZ|MBJ|
MBJ|DNK,|DNK|IST|LHR|YHZ|MBJ|
MBJ|DNZ,|DNZ|IST|LHR|YHZ|MBJ|
MBJ|DOK,|DOK|IST|LHR|YHZ|MBJ|
MBJ|DUS,|DUS|EWR|MBJ|
MBJ|EDI,|EDI|EWR|MBJ|
MBJ|ELQ,|ELQ|IST|LHR|YHZ|MBJ|
MBJ|FDH,|FDH|IST|LHR|YHZ|MBJ|
MBJ|GOA,|GOA|IST|LHR|YHZ|MBJ|
