BGI|JNB,|JNB|JFK|YYZ|BGI|
BGI|LBV,|LBV|DLA|BRU|YUL|YYZ|BGI|
BGI|ADA,|ADA|SAW|VIE|YYZ|BGI|
BGI|ADB,|ADB|IST|YYZ|BGI|
BGI|ADF,|ADF|ESB|VIE|YYZ|BGI|
BGI|AJI,|AJI|ESB|VIE|YYZ|BGI|
BGI|BAL,|BAL|ESB|VIE|YYZ|BGI|
BGI|BJV,|BJV|IST|YYZ|BGI|
BGI|CKZ,|CKZ|ESB|VIE|YYZ|BGI|
BGI|DIY,|DIY|ESB|VIE|YYZ|BGI|
BGI|ECN,|ECN|IST|YYZ|BGI|
BGI|ERC,|ERC|ESB|VIE|YYZ|BGI|
BGI|ERZ,|ERZ|ESB|VIE|YYZ|BGI|
BGI|EZS,|EZS|ESB|VIE|YYZ|BGI|
BGI|GNY,|GNY|ESB|VIE|YYZ|BGI|
BGI|GZP,|GZP|ESB|VIE|YYZ|BGI|
BGI|GZT,|GZT|ESB|VIE|YYZ|BGI|
BGI|HTY,|HTY|SAW|VIE|YYZ|BGI|
BGI|KCM,|KCM|ESB|VIE|YYZ|BGI|
BGI|KSY,|KSY|ESB|VIE|YYZ|BGI|
BGI|MLX,|MLX|ESB|VIE|YYZ|BGI|
BGI|MQM,|MQM|ESB|VIE|YYZ|BGI|
BGI|MSR,|MSR|ESB|VIE|YYZ|BGI|
BGI|TEQ,|TEQ|ESB|VIE|YYZ|BGI|
BGI|TZX,|TZX|ESB|VIE|YYZ|BGI|
BGI|VAN,|VAN|ESB|VIE|YYZ|BGI|
BGI|ULN,|ULN|FRU|IST|YYZ|BGI|
BGI|HIJ,|HIJ|ICN|PEK|YYZ|BGI|
BGI|VVO,|VVO|ICN|PEK|YYZ|BGI|
BGI|ACC,|ACC|IST|YYZ|BGI|
BGI|AER,|AER|IST|YYZ|BGI|
BGI|AGP,|AGP|IST|YYZ|BGI|
BGI|ALG,|ALG|IST|YYZ|BGI|
BGI|AMM,|AMM|IST|YYZ|BGI|
BGI|AQJ,|AQJ|IST|YYZ|BGI|
BGI|ARN,|ARN|EWR|YYZ|BGI|
BGI|ASR,|ASR|SAW|VIE|YYZ|BGI|
BGI|ATH,|ATH|IST|YYZ|BGI|
BGI|BAH,|BAH|IST|YYZ|BGI|
BGI|BEG,|BEG|IST|YYZ|BGI|
BGI|BEN,|BEN|IST|YYZ|BGI|
BGI|BEY,|BEY|IST|YYZ|BGI|
BGI|BHX,|BHX|EWR|YYZ|BGI|
BGI|BIO,|BIO|IST|YYZ|BGI|
BGI|BLQ,|BLQ|IST|YYZ|BGI|
BGI|BOM,|BOM|IST|YYZ|BGI|
BGI|BRE,|BRE|IST|YYZ|BGI|
BGI|BSL,|BSL|IST|YYZ|BGI|
BGI|BSR,|BSR|IST|YYZ|BGI|
BGI|BUD,|BUD|IST|YYZ|BGI|
BGI|BUS,|BUS|IST|YYZ|BGI|
BGI|CAI,|CAI|IST|YYZ|BGI|
BGI|CGN,|CGN|IST|YYZ|BGI|
BGI|CMN,|CMN|IST|YYZ|BGI|
BGI|CND,|CND|IST|YYZ|BGI|
BGI|DAR,|DAR|NBO|ZRH|YYZ|BGI|
BGI|DLM,|DLM|IST|YYZ|BGI|
BGI|DMM,|DMM|IST|YYZ|BGI|
BGI|DNK,|DNK|IST|YYZ|BGI|
BGI|DNZ,|DNZ|IST|YYZ|BGI|
BGI|DOK,|DOK|IST|YYZ|BGI|
BGI|DUS,|DUS|EWR|YYZ|BGI|
BGI|EDI,|EDI|EWR|YYZ|BGI|
BGI|ELQ,|ELQ|IST|YYZ|BGI|
BGI|FDH,|FDH|IST|YYZ|BGI|
BGI|GOA,|GOA|IST|YYZ|BGI|
BGI|GOT,|GOT|BRU|YUL|YYZ|BGI|
BGI|HAJ,|HAJ|BRU|YUL|YYZ|BGI|
BGI|HBE,|HBE|IST|YYZ|BGI|
BGI|HEL,|HEL|IST|YYZ|BGI|
BGI|HRG,|HRG|IST|YYZ|BGI|
BGI|IFN,|IFN|IST|YYZ|BGI|
BGI|ISE,|ISE|IST|YYZ|BGI|
BGI|ISU,|ISU|IST|YYZ|BGI|
BGI|JIB,|JIB|IST|YYZ|BGI|
BGI|JRO,|JRO|IST|YYZ|BGI|
BGI|KAN,|KAN|IST|YYZ|BGI|
BGI|KBL,|KBL|IST|YYZ|BGI|
BGI|KBP,|KBP|IST|YYZ|BGI|
BGI|KFS,|KFS|IST|YYZ|BGI|
BGI|KHI,|KHI|IST|YYZ|BGI|
BGI|KIV,|KIV|IST|YYZ|BGI|
BGI|KRT,|KRT|IST|YYZ|BGI|
BGI|KSH,|KSH|IST|YYZ|BGI|
BGI|KVD,|KVD|IST|YYZ|BGI|
BGI|KWI,|KWI|SAW|VIE|YYZ|BGI|
BGI|KYA,|KYA|IST|YYZ|BGI|
BGI|KZN,|KZN|IST|YYZ|BGI|
BGI|KZR,|KZR|IST|YYZ|BGI|
BGI|LED,|LED|VIE|YYZ|BGI|
BGI|LEJ,|LEJ|IST|YYZ|BGI|
BGI|LGW,|LGW|IST|YYZ|BGI|
BGI|LHE,|LHE|IST|YYZ|BGI|
BGI|LIS,|LIS|EWR|YYZ|BGI|
BGI|LJU,|LJU|IST|YYZ|BGI|
BGI|LOS,|LOS|FRA|YYZ|BGI|
BGI|LUX,|LUX|IST|YYZ|BGI|
BGI|LWO,|LWO|IST|YYZ|BGI|
BGI|LYS,|LYS|IST|YYZ|BGI|
BGI|MAD,|MAD|EWR|YYZ|BGI|
BGI|MAN,|MAN|EWR|YYZ|BGI|
BGI|MED,|MED|IST|YYZ|BGI|
BGI|MHD,|MHD|IST|YYZ|BGI|
BGI|MLA,|MLA|IST|YYZ|BGI|
BGI|MRS,|MRS|IST|YYZ|BGI|
BGI|MSQ,|MSQ|IST|YYZ|BGI|
BGI|MXP,|MXP|EWR|YYZ|BGI|
BGI|MZH,|MZH|IST|YYZ|BGI|
BGI|MZR,|MZR|IST|YYZ|BGI|
BGI|NAJ,|NAJ|IST|YYZ|BGI|
BGI|NAV,|NAV|IST|YYZ|BGI|
BGI|NCE,|NCE|IST|YYZ|BGI|
BGI|NIM,|NIM|IST|YYZ|BGI|
BGI|NJF,|NJF|IST|YYZ|BGI|
BGI|NSI,|NSI|BRU|YUL|YYZ|BGI|
BGI|NUE,|NUE|IST|YYZ|BGI|
BGI|ODS,|ODS|IST|YYZ|BGI|
BGI|ORN,|ORN|IST|YYZ|BGI|
BGI|OTP,|OTP|IST|YYZ|BGI|
BGI|PRG,|PRG|BRU|YUL|YYZ|BGI|
BGI|PRN,|PRN|IST|YYZ|BGI|
BGI|RIX,|RIX|IST|YYZ|BGI|
BGI|ROV,|ROV|IST|YYZ|BGI|
BGI|RTM,|RTM|IST|YYZ|BGI|
BGI|RUH,|RUH|IST|YYZ|BGI|
BGI|SAH,|SAH|IST|YYZ|BGI|
BGI|SJJ,|SJJ|IST|YYZ|BGI|
BGI|SKG,|SKG|IST|YYZ|BGI|
BGI|SKP,|SKP|IST|YYZ|BGI|
BGI|SSH,|SSH|IST|YYZ|BGI|
BGI|STR,|STR|EWR|YYZ|BGI|
BGI|SVX,|SVX|IST|YYZ|BGI|
BGI|SYZ,|SYZ|IST|YYZ|BGI|
BGI|SZG,|SZG|IST|YYZ|BGI|
BGI|TBZ,|TBZ|IST|YYZ|BGI|
BGI|TGD,|TGD|IST|YYZ|BGI|
BGI|TIA,|TIA|IST|YYZ|BGI|
BGI|TIF,|TIF|IST|YYZ|BGI|
BGI|TIP,|TIP|IST|YYZ|BGI|
BGI|TLL,|TLL|VNO|CPH|YYZ|BGI|
BGI|TLS,|TLS|IST|YYZ|BGI|
