ROA|DUS,|DUS|EWR|IAD|ROA|
ROA|EDI,|EDI|EWR|IAD|ROA|
ROA|ELQ,|ELQ|IST|IAD|ROA|
ROA|FDH,|FDH|IST|IAD|ROA|
ROA|GOA,|GOA|IST|IAD|ROA|
ROA|GOT,|GOT|BRU|IAD|ROA|
ROA|HAJ,|HAJ|BRU|IAD|ROA|
ROA|HBE,|HBE|IST|IAD|ROA|
ROA|HEL,|HEL|IST|IAD|ROA|
ROA|HRG,|HRG|IST|IAD|ROA|
ROA|IFN,|IFN|IST|IAD|ROA|
ROA|ISE,|ISE|IST|IAD|ROA|
ROA|ISU,|ISU|IST|IAD|ROA|
ROA|JIB,|JIB|IST|IAD|ROA|
ROA|JRO,|JRO|IST|IAD|ROA|
ROA|KAN,|KAN|IST|IAD|ROA|
ROA|KBL,|KBL|IST|IAD|ROA|
ROA|KBP,|KBP|IST|IAD|ROA|
ROA|KFS,|KFS|IST|IAD|ROA|
ROA|KHI,|KHI|IST|IAD|ROA|
ROA|KIV,|KIV|IST|IAD|ROA|
ROA|KRT,|KRT|IST|IAD|ROA|
ROA|KSH,|KSH|IST|IAD|ROA|
ROA|KVD,|KVD|IST|IAD|ROA|
ROA|KWI,|KWI|IAD|ROA|
ROA|KYA,|KYA|IST|IAD|ROA|
ROA|KZN,|KZN|IST|IAD|ROA|
ROA|KZR,|KZR|IST|IAD|ROA|
ROA|LED,|LED|VIE|IAD|ROA|
ROA|LEJ,|LEJ|IST|IAD|ROA|
ROA|LGW,|LGW|IST|IAD|ROA|
ROA|LHE,|LHE|IST|IAD|ROA|
ROA|LIS,|LIS|EWR|IAD|ROA|
ROA|LJU,|LJU|IST|IAD|ROA|
ROA|LOS,|LOS|FRA|IAD|ROA|
ROA|LUX,|LUX|IST|IAD|ROA|
ROA|LWO,|LWO|IST|IAD|ROA|
ROA|LYS,|LYS|IST|IAD|ROA|
ROA|MAD,|MAD|EWR|IAD|ROA|
ROA|MAN,|MAN|IAD|ROA|
ROA|MED,|MED|IST|IAD|ROA|
ROA|MHD,|MHD|IST|IAD|ROA|
ROA|MLA,|MLA|IST|IAD|ROA|
ROA|MRS,|MRS|IST|IAD|ROA|
ROA|MSQ,|MSQ|IST|IAD|ROA|
ROA|MXP,|MXP|EWR|IAD|ROA|
ROA|MZH,|MZH|IST|IAD|ROA|
ROA|MZR,|MZR|IST|IAD|ROA|
ROA|NAJ,|NAJ|IST|IAD|ROA|
ROA|NAV,|NAV|IST|IAD|ROA|
ROA|NCE,|NCE|IST|IAD|ROA|
ROA|NIM,|NIM|IST|IAD|ROA|
ROA|NJF,|NJF|IST|IAD|ROA|
ROA|NSI,|NSI|BRU|IAD|ROA|
ROA|NUE,|NUE|IST|IAD|ROA|
ROA|ODS,|ODS|IST|IAD|ROA|
ROA|ORN,|ORN|IST|IAD|ROA|
ROA|OTP,|OTP|IST|IAD|ROA|
ROA|PRG,|PRG|BRU|IAD|ROA|
ROA|PRN,|PRN|IST|IAD|ROA|
ROA|RIX,|RIX|IST|IAD|ROA|
ROA|ROV,|ROV|IST|IAD|ROA|
ROA|RTM,|RTM|IST|IAD|ROA|
ROA|RUH,|RUH|IST|IAD|ROA|
ROA|SAH,|SAH|IST|IAD|ROA|
ROA|SJJ,|SJJ|IST|IAD|ROA|
ROA|SKG,|SKG|IST|IAD|ROA|
ROA|SKP,|SKP|IST|IAD|ROA|
ROA|SSH,|SSH|IST|IAD|ROA|
ROA|STR,|STR|EWR|IAD|ROA|
ROA|SVX,|SVX|IST|IAD|ROA|
ROA|SYZ,|SYZ|IST|IAD|ROA|
ROA|SZG,|SZG|IST|IAD|ROA|
ROA|TBZ,|TBZ|IST|IAD|ROA|
ROA|TGD,|TGD|IST|IAD|ROA|
ROA|TIA,|TIA|IST|IAD|ROA|
ROA|TIF,|TIF|IST|IAD|ROA|
ROA|TIP,|TIP|IST|IAD|ROA|
ROA|TLL,|TLL|VNO|CPH|YYZ|IAD|ROA|
ROA|TLS,|TLS|IST|IAD|ROA|
ROA|TRN,|TRN|IST|IAD|ROA|
ROA|TUN,|TUN|IST|IAD|ROA|
