DCA|AQJ,|AQJ|IST|BHX|EWR|DCA|
DCA|ARN,|ARN|EWR|DCA|
DCA|ASR,|ASR|SAW|FRA|EWR|DCA|
DCA|ATH,|ATH|IST|BHX|EWR|DCA|
DCA|BAH,|BAH|IST|BHX|EWR|DCA|
DCA|BEG,|BEG|IST|BHX|EWR|DCA|
DCA|BEN,|BEN|IST|BHX|EWR|DCA|
DCA|BEY,|BEY|IST|BHX|EWR|DCA|
DCA|BHX,|BHX|EWR|DCA|
DCA|BIO,|BIO|IST|BHX|EWR|DCA|
DCA|BLQ,|BLQ|IST|BHX|EWR|DCA|
DCA|BOM,|BOM|EWR|DCA|
DCA|BRE,|BRE|IST|BHX|EWR|DCA|
DCA|BSL,|BSL|IST|BHX|EWR|DCA|
DCA|BSR,|BSR|IST|BHX|EWR|DCA|
DCA|BUD,|BUD|IST|BHX|EWR|DCA|
DCA|BUS,|BUS|IST|BHX|EWR|DCA|
DCA|CAI,|CAI|IST|BHX|EWR|DCA|
DCA|CGN,|CGN|IST|BHX|EWR|DCA|
DCA|CMN,|CMN|IST|BHX|EWR|DCA|
DCA|CND,|CND|IST|BHX|EWR|DCA|
DCA|DAR,|DAR|NBO|ZRH|EWR|DCA|
DCA|DLM,|DLM|IST|BHX|EWR|DCA|
DCA|DMM,|DMM|IST|BHX|EWR|DCA|
DCA|DNK,|DNK|IST|BHX|EWR|DCA|
DCA|DNZ,|DNZ|IST|BHX|EWR|DCA|
DCA|DOK,|DOK|IST|BHX|EWR|DCA|
DCA|DUS,|DUS|EWR|DCA|
DCA|EDI,|EDI|EWR|DCA|
DCA|ELQ,|ELQ|IST|BHX|EWR|DCA|
DCA|FDH,|FDH|IST|BHX|EWR|DCA|
DCA|GOA,|GOA|IST|BHX|EWR|DCA|
DCA|GOT,|GOT|BRU|EWR|DCA|
DCA|HAJ,|HAJ|BRU|EWR|DCA|
DCA|HBE,|HBE|IST|BHX|EWR|DCA|
DCA|HEL,|HEL|IST|BHX|EWR|DCA|
DCA|HRG,|HRG|IST|BHX|EWR|DCA|
DCA|IFN,|IFN|IST|BHX|EWR|DCA|
DCA|ISE,|ISE|IST|BHX|EWR|DCA|
DCA|ISU,|ISU|IST|BHX|EWR|DCA|
DCA|JIB,|JIB|IST|BHX|EWR|DCA|
DCA|JRO,|JRO|IST|BHX|EWR|DCA|
DCA|KAN,|KAN|IST|BHX|EWR|DCA|
DCA|KBL,|KBL|IST|BHX|EWR|DCA|
DCA|KBP,|KBP|IST|BHX|EWR|DCA|
DCA|KFS,|KFS|IST|BHX|EWR|DCA|
DCA|KHI,|KHI|IST|BHX|EWR|DCA|
DCA|KIV,|KIV|IST|BHX|EWR|DCA|
DCA|KRT,|KRT|IST|BHX|EWR|DCA|
DCA|KSH,|KSH|IST|BHX|EWR|DCA|
DCA|KVD,|KVD|IST|BHX|EWR|DCA|
DCA|KWI,|KWI|SAW|FRA|EWR|DCA|
DCA|KYA,|KYA|IST|BHX|EWR|DCA|
DCA|KZN,|KZN|IST|BHX|EWR|DCA|
DCA|KZR,|KZR|IST|BHX|EWR|DCA|
