ELP|TEQ,|TEQ|ESB|FRA|DEN|ELP|
ELP|TZX,|TZX|ESB|FRA|DEN|ELP|
ELP|VAN,|VAN|ESB|FRA|DEN|ELP|
ELP|ULN,|ULN|FRU|URC|PEK|SEA|LAS|ELP|
ELP|HIJ,|HIJ|ICN|SFO|LAS|ELP|
ELP|VVO,|VVO|ICN|SFO|LAS|ELP|
ELP|ACC,|ACC|IST|FRA|DEN|ELP|
ELP|AER,|AER|IST|FRA|DEN|ELP|
ELP|AGP,|AGP|IST|FRA|DEN|ELP|
ELP|ALG,|ALG|IST|FRA|DEN|ELP|
ELP|AMM,|AMM|IST|FRA|DEN|ELP|
ELP|AQJ,|AQJ|IST|FRA|DEN|ELP|
ELP|ARN,|ARN|EWR|BWI|LIT|DAL|ELP|
ELP|ASR,|ASR|SAW|FRA|DEN|ELP|
ELP|ATH,|ATH|IST|FRA|DEN|ELP|
ELP|BAH,|BAH|IST|FRA|DEN|ELP|
ELP|BEG,|BEG|IST|FRA|DEN|ELP|
ELP|BEN,|BEN|IST|FRA|DEN|ELP|
ELP|BEY,|BEY|IST|FRA|DEN|ELP|
ELP|BHX,|BHX|EWR|BWI|LIT|DAL|ELP|
ELP|BIO,|BIO|IST|FRA|DEN|ELP|
ELP|BLQ,|BLQ|IST|FRA|DEN|ELP|
ELP|BOM,|BOM|EWR|BWI|LIT|DAL|ELP|
ELP|BRE,|BRE|IST|FRA|DEN|ELP|
ELP|BSL,|BSL|IST|FRA|DEN|ELP|
ELP|BSR,|BSR|IST|FRA|DEN|ELP|
ELP|BUD,|BUD|IST|FRA|DEN|ELP|
ELP|BUS,|BUS|IST|FRA|DEN|ELP|
ELP|CAI,|CAI|IST|FRA|DEN|ELP|
ELP|CGN,|CGN|IST|FRA|DEN|ELP|
ELP|CMN,|CMN|IST|FRA|DEN|ELP|
ELP|CND,|CND|IST|FRA|DEN|ELP|
ELP|DAR,|DAR|NBO|ZRH|YYZ|STL|DAL|ELP|
