JED|MXP,|MXP|IST|JED|
JED|MZH,|MZH|IST|JED|
JED|MZR,|MZR|IST|JED|
JED|NAJ,|NAJ|IST|JED|
JED|NAV,|NAV|IST|JED|
JED|NCE,|NCE|IST|JED|
JED|NIM,|NIM|IST|JED|
JED|NJF,|NJF|IST|JED|
JED|NSI,|NSI|DLA|ADD|JED|
JED|NUE,|NUE|IST|JED|
JED|ODS,|ODS|IST|JED|
JED|ORN,|ORN|IST|JED|
JED|OTP,|OTP|IST|JED|
JED|PRG,|PRG|IST|JED|
JED|PRN,|PRN|IST|JED|
JED|RIX,|RIX|IST|JED|
JED|ROV,|ROV|IST|JED|
JED|RTM,|RTM|IST|JED|
JED|RUH,|RUH|IST|JED|
JED|SAH,|SAH|IST|JED|
JED|SJJ,|SJJ|IST|JED|
JED|SKG,|SKG|IST|JED|
JED|SKP,|SKP|IST|JED|
JED|SSH,|SSH|IST|JED|
JED|STR,|STR|IST|JED|
JED|SVX,|SVX|IST|JED|
JED|SYZ,|SYZ|IST|JED|
JED|SZG,|SZG|IST|JED|
JED|TBZ,|TBZ|IST|JED|
JED|TGD,|TGD|IST|JED|
JED|TIA,|TIA|IST|JED|
JED|TIF,|TIF|IST|JED|
JED|TIP,|TIP|IST|JED|
JED|TLL,|TLL|IST|JED|
JED|TLS,|TLS|IST|JED|
JED|TRN,|TRN|IST|JED|
JED|TUN,|TUN|IST|JED|
JED|TXL,|TXL|IST|JED|
JED|UFA,|UFA|IST|JED|
JED|VAS,|VAS|IST|JED|
JED|VCE,|VCE|IST|JED|
JED|YNB,|YNB|IST|JED|
JED|ZAG,|ZAG|IST|JED|
JED|MGQ,|MGQ|JIB|IST|JED|
JED|CPT,|CPT|JNB|IST|JED|
JED|MBA,|MBA|JRO|IST|JED|
JED|NDJ,|NDJ|KAN|IST|JED|
JED|CMB,|CMB|MLE|IST|JED|
JED|ADE,|ADE|SAH|IST|JED|
JED|ASF,|ASF|SAW|ADB|IST|JED|
JED|STW,|STW|SAW|ADB|IST|JED|
JED|LFW,|LFW|ABJ|OUA|NIM|IST|JED|
JED|CEC,|CEC|ACV|SMF|SEA|FRA|JED|
JED|SMF,|SMF|SEA|FRA|JED|
JED|CDR,|CDR|AIA|DEN|FRA|JED|
JED|FMN,|FMN|DEN|FRA|JED|
JED|JST,|JST|IAD|FRA|JED|
JED|JHW,|JHW|CLE|YYZ|FRA|JED|
JED|SHD,|SHD|IAD|FRA|JED|
JED|PTY,|PTY|MIA|FRA|JED|
JED|FNA,|FNA|BRU|IST|JED|
JED|SXB,|SXB|BRU|IST|JED|
JED|ACV,|ACV|SMF|SEA|FRA|JED|
JED|MGW,|MGW|IAD|FRA|JED|
JED|ALB,|ALB|EWR|FRA|JED|
JED|AUS,|AUS|CLE|YYZ|FRA|JED|
JED|BFD,|BFD|CLE|YYZ|FRA|JED|
JED|BUF,|BUF|EWR|FRA|JED|
JED|CHS,|CHS|EWR|FRA|JED|
JED|DAY,|DAY|CLE|YYZ|FRA|JED|
JED|DUJ,|DUJ|CLE|YYZ|FRA|JED|
JED|ERI,|ERI|CLE|YYZ|FRA|JED|
JED|FKL,|FKL|CLE|YYZ|FRA|JED|
JED|FNT,|FNT|CLE|YYZ|FRA|JED|
JED|GRR,|GRR|CLE|YYZ|FRA|JED|
JED|GSP,|GSP|EWR|FRA|JED|
JED|PBI,|PBI|EWR|FRA|JED|
JED|PKB,|PKB|CLE|YYZ|FRA|JED|
JED|RIC,|RIC|EWR|FRA|JED|
JED|SDF,|SDF|CLE|YYZ|FRA|JED|
JED|GUM,|GUM|FUK|ICN|IST|JED|
JED|WRL,|WRL|CYS|DEN|FRA|JED|
JED|LBL,|JED|
JED|ABQ,|ABQ|DEN|FRA|JED|
JED|AIA,|AIA|DEN|FRA|JED|
JED|ALS,|ALS|DEN|FRA|JED|
JED|AMA,|AMA|DEN|FRA|JED|
JED|ANC,|ANC|SEA|FRA|JED|
JED|ASE,|ASE|DEN|FRA|JED|
JED|BFL,|BFL|LAX|IST|JED|
JED|BHM,|BHM|BWI|EWR|FRA|JED|
JED|BIL,|BIL|DEN|FRA|JED|
JED|BIS,|BIS|DEN|FRA|JED|
JED|BOI,|BOI|DEN|FRA|JED|
JED|BUR,|BUR|DEN|FRA|JED|
JED|BZN,|BZN|ORD|FRA|JED|
JED|CID,|CID|ORD|FRA|JED|
JED|COD,|COD|DEN|FRA|JED|
JED|COS,|COS|DEN|FRA|JED|
JED|CPR,|CPR|DEN|FRA|JED|
JED|CYS,|CYS|DEN|FRA|JED|
JED|DIK,|DIK|DEN|FRA|JED|
JED|DRO,|DRO|DEN|FRA|JED|
JED|DSM,|DSM|ORD|FRA|JED|
JED|EGE,|EGE|DEN|FRA|JED|
JED|ELP,|ELP|DEN|FRA|JED|
JED|EUG,|EUG|PDX|SEA|FRA|JED|
JED|FAR,|FAR|ORD|FRA|JED|
JED|FAT,|FAT|SFO|FRA|JED|
JED|FCA,|FCA|DEN|FRA|JED|
JED|FSD,|FSD|ORD|FRA|JED|
JED|GCC,|GCC|DEN|FRA|JED|
JED|GEG,|GEG|DEN|FRA|JED|
JED|GJT,|GJT|DEN|FRA|JED|
JED|GTF,|GTF|DEN|FRA|JED|
JED|GUC,|GUC|DEN|FRA|JED|
JED|HDN,|HDN|DEN|FRA|JED|
JED|HLN,|HLN|DEN|FRA|JED|
JED|HSV,|HSV|IAD|FRA|JED|
JED|ICT,|ICT|ORD|FRA|JED|
JED|IDA,|IDA|DEN|FRA|JED|
JED|ISN,|ISN|DEN|FRA|JED|
JED|JAC,|JAC|DEN|FRA|JED|
JED|KOA,|KOA|YVR|FRA|JED|
JED|LAR,|LAR|DEN|FRA|JED|
JED|LBB,|LBB|DAL|STL|DTW|FRA|JED|
JED|LIH,|LIH|YVR|FRA|JED|
JED|LIT,|LIT|ORD|FRA|JED|
JED|LNK,|LNK|ORD|FRA|JED|
JED|MAF,|MAF|DAL|STL|DTW|FRA|JED|
JED|MEM,|MEM|EWR|FRA|JED|
JED|MFR,|MFR|DEN|FRA|JED|
JED|MLI,|MLI|ORD|FRA|JED|
JED|MOT,|MOT|DEN|FRA|JED|
JED|MRY,|MRY|SFO|FRA|JED|
JED|MSN,|MSN|ORD|FRA|JED|
JED|MSO,|MSO|DEN|FRA|JED|
JED|MTJ,|MTJ|DEN|FRA|JED|
JED|OKC,|OKC|ORD|FRA|JED|
JED|OMA,|OMA|ORD|FRA|JED|
