BOS|HTN,|HTN|URC|TSE|FRA|BOS|
BOS|IKA,|IKA|SAW|FRA|BOS|
BOS|KCA,|KCA|URC|TSE|FRA|BOS|
BOS|KHG,|KHG|URC|TSE|FRA|BOS|
BOS|KRL,|KRL|URC|TSE|FRA|BOS|
BOS|KRY,|KRY|URC|TSE|FRA|BOS|
BOS|LBD,|LBD|URC|TSE|FRA|BOS|
BOS|NLT,|NLT|URC|TSE|FRA|BOS|
BOS|OSS,|OSS|IST|FRA|BOS|
BOS|OVB,|OVB|IST|FRA|BOS|
BOS|TBS,|TBS|SAW|FRA|BOS|
BOS|TCG,|TCG|URC|TSE|FRA|BOS|
BOS|TSE,|TSE|FRA|BOS|
BOS|YIN,|YIN|URC|TSE|FRA|BOS|
BOS|ENH,|ENH|WUH|PEK|YYZ|BOS|
BOS|ENY,|ENY|XIY|PEK|YYZ|BOS|
BOS|WXN,|WXN|XIY|PEK|YYZ|BOS|
BOS|BLL,|BLL|IST|FRA|BOS|
BOS|ESB,|ESB|FRA|BOS|
BOS|SAW,|SAW|FRA|BOS|
BOS|HAM,|HAM|EWR|BOS|
BOS|HRE,|HRE|ADD|JED|FRA|BOS|
BOS|JUB,|JUB|CAI|IST|FRA|BOS|
BOS|SSG,|SSG|DLA|BRU|YUL|BOS|
BOS|BGW,|BGW|ESB|FRA|BOS|
BOS|EBL,|EBL|IST|FRA|BOS|
BOS|VKO,|VKO|IST|FRA|BOS|
BOS|MCT,|MCT|IST|FRA|BOS|
BOS|AYT,|AYT|IST|FRA|BOS|
BOS|SCQ,|SCQ|BIO|IST|FRA|BOS|
BOS|AAL,|AAL|IST|FRA|BOS|
BOS|AOE,|AOE|BRU|YUL|BOS|
BOS|JNB,|JNB|JFK|YUL|BOS|
BOS|LBV,|LBV|DLA|BRU|YUL|BOS|
BOS|ADA,|ADA|SAW|FRA|BOS|
BOS|ADB,|ADB|IST|FRA|BOS|
BOS|ADF,|ADF|ESB|FRA|BOS|
BOS|AJI,|AJI|ESB|FRA|BOS|
BOS|BAL,|BAL|ESB|FRA|BOS|
BOS|BJV,|BJV|IST|FRA|BOS|
BOS|CKZ,|CKZ|ESB|FRA|BOS|
BOS|DIY,|DIY|ESB|FRA|BOS|
BOS|ECN,|ECN|IST|FRA|BOS|
BOS|ERC,|ERC|ESB|FRA|BOS|
BOS|ERZ,|ERZ|ESB|FRA|BOS|
BOS|EZS,|EZS|ESB|FRA|BOS|
BOS|GNY,|GNY|ESB|FRA|BOS|
BOS|GZP,|GZP|ESB|FRA|BOS|
BOS|GZT,|GZT|ESB|FRA|BOS|
BOS|HTY,|HTY|SAW|FRA|BOS|
BOS|KCM,|KCM|ESB|FRA|BOS|
BOS|KSY,|KSY|ESB|FRA|BOS|
BOS|MLX,|MLX|ESB|FRA|BOS|
BOS|MQM,|MQM|ESB|FRA|BOS|
BOS|MSR,|MSR|ESB|FRA|BOS|
BOS|TEQ,|TEQ|ESB|FRA|BOS|
BOS|TZX,|TZX|ESB|FRA|BOS|
BOS|VAN,|VAN|ESB|FRA|BOS|
BOS|ULN,|ULN|FRU|IST|FRA|BOS|
BOS|HIJ,|HIJ|ICN|JFK|YUL|BOS|
BOS|VVO,|VVO|ICN|JFK|YUL|BOS|
BOS|ACC,|ACC|IST|FRA|BOS|
BOS|AER,|AER|IST|FRA|BOS|
BOS|AGP,|AGP|IST|FRA|BOS|
BOS|ALG,|ALG|IST|FRA|BOS|
BOS|AMM,|AMM|IST|FRA|BOS|
BOS|AQJ,|AQJ|IST|FRA|BOS|
BOS|ARN,|ARN|EWR|BOS|
BOS|ASR,|ASR|SAW|FRA|BOS|
BOS|ATH,|ATH|IST|FRA|BOS|
BOS|BAH,|BAH|IST|FRA|BOS|
BOS|BEG,|BEG|IST|FRA|BOS|
BOS|BEN,|BEN|IST|FRA|BOS|
BOS|BEY,|BEY|IST|FRA|BOS|
BOS|BHX,|BHX|EWR|BOS|
BOS|BIO,|BIO|IST|FRA|BOS|
BOS|BLQ,|BLQ|IST|FRA|BOS|
BOS|BOM,|BOM|IST|FRA|BOS|
BOS|BRE,|BRE|IST|FRA|BOS|
BOS|BSL,|BSL|IST|FRA|BOS|
BOS|BSR,|BSR|IST|FRA|BOS|
BOS|BUD,|BUD|IST|FRA|BOS|
BOS|BUS,|BUS|IST|FRA|BOS|
BOS|CAI,|CAI|IST|FRA|BOS|
BOS|CGN,|CGN|IST|FRA|BOS|
BOS|CMN,|CMN|IST|FRA|BOS|
BOS|CND,|CND|IST|FRA|BOS|
BOS|DAR,|DAR|NBO|ZRH|BOS|
BOS|DLM,|DLM|IST|FRA|BOS|
BOS|DMM,|DMM|IST|FRA|BOS|
BOS|DNK,|DNK|IST|FRA|BOS|
BOS|DNZ,|DNZ|IST|FRA|BOS|
BOS|DOK,|DOK|IST|FRA|BOS|
BOS|DUS,|DUS|EWR|BOS|
BOS|EDI,|EDI|EWR|BOS|
BOS|ELQ,|ELQ|IST|FRA|BOS|
BOS|FDH,|FDH|IST|FRA|BOS|
BOS|GOA,|GOA|IST|FRA|BOS|
BOS|GOT,|GOT|BRU|YUL|BOS|
BOS|HAJ,|HAJ|BRU|YUL|BOS|
BOS|HBE,|HBE|IST|FRA|BOS|
BOS|HEL,|HEL|IST|FRA|BOS|
BOS|HRG,|HRG|IST|FRA|BOS|
BOS|IFN,|IFN|IST|FRA|BOS|
BOS|ISE,|ISE|IST|FRA|BOS|
BOS|ISU,|ISU|IST|FRA|BOS|
BOS|JIB,|JIB|IST|FRA|BOS|
BOS|JRO,|JRO|IST|FRA|BOS|
BOS|KAN,|KAN|IST|FRA|BOS|
BOS|KBL,|KBL|IST|FRA|BOS|
BOS|KBP,|KBP|IST|FRA|BOS|
BOS|KFS,|KFS|IST|FRA|BOS|
BOS|KHI,|KHI|IST|FRA|BOS|
BOS|KIV,|KIV|IST|FRA|BOS|
BOS|KRT,|KRT|IST|FRA|BOS|
BOS|KSH,|KSH|IST|FRA|BOS|
BOS|KVD,|KVD|IST|FRA|BOS|
BOS|KWI,|KWI|SAW|FRA|BOS|
BOS|KYA,|KYA|IST|FRA|BOS|
BOS|KZN,|KZN|IST|FRA|BOS|
BOS|KZR,|KZR|IST|FRA|BOS|
BOS|LED,|LED|VIE|YYZ|BOS|
BOS|LEJ,|LEJ|IST|FRA|BOS|
BOS|LGW,|LGW|IST|FRA|BOS|
BOS|LHE,|LHE|IST|FRA|BOS|
BOS|LIS,|LIS|EWR|BOS|
BOS|LJU,|LJU|IST|FRA|BOS|
BOS|LOS,|LOS|FRA|BOS|
BOS|LUX,|LUX|IST|FRA|BOS|
BOS|LWO,|LWO|IST|FRA|BOS|
BOS|LYS,|LYS|IST|FRA|BOS|
BOS|MAD,|MAD|EWR|BOS|
BOS|MAN,|MAN|EWR|BOS|
BOS|MED,|MED|IST|FRA|BOS|
BOS|MHD,|MHD|IST|FRA|BOS|
BOS|MLA,|MLA|IST|FRA|BOS|
BOS|MRS,|MRS|IST|FRA|BOS|
BOS|MSQ,|MSQ|IST|FRA|BOS|
BOS|MXP,|MXP|EWR|BOS|
BOS|MZH,|MZH|IST|FRA|BOS|
BOS|MZR,|MZR|IST|FRA|BOS|
BOS|NAJ,|NAJ|IST|FRA|BOS|
BOS|NAV,|NAV|IST|FRA|BOS|
BOS|NCE,|NCE|IST|FRA|BOS|
BOS|NIM,|NIM|IST|FRA|BOS|
BOS|NJF,|NJF|IST|FRA|BOS|
BOS|NSI,|NSI|BRU|YUL|BOS|
BOS|NUE,|NUE|IST|FRA|BOS|
BOS|ODS,|ODS|IST|FRA|BOS|
BOS|ORN,|ORN|IST|FRA|BOS|
BOS|OTP,|OTP|IST|FRA|BOS|
BOS|PRG,|PRG|BRU|YUL|BOS|
BOS|PRN,|PRN|IST|FRA|BOS|
BOS|RIX,|RIX|IST|FRA|BOS|
BOS|ROV,|ROV|IST|FRA|BOS|
BOS|RTM,|RTM|IST|FRA|BOS|
BOS|RUH,|RUH|IST|FRA|BOS|
BOS|SAH,|SAH|IST|FRA|BOS|
BOS|SJJ,|SJJ|IST|FRA|BOS|
BOS|SKG,|SKG|IST|FRA|BOS|
BOS|SKP,|SKP|IST|FRA|BOS|
BOS|SSH,|SSH|IST|FRA|BOS|
BOS|STR,|STR|EWR|BOS|
BOS|SVX,|SVX|IST|FRA|BOS|
BOS|SYZ,|SYZ|IST|FRA|BOS|
BOS|SZG,|SZG|IST|FRA|BOS|
BOS|TBZ,|TBZ|IST|FRA|BOS|
BOS|TGD,|TGD|IST|FRA|BOS|
BOS|TIA,|TIA|IST|FRA|BOS|
BOS|TIF,|TIF|IST|FRA|BOS|
BOS|TIP,|TIP|IST|FRA|BOS|
BOS|TLL,|TLL|VNO|FRA|BOS|
BOS|TLS,|TLS|IST|FRA|BOS|
BOS|TRN,|TRN|IST|FRA|BOS|
BOS|TUN,|TUN|IST|FRA|BOS|
BOS|TXL,|TXL|EWR|BOS|
BOS|UFA,|UFA|IST|FRA|BOS|
