COD|HIJ,|HIJ|ICN|YVR|DEN|COD|
COD|VVO,|VVO|ICN|YVR|DEN|COD|
COD|ACC,|ACC|IST|FRA|DEN|COD|
COD|AER,|AER|IST|FRA|DEN|COD|
COD|AGP,|AGP|IST|FRA|DEN|COD|
COD|ALG,|ALG|IST|FRA|DEN|COD|
COD|AMM,|AMM|IST|FRA|DEN|COD|
COD|AQJ,|AQJ|IST|FRA|DEN|COD|
COD|ARN,|ARN|EWR|DEN|COD|
COD|ASR,|ASR|SAW|FRA|DEN|COD|
COD|ATH,|ATH|IST|FRA|DEN|COD|
COD|BAH,|BAH|IST|FRA|DEN|COD|
COD|BEG,|BEG|IST|FRA|DEN|COD|
COD|BEN,|BEN|IST|FRA|DEN|COD|
COD|BEY,|BEY|IST|FRA|DEN|COD|
COD|BHX,|BHX|EWR|DEN|COD|
COD|BIO,|BIO|IST|FRA|DEN|COD|
COD|BLQ,|BLQ|IST|FRA|DEN|COD|
COD|BOM,|BOM|IST|FRA|DEN|COD|
COD|BRE,|BRE|IST|FRA|DEN|COD|
COD|BSL,|BSL|IST|FRA|DEN|COD|
COD|BSR,|BSR|IST|FRA|DEN|COD|
COD|BUD,|BUD|IST|FRA|DEN|COD|
COD|BUS,|BUS|IST|FRA|DEN|COD|
COD|CAI,|CAI|IST|FRA|DEN|COD|
COD|CGN,|CGN|IST|FRA|DEN|COD|
COD|CMN,|CMN|IST|FRA|DEN|COD|
COD|CND,|CND|IST|FRA|DEN|COD|
COD|DAR,|DAR|NBO|ZRH|ORD|DEN|COD|
COD|DLM,|DLM|IST|FRA|DEN|COD|
COD|DMM,|DMM|IST|FRA|DEN|COD|
COD|DNK,|DNK|IST|FRA|DEN|COD|
COD|DNZ,|DNZ|IST|FRA|DEN|COD|
COD|DOK,|DOK|IST|FRA|DEN|COD|
COD|DUS,|DUS|ORD|DEN|COD|
COD|EDI,|EDI|EWR|DEN|COD|
COD|ELQ,|ELQ|IST|FRA|DEN|COD|
COD|FDH,|FDH|IST|FRA|DEN|COD|
COD|GOA,|GOA|IST|FRA|DEN|COD|
COD|GOT,|GOT|BRU|ORD|DEN|COD|
COD|HAJ,|HAJ|BRU|ORD|DEN|COD|
COD|HBE,|HBE|IST|FRA|DEN|COD|
COD|HEL,|HEL|IST|FRA|DEN|COD|
COD|HRG,|HRG|IST|FRA|DEN|COD|
COD|IFN,|IFN|IST|FRA|DEN|COD|
COD|ISE,|ISE|IST|FRA|DEN|COD|
COD|ISU,|ISU|IST|FRA|DEN|COD|
COD|JIB,|JIB|IST|FRA|DEN|COD|
COD|JRO,|JRO|IST|FRA|DEN|COD|
COD|KAN,|KAN|IST|FRA|DEN|COD|
COD|KBL,|KBL|IST|FRA|DEN|COD|
COD|KBP,|KBP|IST|FRA|DEN|COD|
COD|KFS,|KFS|IST|FRA|DEN|COD|
COD|KHI,|KHI|IST|FRA|DEN|COD|
COD|KIV,|KIV|IST|FRA|DEN|COD|
COD|KRT,|KRT|IST|FRA|DEN|COD|
COD|KSH,|KSH|IST|FRA|DEN|COD|
COD|KVD,|KVD|IST|FRA|DEN|COD|
COD|KWI,|KWI|SAW|FRA|DEN|COD|
COD|KYA,|KYA|IST|FRA|DEN|COD|
COD|KZN,|KZN|IST|FRA|DEN|COD|
COD|KZR,|KZR|IST|FRA|DEN|COD|
COD|LED,|LED|VIE|ORD|DEN|COD|
COD|LEJ,|LEJ|IST|FRA|DEN|COD|
COD|LGW,|LGW|IST|FRA|DEN|COD|
COD|LHE,|LHE|IST|FRA|DEN|COD|
COD|LIS,|LIS|EWR|DEN|COD|
COD|LJU,|LJU|IST|FRA|DEN|COD|
COD|LOS,|LOS|IAH|DEN|COD|
COD|LUX,|LUX|IST|FRA|DEN|COD|
COD|LWO,|LWO|IST|FRA|DEN|COD|
COD|LYS,|LYS|IST|FRA|DEN|COD|
COD|MAD,|MAD|EWR|DEN|COD|
COD|MAN,|MAN|EWR|DEN|COD|
COD|MED,|MED|IST|FRA|DEN|COD|
COD|MHD,|MHD|IST|FRA|DEN|COD|
COD|MLA,|MLA|IST|FRA|DEN|COD|
COD|MRS,|MRS|IST|FRA|DEN|COD|
COD|MSQ,|MSQ|IST|FRA|DEN|COD|
COD|MXP,|MXP|EWR|DEN|COD|
COD|MZH,|MZH|IST|FRA|DEN|COD|
COD|MZR,|MZR|IST|FRA|DEN|COD|
COD|NAJ,|NAJ|IST|FRA|DEN|COD|
COD|NAV,|NAV|IST|FRA|DEN|COD|
COD|NCE,|NCE|IST|FRA|DEN|COD|
COD|NIM,|NIM|IST|FRA|DEN|COD|
COD|NJF,|NJF|IST|FRA|DEN|COD|
COD|NSI,|NSI|BRU|ORD|DEN|COD|
COD|NUE,|NUE|IST|FRA|DEN|COD|
COD|ODS,|ODS|IST|FRA|DEN|COD|
