BFL|ADA,|ADA|IST|LAX|BFL|
BFL|ADB,|ADB|IST|LAX|BFL|
BFL|ADF,|ADF|IST|LAX|BFL|
BFL|AJI,|AJI|IST|LAX|BFL|
BFL|BAL,|BAL|IST|LAX|BFL|
BFL|BJV,|BJV|IST|LAX|BFL|
BFL|CKZ,|CKZ|ESB|IST|LAX|BFL|
BFL|DIY,|DIY|IST|LAX|BFL|
BFL|ECN,|ECN|IST|LAX|BFL|
BFL|ERC,|ERC|IST|LAX|BFL|
BFL|ERZ,|ERZ|IST|LAX|BFL|
BFL|EZS,|EZS|IST|LAX|BFL|
BFL|GNY,|GNY|IST|LAX|BFL|
BFL|GZP,|GZP|ESB|IST|LAX|BFL|
BFL|GZT,|GZT|IST|LAX|BFL|
BFL|HTY,|HTY|IST|LAX|BFL|
BFL|KCM,|KCM|IST|LAX|BFL|
BFL|KSY,|KSY|IST|LAX|BFL|
BFL|MLX,|MLX|IST|LAX|BFL|
BFL|MQM,|MQM|IST|LAX|BFL|
BFL|MSR,|MSR|IST|LAX|BFL|
BFL|TEQ,|TEQ|ESB|IST|LAX|BFL|
BFL|TZX,|TZX|IST|LAX|BFL|
BFL|VAN,|VAN|IST|LAX|BFL|
BFL|ULN,|ULN|FRU|URC|PEK|SFO|BFL|
BFL|HIJ,|HIJ|ICN|SFO|BFL|
BFL|VVO,|VVO|ICN|SFO|BFL|
BFL|ACC,|ACC|IST|LAX|BFL|
BFL|AER,|AER|IST|LAX|BFL|
BFL|AGP,|AGP|IST|LAX|BFL|
BFL|ALG,|ALG|IST|LAX|BFL|
BFL|AMM,|AMM|IST|LAX|BFL|
BFL|AQJ,|AQJ|IST|LAX|BFL|
BFL|ARN,|ARN|EWR|DEN|BFL|
BFL|ASR,|ASR|IST|LAX|BFL|
BFL|ATH,|ATH|IST|LAX|BFL|
BFL|BAH,|BAH|IST|LAX|BFL|
BFL|BEG,|BEG|IST|LAX|BFL|
BFL|BEN,|BEN|IST|LAX|BFL|
BFL|BEY,|BEY|IST|LAX|BFL|
