KRL|YNJ,|YNJ|CGQ|HET|URC|KRL|
KRL|DAT,|DAT|TYN|URC|KRL|
KRL|JHG,|JHG|KMG|CTU|URC|KRL|
KRL|LJG,|LJG|KMG|CTU|URC|KRL|
KRL|LXA,|LXA|CKG|URC|KRL|
KRL|YCU,|YCU|CKG|URC|KRL|
KRL|LZO,|LZO|CSX|URC|KRL|
KRL|MDG,|MDG|DLC|PEK|URC|KRL|
KRL|NGO,|NGO|DLC|PEK|URC|KRL|
KRL|TOY,|TOY|DLC|PEK|URC|KRL|
KRL|MFM,|MFM|XMN|CSX|URC|KRL|
KRL|TGO,|TGO|HET|URC|KRL|
KRL|XIL,|XIL|HET|URC|KRL|
KRL|HEK,|HEK|HRB|PEK|URC|KRL|
KRL|KIJ,|KIJ|HRB|PEK|URC|KRL|
KRL|LDS,|LDS|HRB|PEK|URC|KRL|
KRL|OHE,|OHE|HRB|PEK|URC|KRL|
KRL|HSN,|HSN|LYG|XUZ|INC|URC|KRL|
KRL|DLU,|DLU|KMG|CTU|URC|KRL|
KRL|SYM,|SYM|KMG|CTU|URC|KRL|
KRL|ZAT,|ZAT|KMG|CTU|URC|KRL|
KRL|LUN,|LUN|NBO|IST|URC|KRL|
KRL|AOG,|AOG|PEK|URC|KRL|
KRL|GMP,|GMP|PEK|URC|KRL|
KRL|ISB,|ISB|URC|KRL|
KRL|TAS,|TAS|URC|KRL|
KRL|WUS,|WUS|PEK|URC|KRL|
KRL|JMU,|JMU|PVG|URC|KRL|
KRL|NDG,|NDG|PVG|URC|KRL|
KRL|JXA,|JXA|SHE|HET|URC|KRL|
KRL|PUS,|PUS|SHE|HET|URC|KRL|
KRL|BKI,|BKI|SZX|CKG|URC|KRL|
KRL|AKU,|AKU|URC|KRL|
KRL|ALA,|ALA|URC|KRL|
KRL|ASB,|ASB|URC|KRL|
KRL|DNH,|DNH|URC|KRL|
KRL|DYU,|DYU|URC|KRL|
KRL|FRU,|FRU|URC|KRL|
KRL|GYD,|GYD|URC|KRL|
KRL|HTN,|HTN|URC|KRL|
KRL|IKA,|IKA|URC|KRL|
KRL|KCA,|KCA|URC|KRL|
KRL|KHG,|KHG|URC|KRL|
KRL|KRY,|KRY|URC|KRL|
KRL|LBD,|LBD|URC|KRL|
KRL|NLT,|NLT|URC|KRL|
KRL|OSS,|OSS|URC|KRL|
KRL|OVB,|OVB|URC|KRL|
KRL|TBS,|TBS|URC|KRL|
KRL|TCG,|TCG|URC|KRL|
KRL|TSE,|TSE|URC|KRL|
KRL|YIN,|YIN|URC|KRL|
KRL|ENH,|ENH|WUH|URC|KRL|
KRL|ENY,|ENY|XIY|URC|KRL|
KRL|WXN,|WXN|XIY|URC|KRL|
KRL|BLL,|BLL|IST|URC|KRL|
KRL|ESB,|ESB|SAW|TBS|URC|KRL|
KRL|SAW,|SAW|TBS|URC|KRL|
KRL|HAM,|HAM|IST|URC|KRL|
KRL|HRE,|HRE|ADD|IST|URC|KRL|
KRL|JUB,|JUB|CAI|IST|URC|KRL|
KRL|SSG,|SSG|DLA|IST|URC|KRL|
KRL|BGW,|BGW|ESB|SAW|TBS|URC|KRL|
KRL|EBL,|EBL|IST|URC|KRL|
KRL|VKO,|VKO|IST|URC|KRL|
KRL|MCT,|MCT|IST|URC|KRL|
KRL|AYT,|AYT|IST|URC|KRL|
KRL|SCQ,|SCQ|BIO|IST|URC|KRL|
KRL|AAL,|AAL|IST|URC|KRL|
KRL|AOE,|AOE|BRU|IST|URC|KRL|
KRL|JNB,|JNB|IST|URC|KRL|
KRL|LBV,|LBV|DLA|IST|URC|KRL|
KRL|ADA,|ADA|SAW|TBS|URC|KRL|
KRL|ADB,|ADB|IST|URC|KRL|
KRL|ADF,|ADF|ESB|SAW|TBS|URC|KRL|
KRL|AJI,|AJI|ESB|SAW|TBS|URC|KRL|
KRL|BAL,|BAL|ESB|SAW|TBS|URC|KRL|
KRL|BJV,|BJV|IST|URC|KRL|
KRL|CKZ,|CKZ|ESB|SAW|TBS|URC|KRL|
KRL|DIY,|DIY|SAW|TBS|URC|KRL|
KRL|ECN,|ECN|SAW|TBS|URC|KRL|
KRL|ERC,|ERC|ESB|SAW|TBS|URC|KRL|
KRL|ERZ,|ERZ|SAW|TBS|URC|KRL|
KRL|EZS,|EZS|SAW|TBS|URC|KRL|
KRL|GNY,|GNY|ESB|SAW|TBS|URC|KRL|
KRL|GZP,|GZP|ESB|SAW|TBS|URC|KRL|
KRL|GZT,|GZT|SAW|TBS|URC|KRL|
KRL|HTY,|HTY|SAW|TBS|URC|KRL|
KRL|KCM,|KCM|ESB|SAW|TBS|URC|KRL|
KRL|KSY,|KSY|SAW|TBS|URC|KRL|
KRL|MLX,|MLX|ESB|SAW|TBS|URC|KRL|
KRL|MQM,|MQM|SAW|TBS|URC|KRL|
KRL|MSR,|MSR|ESB|SAW|TBS|URC|KRL|
KRL|TEQ,|TEQ|ESB|SAW|TBS|URC|KRL|
KRL|TZX,|TZX|SAW|TBS|URC|KRL|
KRL|VAN,|VAN|SAW|TBS|URC|KRL|
KRL|ULN,|ULN|FRU|URC|KRL|
KRL|HIJ,|HIJ|ICN|PEK|URC|KRL|
KRL|VVO,|VVO|ICN|PEK|URC|KRL|
KRL|ACC,|ACC|IST|URC|KRL|
KRL|AER,|AER|IST|URC|KRL|
KRL|AGP,|AGP|IST|URC|KRL|
KRL|ALG,|ALG|IST|URC|KRL|
KRL|AMM,|AMM|IST|URC|KRL|
KRL|AQJ,|AQJ|IST|URC|KRL|
KRL|ARN,|ARN|IST|URC|KRL|
KRL|ASR,|ASR|SAW|TBS|URC|KRL|
KRL|ATH,|ATH|IST|URC|KRL|
KRL|BAH,|BAH|KWI|SAW|TBS|URC|KRL|
KRL|BEG,|BEG|IST|URC|KRL|
KRL|BEN,|BEN|IST|URC|KRL|
KRL|BEY,|BEY|IST|URC|KRL|
