FAT|KHH,|KHH|WUH|ICN|SFO|FAT|
FAT|UYN,|UYN|CGO|PEK|SFO|FAT|
FAT|XNN,|XNN|PEK|SFO|FAT|
FAT|ZUH,|ZUH|PVG|SFO|FAT|
FAT|YNJ,|YNJ|ICN|SFO|FAT|
FAT|DAT,|DAT|CIH|PEK|SFO|FAT|
FAT|JHG,|JHG|CKG|PEK|SFO|FAT|
FAT|LJG,|LJG|CKG|PEK|SFO|FAT|
FAT|LXA,|LXA|XIY|PEK|SFO|FAT|
FAT|YCU,|YCU|CSX|ICN|SFO|FAT|
FAT|LZO,|LZO|CSX|ICN|SFO|FAT|
FAT|MDG,|MDG|ICN|SFO|FAT|
FAT|NGO,|NGO|ICN|SFO|FAT|
FAT|TOY,|TOY|DLC|ICN|SFO|FAT|
FAT|MFM,|MFM|HGH|DLC|ICN|SFO|FAT|
FAT|TGO,|TGO|HET|DLC|ICN|SFO|FAT|
FAT|XIL,|XIL|HET|DLC|ICN|SFO|FAT|
FAT|HEK,|HEK|HRB|ICN|SFO|FAT|
FAT|KIJ,|KIJ|HRB|ICN|SFO|FAT|
FAT|LDS,|LDS|HRB|ICN|SFO|FAT|
FAT|OHE,|OHE|HRB|ICN|SFO|FAT|
FAT|HSN,|HSN|PEK|SFO|FAT|
FAT|DLU,|DLU|KMG|PEK|SFO|FAT|
FAT|SYM,|SYM|KMG|PEK|SFO|FAT|
FAT|ZAT,|ZAT|KMG|PEK|SFO|FAT|
FAT|LUN,|LUN|NBO|ZRH|SFO|FAT|
FAT|AOG,|AOG|PEK|SFO|FAT|
FAT|GMP,|GMP|PEK|SFO|FAT|
FAT|ISB,|ISB|PEK|SFO|FAT|
FAT|TAS,|TAS|PEK|SFO|FAT|
FAT|WUS,|WUS|PEK|SFO|FAT|
FAT|JMU,|JMU|PVG|SFO|FAT|
FAT|NDG,|NDG|PVG|SFO|FAT|
FAT|JXA,|JXA|SHE|ICN|SFO|FAT|
FAT|PUS,|PUS|SHE|ICN|SFO|FAT|
FAT|BKI,|BKI|SZX|PVG|SFO|FAT|
FAT|AKU,|AKU|URC|PEK|SFO|FAT|
FAT|ALA,|ALA|URC|PEK|SFO|FAT|
FAT|ASB,|ASB|GYD|FRA|SFO|FAT|
FAT|DNH,|DNH|XIY|PEK|SFO|FAT|
FAT|DYU,|DYU|URC|PEK|SFO|FAT|
FAT|FRU,|FRU|URC|PEK|SFO|FAT|
FAT|GYD,|GYD|FRA|SFO|FAT|
FAT|HTN,|HTN|URC|PEK|SFO|FAT|
FAT|IKA,|IKA|SAW|MUC|SFO|FAT|
FAT|KCA,|KCA|URC|PEK|SFO|FAT|
FAT|KHG,|KHG|URC|PEK|SFO|FAT|
FAT|KRL,|KRL|URC|PEK|SFO|FAT|
FAT|KRY,|KRY|URC|PEK|SFO|FAT|
FAT|LBD,|LBD|URC|PEK|SFO|FAT|
FAT|NLT,|NLT|URC|PEK|SFO|FAT|
FAT|OSS,|OSS|URC|PEK|SFO|FAT|
FAT|OVB,|OVB|URC|PEK|SFO|FAT|
FAT|TBS,|TBS|SAW|MUC|SFO|FAT|
FAT|TCG,|TCG|URC|PEK|SFO|FAT|
FAT|TSE,|TSE|URC|PEK|SFO|FAT|
FAT|YIN,|YIN|URC|PEK|SFO|FAT|
FAT|ENH,|ENH|WUH|ICN|SFO|FAT|
FAT|ENY,|ENY|XIY|PEK|SFO|FAT|
FAT|WXN,|WXN|XIY|PEK|SFO|FAT|
FAT|BLL,|BLL|IST|MUC|SFO|FAT|
FAT|ESB,|ESB|FRA|SFO|FAT|
FAT|SAW,|SAW|MUC|SFO|FAT|
FAT|HAM,|HAM|EWR|DEN|FAT|
FAT|HRE,|HRE|ADD|JED|FRA|SFO|FAT|
FAT|JUB,|JUB|CAI|IST|MUC|SFO|FAT|
FAT|SSG,|SSG|DLA|BRU|ORD|DEN|FAT|
FAT|BGW,|BGW|ESB|FRA|SFO|FAT|
FAT|EBL,|EBL|IST|MUC|SFO|FAT|
FAT|VKO,|VKO|IST|MUC|SFO|FAT|
FAT|MCT,|MCT|IST|MUC|SFO|FAT|
FAT|AYT,|AYT|IST|MUC|SFO|FAT|
FAT|SCQ,|SCQ|BIO|IST|MUC|SFO|FAT|
FAT|AAL,|AAL|IST|MUC|SFO|FAT|
FAT|AOE,|AOE|BRU|ORD|DEN|FAT|
FAT|JNB,|JNB|DKR|IAD|DEN|FAT|
FAT|LBV,|LBV|DLA|BRU|ORD|DEN|FAT|
FAT|ADA,|ADA|IST|MUC|SFO|FAT|
FAT|ADB,|ADB|IST|MUC|SFO|FAT|
FAT|ADF,|ADF|ESB|FRA|SFO|FAT|
FAT|AJI,|AJI|ESB|FRA|SFO|FAT|
FAT|BAL,|BAL|ESB|FRA|SFO|FAT|
FAT|BJV,|BJV|IST|MUC|SFO|FAT|
FAT|CKZ,|CKZ|ESB|FRA|SFO|FAT|
FAT|DIY,|DIY|ESB|FRA|SFO|FAT|
FAT|ECN,|ECN|IST|MUC|SFO|FAT|
FAT|ERC,|ERC|ESB|FRA|SFO|FAT|
FAT|ERZ,|ERZ|ESB|FRA|SFO|FAT|
FAT|EZS,|EZS|ESB|FRA|SFO|FAT|
FAT|GNY,|GNY|ESB|FRA|SFO|FAT|
FAT|GZP,|GZP|ESB|FRA|SFO|FAT|
FAT|GZT,|GZT|ESB|FRA|SFO|FAT|
FAT|HTY,|HTY|SAW|MUC|SFO|FAT|
FAT|KCM,|KCM|ESB|FRA|SFO|FAT|
FAT|KSY,|KSY|ESB|FRA|SFO|FAT|
FAT|MLX,|MLX|ESB|FRA|SFO|FAT|
FAT|MQM,|MQM|ESB|FRA|SFO|FAT|
FAT|MSR,|MSR|ESB|FRA|SFO|FAT|
FAT|TEQ,|TEQ|ESB|FRA|SFO|FAT|
FAT|TZX,|TZX|SAW|MUC|SFO|FAT|
FAT|VAN,|VAN|ESB|FRA|SFO|FAT|
FAT|ULN,|ULN|FRU|URC|PEK|SFO|FAT|
FAT|HIJ,|HIJ|ICN|SFO|FAT|
FAT|VVO,|VVO|ICN|SFO|FAT|
FAT|ACC,|ACC|IST|MUC|SFO|FAT|
FAT|AER,|AER|IST|MUC|SFO|FAT|
FAT|AGP,|AGP|IST|MUC|SFO|FAT|
FAT|ALG,|ALG|IST|MUC|SFO|FAT|
FAT|AMM,|AMM|IST|MUC|SFO|FAT|
FAT|AQJ,|AQJ|IST|MUC|SFO|FAT|
FAT|ARN,|ARN|EWR|DEN|FAT|
FAT|ASR,|ASR|SAW|MUC|SFO|FAT|
FAT|ATH,|ATH|IST|MUC|SFO|FAT|
FAT|BAH,|BAH|IST|MUC|SFO|FAT|
FAT|BEG,|BEG|IST|MUC|SFO|FAT|
FAT|BEN,|BEN|IST|MUC|SFO|FAT|
FAT|BEY,|BEY|IST|MUC|SFO|FAT|
FAT|BHX,|BHX|EWR|DEN|FAT|
FAT|BIO,|BIO|IST|MUC|SFO|FAT|
