PKB|BOM,|BOM|EWR|CLE|PKB|
PKB|BRE,|BRE|IST|YYZ|CLE|PKB|
PKB|BSL,|BSL|IST|YYZ|CLE|PKB|
PKB|BSR,|BSR|IST|YYZ|CLE|PKB|
PKB|BUD,|BUD|IST|YYZ|CLE|PKB|
PKB|BUS,|BUS|IST|YYZ|CLE|PKB|
PKB|CAI,|CAI|IST|YYZ|CLE|PKB|
PKB|CGN,|CGN|IST|YYZ|CLE|PKB|
PKB|CMN,|CMN|IST|YYZ|CLE|PKB|
PKB|CND,|CND|IST|YYZ|CLE|PKB|
PKB|DAR,|DAR|NBO|ZRH|YYZ|CLE|PKB|
PKB|DLM,|DLM|IST|YYZ|CLE|PKB|
PKB|DMM,|DMM|IST|YYZ|CLE|PKB|
PKB|DNK,|DNK|IST|YYZ|CLE|PKB|
PKB|DNZ,|DNZ|IST|YYZ|CLE|PKB|
PKB|DOK,|DOK|IST|YYZ|CLE|PKB|
PKB|DUS,|DUS|EWR|CLE|PKB|
PKB|EDI,|EDI|EWR|CLE|PKB|
PKB|ELQ,|ELQ|IST|YYZ|CLE|PKB|
PKB|FDH,|FDH|IST|YYZ|CLE|PKB|
PKB|GOA,|GOA|IST|YYZ|CLE|PKB|
PKB|GOT,|GOT|BRU|YUL|YYZ|CLE|PKB|
PKB|HAJ,|HAJ|BRU|YUL|YYZ|CLE|PKB|
PKB|HBE,|HBE|IST|YYZ|CLE|PKB|
PKB|HEL,|HEL|IST|YYZ|CLE|PKB|
PKB|HRG,|HRG|IST|YYZ|CLE|PKB|
PKB|IFN,|IFN|IST|YYZ|CLE|PKB|
PKB|ISE,|ISE|IST|YYZ|CLE|PKB|
PKB|ISU,|ISU|IST|YYZ|CLE|PKB|
PKB|JIB,|JIB|IST|YYZ|CLE|PKB|
PKB|JRO,|JRO|IST|YYZ|CLE|PKB|
PKB|KAN,|KAN|IST|YYZ|CLE|PKB|
PKB|KBL,|KBL|IST|YYZ|CLE|PKB|
PKB|KBP,|KBP|IST|YYZ|CLE|PKB|
PKB|KFS,|KFS|IST|YYZ|CLE|PKB|
PKB|KHI,|KHI|IST|YYZ|CLE|PKB|
PKB|KIV,|KIV|IST|YYZ|CLE|PKB|
PKB|KRT,|KRT|IST|YYZ|CLE|PKB|
PKB|KSH,|KSH|IST|YYZ|CLE|PKB|
