INC|SXB,|SXB|BRU|IST|URC|INC|
INC|ACV,|ACV|SFO|PEK|INC|
INC|MGW,|MGW|IAD|PEK|INC|
INC|ALB,|ALB|EWR|PEK|INC|
INC|AUS,|AUS|DEN|YVR|PEK|INC|
INC|BFD,|BFD|CLE|YYZ|PEK|INC|
INC|BUF,|BUF|CLE|YYZ|PEK|INC|
INC|CHS,|CHS|ORD|PEK|INC|
INC|DAY,|DAY|ORD|PEK|INC|
INC|DUJ,|DUJ|CLE|YYZ|PEK|INC|
INC|ERI,|ERI|CLE|YYZ|PEK|INC|
INC|FKL,|FKL|CLE|YYZ|PEK|INC|
INC|FNT,|FNT|CLE|YYZ|PEK|INC|
INC|GRR,|GRR|ORD|PEK|INC|
INC|GSP,|GSP|ORD|PEK|INC|
INC|PBI,|PBI|ATL|ORD|PEK|INC|
INC|PKB,|PKB|CLE|YYZ|PEK|INC|
INC|RIC,|RIC|IAD|PEK|INC|
INC|SDF,|SDF|ORD|PEK|INC|
INC|GUM,|GUM|FUK|ICN|PEK|INC|
INC|WRL,|WRL|CYS|DEN|YVR|PEK|INC|
INC|LBL,|INC|
INC|ABQ,|ABQ|SEA|PEK|INC|
INC|AIA,|AIA|DEN|YVR|PEK|INC|
INC|ALS,|ALS|DEN|YVR|PEK|INC|
INC|AMA,|AMA|DEN|YVR|PEK|INC|
INC|ANC,|ANC|SEA|PEK|INC|
INC|ASE,|ASE|DEN|YVR|PEK|INC|
INC|BFL,|BFL|SFO|PEK|INC|
INC|BHM,|BHM|ORD|PEK|INC|
INC|BIL,|BIL|DEN|YVR|PEK|INC|
INC|BIS,|BIS|DEN|YVR|PEK|INC|
INC|BOI,|BOI|SFO|PEK|INC|
INC|BUR,|BUR|SFO|PEK|INC|
INC|BZN,|BZN|DEN|YVR|PEK|INC|
INC|CID,|CID|ORD|PEK|INC|
INC|COD,|COD|DEN|YVR|PEK|INC|
INC|COS,|COS|DEN|YVR|PEK|INC|
INC|CPR,|CPR|DEN|YVR|PEK|INC|
INC|CYS,|CYS|DEN|YVR|PEK|INC|
INC|DIK,|DIK|DEN|YVR|PEK|INC|
INC|DRO,|DRO|DEN|YVR|PEK|INC|
INC|DSM,|DSM|ORD|PEK|INC|
INC|EGE,|EGE|DEN|YVR|PEK|INC|
INC|ELP,|ELP|LAS|SEA|PEK|INC|
INC|EUG,|EUG|PDX|SEA|PEK|INC|
INC|FAR,|FAR|DEN|YVR|PEK|INC|
INC|FAT,|FAT|SFO|PEK|INC|
INC|FCA,|FCA|DEN|YVR|PEK|INC|
INC|FSD,|FSD|DEN|YVR|PEK|INC|
INC|GCC,|GCC|DEN|YVR|PEK|INC|
INC|GEG,|GEG|BOI|SFO|PEK|INC|
