RDD|BUS,|BUS|IST|MUC|SFO|RDD|
RDD|CAI,|CAI|IST|MUC|SFO|RDD|
RDD|CGN,|CGN|IST|MUC|SFO|RDD|
RDD|CMN,|CMN|IST|MUC|SFO|RDD|
RDD|CND,|CND|IST|MUC|SFO|RDD|
RDD|DAR,|DAR|NBO|ZRH|SFO|RDD|
RDD|DLM,|DLM|IST|MUC|SFO|RDD|
RDD|DMM,|DMM|IST|MUC|SFO|RDD|
RDD|DNK,|DNK|IST|MUC|SFO|RDD|
RDD|DNZ,|DNZ|IST|MUC|SFO|RDD|
RDD|DOK,|DOK|IST|MUC|SFO|RDD|
RDD|DUS,|DUS|ORD|SFO|RDD|
RDD|EDI,|EDI|EWR|SFO|RDD|
RDD|ELQ,|ELQ|IST|MUC|SFO|RDD|
RDD|FDH,|FDH|IST|MUC|SFO|RDD|
RDD|GOA,|GOA|IST|MUC|SFO|RDD|
RDD|GOT,|GOT|BRU|YUL|SFO|RDD|
RDD|HAJ,|HAJ|BRU|YUL|SFO|RDD|
RDD|HBE,|HBE|IST|MUC|SFO|RDD|
RDD|HEL,|HEL|IST|MUC|SFO|RDD|
RDD|HRG,|HRG|IST|MUC|SFO|RDD|
RDD|IFN,|IFN|IST|MUC|SFO|RDD|
RDD|ISE,|ISE|IST|MUC|SFO|RDD|
RDD|ISU,|ISU|IST|MUC|SFO|RDD|
RDD|JIB,|JIB|IST|MUC|SFO|RDD|
RDD|JRO,|JRO|IST|MUC|SFO|RDD|
RDD|KAN,|KAN|IST|MUC|SFO|RDD|
RDD|KBL,|KBL|IST|MUC|SFO|RDD|
RDD|KBP,|KBP|IST|MUC|SFO|RDD|
RDD|KFS,|KFS|IST|MUC|SFO|RDD|
RDD|KHI,|KHI|IST|MUC|SFO|RDD|
RDD|KIV,|KIV|IST|MUC|SFO|RDD|
RDD|KRT,|KRT|IST|MUC|SFO|RDD|
RDD|KSH,|KSH|IST|MUC|SFO|RDD|
RDD|KVD,|KVD|IST|MUC|SFO|RDD|
RDD|KWI,|KWI|SAW|MUC|SFO|RDD|
RDD|KYA,|KYA|IST|MUC|SFO|RDD|
RDD|KZN,|KZN|IST|MUC|SFO|RDD|
RDD|KZR,|KZR|IST|MUC|SFO|RDD|
RDD|LED,|LED|VIE|ORD|SFO|RDD|
RDD|LEJ,|LEJ|IST|MUC|SFO|RDD|
RDD|LGW,|LGW|IST|MUC|SFO|RDD|
RDD|LHE,|LHE|IST|MUC|SFO|RDD|
RDD|LIS,|LIS|EWR|SFO|RDD|
RDD|LJU,|LJU|IST|MUC|SFO|RDD|
RDD|LOS,|LOS|IAH|SFO|RDD|
RDD|LUX,|LUX|IST|MUC|SFO|RDD|
RDD|LWO,|LWO|IST|MUC|SFO|RDD|
RDD|LYS,|LYS|IST|MUC|SFO|RDD|
RDD|MAD,|MAD|EWR|SFO|RDD|
RDD|MAN,|MAN|EWR|SFO|RDD|
RDD|MED,|MED|IST|MUC|SFO|RDD|
RDD|MHD,|MHD|IST|MUC|SFO|RDD|
RDD|MLA,|MLA|IST|MUC|SFO|RDD|
RDD|MRS,|MRS|IST|MUC|SFO|RDD|
RDD|MSQ,|MSQ|IST|MUC|SFO|RDD|
RDD|MXP,|MXP|EWR|SFO|RDD|
RDD|MZH,|MZH|IST|MUC|SFO|RDD|
RDD|MZR,|MZR|IST|MUC|SFO|RDD|
RDD|NAJ,|NAJ|IST|MUC|SFO|RDD|
RDD|NAV,|NAV|IST|MUC|SFO|RDD|
RDD|NCE,|NCE|IST|MUC|SFO|RDD|
RDD|NIM,|NIM|IST|MUC|SFO|RDD|
RDD|NJF,|NJF|IST|MUC|SFO|RDD|
RDD|NSI,|NSI|BRU|YUL|SFO|RDD|
RDD|NUE,|NUE|IST|MUC|SFO|RDD|
RDD|ODS,|ODS|IST|MUC|SFO|RDD|
RDD|ORN,|ORN|IST|MUC|SFO|RDD|
RDD|OTP,|OTP|IST|MUC|SFO|RDD|
RDD|PRG,|PRG|BRU|YUL|SFO|RDD|
RDD|PRN,|PRN|IST|MUC|SFO|RDD|
RDD|RIX,|RIX|IST|MUC|SFO|RDD|
RDD|ROV,|ROV|IST|MUC|SFO|RDD|
RDD|RTM,|RTM|IST|MUC|SFO|RDD|
RDD|RUH,|RUH|IST|MUC|SFO|RDD|
RDD|SAH,|SAH|IST|MUC|SFO|RDD|
RDD|SJJ,|SJJ|IST|MUC|SFO|RDD|
RDD|SKG,|SKG|IST|MUC|SFO|RDD|
RDD|SKP,|SKP|IST|MUC|SFO|RDD|
RDD|SSH,|SSH|IST|MUC|SFO|RDD|
RDD|STR,|STR|EWR|SFO|RDD|
RDD|SVX,|SVX|IST|MUC|SFO|RDD|
RDD|SYZ,|SYZ|IST|MUC|SFO|RDD|
