ACY|KVD,|KVD|IST|ORD|ACY|
ACY|KWI,|KWI|SAW|VIE|ORD|ACY|
ACY|KYA,|KYA|IST|ORD|ACY|
ACY|KZN,|KZN|IST|ORD|ACY|
ACY|KZR,|KZR|IST|ORD|ACY|
ACY|LED,|LED|VIE|ORD|ACY|
ACY|LEJ,|LEJ|IST|ORD|ACY|
ACY|LGW,|LGW|IST|ORD|ACY|
ACY|LHE,|LHE|IST|ORD|ACY|
ACY|LIS,|LIS|EWR|ORD|ACY|
ACY|LJU,|LJU|IST|ORD|ACY|
ACY|LOS,|LOS|IAH|ACY|
ACY|LUX,|LUX|IST|ORD|ACY|
ACY|LWO,|LWO|IST|ORD|ACY|
ACY|LYS,|LYS|IST|ORD|ACY|
ACY|MAD,|MAD|EWR|ORD|ACY|
ACY|MAN,|MAN|EWR|ORD|ACY|
ACY|MED,|MED|IST|ORD|ACY|
ACY|MHD,|MHD|IST|ORD|ACY|
ACY|MLA,|MLA|IST|ORD|ACY|
ACY|MRS,|MRS|IST|ORD|ACY|
ACY|MSQ,|MSQ|IST|ORD|ACY|
ACY|MXP,|MXP|EWR|ORD|ACY|
ACY|MZH,|MZH|IST|ORD|ACY|
ACY|MZR,|MZR|IST|ORD|ACY|
ACY|NAJ,|NAJ|IST|ORD|ACY|
ACY|NAV,|NAV|IST|ORD|ACY|
ACY|NCE,|NCE|IST|ORD|ACY|
ACY|NIM,|NIM|IST|ORD|ACY|
ACY|NJF,|NJF|IST|ORD|ACY|
ACY|NSI,|NSI|BRU|ORD|ACY|
ACY|NUE,|NUE|IST|ORD|ACY|
ACY|ODS,|ODS|IST|ORD|ACY|
ACY|ORN,|ORN|IST|ORD|ACY|
ACY|OTP,|OTP|IST|ORD|ACY|
ACY|PRG,|PRG|BRU|ORD|ACY|
ACY|PRN,|PRN|IST|ORD|ACY|
ACY|RIX,|RIX|IST|ORD|ACY|
ACY|ROV,|ROV|IST|ORD|ACY|
ACY|RTM,|RTM|IST|ORD|ACY|
ACY|RUH,|RUH|IST|ORD|ACY|
ACY|SAH,|SAH|IST|ORD|ACY|
ACY|SJJ,|SJJ|IST|ORD|ACY|
ACY|SKG,|SKG|IST|ORD|ACY|
ACY|SKP,|SKP|IST|ORD|ACY|
ACY|SSH,|SSH|IST|ORD|ACY|
ACY|STR,|STR|EWR|ORD|ACY|
ACY|SVX,|SVX|IST|ORD|ACY|
ACY|SYZ,|SYZ|IST|ORD|ACY|
ACY|SZG,|SZG|IST|ORD|ACY|
ACY|TBZ,|TBZ|IST|ORD|ACY|
ACY|TGD,|TGD|IST|ORD|ACY|
ACY|TIA,|TIA|IST|ORD|ACY|
ACY|TIF,|TIF|IST|ORD|ACY|
ACY|TIP,|TIP|IST|ORD|ACY|
ACY|TLL,|TLL|VNO|CPH|YYZ|ORD|ACY|
ACY|TLS,|TLS|IST|ORD|ACY|
ACY|TRN,|TRN|IST|ORD|ACY|
ACY|TUN,|TUN|IST|ORD|ACY|
ACY|TXL,|TXL|EWR|ORD|ACY|
ACY|UFA,|UFA|IST|ORD|ACY|
ACY|VAS,|VAS|SAW|VIE|ORD|ACY|
ACY|VCE,|VCE|IST|ORD|ACY|
ACY|YNB,|YNB|IST|ORD|ACY|
ACY|ZAG,|ZAG|IST|ORD|ACY|
ACY|MGQ,|MGQ|JIB|IST|ORD|ACY|
ACY|CPT,|CPT|JNB|DKR|IAD|ORD|ACY|
ACY|MBA,|MBA|JRO|IST|ORD|ACY|
ACY|NDJ,|NDJ|KAN|IST|ORD|ACY|
ACY|CMB,|CMB|MLE|IST|ORD|ACY|
