DSM|ECN,|ECN|IST|ORD|DSM|
DSM|ERC,|ERC|ESB|VIE|ORD|DSM|
DSM|ERZ,|ERZ|ESB|VIE|ORD|DSM|
DSM|EZS,|EZS|ESB|VIE|ORD|DSM|
DSM|GNY,|GNY|ESB|VIE|ORD|DSM|
DSM|GZP,|GZP|ESB|VIE|ORD|DSM|
DSM|GZT,|GZT|ESB|VIE|ORD|DSM|
DSM|HTY,|HTY|IST|ORD|DSM|
DSM|KCM,|KCM|ESB|VIE|ORD|DSM|
DSM|KSY,|KSY|ESB|VIE|ORD|DSM|
DSM|MLX,|MLX|ESB|VIE|ORD|DSM|
DSM|MQM,|MQM|ESB|VIE|ORD|DSM|
DSM|MSR,|MSR|ESB|VIE|ORD|DSM|
DSM|TEQ,|TEQ|ESB|VIE|ORD|DSM|
DSM|TZX,|TZX|ESB|VIE|ORD|DSM|
DSM|VAN,|VAN|ESB|VIE|ORD|DSM|
DSM|ULN,|ULN|FRU|IST|ORD|DSM|
DSM|HIJ,|HIJ|ICN|YVR|DEN|DSM|
DSM|VVO,|VVO|ICN|YVR|DEN|DSM|
DSM|ACC,|ACC|IST|ORD|DSM|
DSM|AER,|AER|IST|ORD|DSM|
DSM|AGP,|AGP|IST|ORD|DSM|
DSM|ALG,|ALG|IST|ORD|DSM|
DSM|AMM,|AMM|IST|ORD|DSM|
DSM|AQJ,|AQJ|IST|ORD|DSM|
DSM|ARN,|ARN|EWR|DSM|
DSM|ASR,|ASR|SAW|VIE|ORD|DSM|
DSM|ATH,|ATH|IST|ORD|DSM|
DSM|BAH,|BAH|IST|ORD|DSM|
DSM|BEG,|BEG|IST|ORD|DSM|
DSM|BEN,|BEN|IST|ORD|DSM|
DSM|BEY,|BEY|IST|ORD|DSM|
DSM|BHX,|BHX|EWR|DSM|
DSM|BIO,|BIO|IST|ORD|DSM|
DSM|BLQ,|BLQ|IST|ORD|DSM|
DSM|BOM,|BOM|IST|ORD|DSM|
DSM|BRE,|BRE|IST|ORD|DSM|
DSM|BSL,|BSL|IST|ORD|DSM|
DSM|BSR,|BSR|IST|ORD|DSM|
DSM|BUD,|BUD|IST|ORD|DSM|
DSM|BUS,|BUS|IST|ORD|DSM|
DSM|CAI,|CAI|IST|ORD|DSM|
DSM|CGN,|CGN|IST|ORD|DSM|
DSM|CMN,|CMN|IST|ORD|DSM|
DSM|CND,|CND|IST|ORD|DSM|
DSM|DAR,|DAR|NBO|ZRH|ORD|DSM|
DSM|DLM,|DLM|IST|ORD|DSM|
DSM|DMM,|DMM|IST|ORD|DSM|
DSM|DNK,|DNK|IST|ORD|DSM|
DSM|DNZ,|DNZ|IST|ORD|DSM|
DSM|DOK,|DOK|IST|ORD|DSM|
DSM|DUS,|DUS|ORD|DSM|
DSM|EDI,|EDI|EWR|DSM|
DSM|ELQ,|ELQ|IST|ORD|DSM|
DSM|FDH,|FDH|IST|ORD|DSM|
DSM|GOA,|GOA|IST|ORD|DSM|
DSM|GOT,|GOT|BRU|ORD|DSM|
