HKG|CMB,|CMB|MLE|CAN|HKG|
HKG|ADE,|ADE|SAH|IST|HKG|
HKG|ASF,|ASF|SAW|TBS|URC|CAN|HKG|
HKG|STW,|STW|SAW|TBS|URC|CAN|HKG|
HKG|LFW,|LFW|ABJ|OUA|NIM|IST|HKG|
HKG|CEC,|CEC|SFO|HKG|
HKG|SMF,|SMF|SFO|HKG|
HKG|CDR,|CDR|AIA|DEN|YVR|HKG|
HKG|FMN,|FMN|DEN|YVR|HKG|
HKG|JST,|JST|IAD|PEK|HKG|
HKG|JHW,|JHW|CLE|YYZ|HKG|
HKG|SHD,|SHD|IAD|PEK|HKG|
HKG|PTY,|PTY|ORD|HKG|
HKG|FNA,|FNA|BRU|IST|HKG|
HKG|SXB,|SXB|BRU|IST|HKG|
HKG|ACV,|ACV|SFO|HKG|
HKG|MGW,|MGW|IAD|PEK|HKG|
HKG|ALB,|ALB|EWR|HKG|
HKG|AUS,|AUS|DEN|YVR|HKG|
HKG|BFD,|BFD|CLE|YYZ|HKG|
HKG|BUF,|BUF|CLE|YYZ|HKG|
HKG|CHS,|CHS|ORD|HKG|
HKG|DAY,|DAY|ORD|HKG|
HKG|DUJ,|DUJ|CLE|YYZ|HKG|
HKG|ERI,|ERI|CLE|YYZ|HKG|
HKG|FKL,|FKL|CLE|YYZ|HKG|
HKG|FNT,|FNT|CLE|YYZ|HKG|
HKG|GRR,|GRR|ORD|HKG|
HKG|GSP,|GSP|ORD|HKG|
HKG|PBI,|PBI|ATL|ORD|HKG|
HKG|PKB,|PKB|CLE|YYZ|HKG|
HKG|RIC,|RIC|IAD|PEK|HKG|
HKG|SDF,|SDF|ORD|HKG|
HKG|GUM,|GUM|HKG|
HKG|WRL,|WRL|CYS|DEN|YVR|HKG|
HKG|LBL,|HKG|
HKG|ABQ,|ABQ|SEA|YVR|HKG|
HKG|AIA,|AIA|DEN|YVR|HKG|
HKG|ALS,|ALS|DEN|YVR|HKG|
HKG|AMA,|AMA|DEN|YVR|HKG|
HKG|ANC,|ANC|SEA|YVR|HKG|
HKG|ASE,|ASE|DEN|YVR|HKG|
HKG|BFL,|BFL|SFO|HKG|
HKG|BHM,|BHM|ORD|HKG|
HKG|BIL,|BIL|DEN|YVR|HKG|
HKG|BIS,|BIS|DEN|YVR|HKG|
HKG|BOI,|BOI|SFO|HKG|
HKG|BUR,|BUR|SFO|HKG|
HKG|BZN,|BZN|DEN|YVR|HKG|
HKG|CID,|CID|ORD|HKG|
HKG|COD,|COD|DEN|YVR|HKG|
HKG|COS,|COS|DEN|YVR|HKG|
HKG|CPR,|CPR|DEN|YVR|HKG|
HKG|CYS,|CYS|DEN|YVR|HKG|
HKG|DIK,|DIK|DEN|YVR|HKG|
HKG|DRO,|DRO|DEN|YVR|HKG|
HKG|DSM,|DSM|ORD|HKG|
HKG|EGE,|EGE|DEN|YVR|HKG|
HKG|ELP,|ELP|LAS|SFO|HKG|
HKG|EUG,|EUG|PDX|YVR|HKG|
HKG|FAR,|FAR|DEN|YVR|HKG|
HKG|FAT,|FAT|SFO|HKG|
HKG|FCA,|FCA|DEN|YVR|HKG|
HKG|FSD,|FSD|DEN|YVR|HKG|
HKG|GCC,|GCC|DEN|YVR|HKG|
HKG|GEG,|GEG|BOI|SFO|HKG|
HKG|GJT,|GJT|DEN|YVR|HKG|
HKG|GTF,|GTF|DEN|YVR|HKG|
HKG|GUC,|GUC|DEN|YVR|HKG|
HKG|HDN,|HDN|DEN|YVR|HKG|
HKG|HLN,|HLN|DEN|YVR|HKG|
HKG|HSV,|HSV|ORD|HKG|
HKG|ICT,|ICT|DEN|YVR|HKG|
HKG|IDA,|IDA|DEN|YVR|HKG|
HKG|ISN,|ISN|DEN|YVR|HKG|
HKG|JAC,|JAC|DEN|YVR|HKG|
HKG|KOA,|KOA|YVR|HKG|
HKG|LAR,|LAR|DEN|YVR|HKG|
HKG|LBB,|LBB|DEN|YVR|HKG|
HKG|LIH,|LIH|HNL|NRT|CAN|HKG|
HKG|LIT,|LIT|DEN|YVR|HKG|
HKG|LNK,|LNK|DEN|YVR|HKG|
HKG|MAF,|MAF|DEN|YVR|HKG|
HKG|MEM,|MEM|ORD|HKG|
