BSR|LFW,|LFW|ABJ|OUA|NIM|IST|BSR|
BSR|CEC,|CEC|ACV|SMF|SEA|FRA|IST|BSR|
BSR|SMF,|SMF|SEA|FRA|IST|BSR|
BSR|CDR,|CDR|AIA|DEN|FRA|IST|BSR|
BSR|FMN,|FMN|DEN|FRA|IST|BSR|
BSR|JST,|JST|IAD|IST|BSR|
BSR|JHW,|JHW|CLE|YYZ|IST|BSR|
BSR|SHD,|SHD|IAD|IST|BSR|
BSR|PTY,|PTY|MIA|ZRH|IST|BSR|
BSR|FNA,|FNA|BRU|IST|BSR|
BSR|SXB,|SXB|BRU|IST|BSR|
BSR|ACV,|ACV|SMF|SEA|FRA|IST|BSR|
BSR|MGW,|MGW|IAD|IST|BSR|
BSR|ALB,|ALB|EWR|BHX|IST|BSR|
BSR|AUS,|AUS|ORD|IST|BSR|
BSR|BFD,|BFD|CLE|YYZ|IST|BSR|
BSR|BUF,|BUF|EWR|BHX|IST|BSR|
BSR|CHS,|CHS|EWR|BHX|IST|BSR|
BSR|DAY,|DAY|CLE|YYZ|IST|BSR|
BSR|DUJ,|DUJ|CLE|YYZ|IST|BSR|
BSR|ERI,|ERI|CLE|YYZ|IST|BSR|
BSR|FKL,|FKL|CLE|YYZ|IST|BSR|
BSR|FNT,|FNT|CLE|YYZ|IST|BSR|
BSR|GRR,|GRR|CLE|YYZ|IST|BSR|
BSR|GSP,|GSP|EWR|BHX|IST|BSR|
BSR|PBI,|PBI|EWR|BHX|IST|BSR|
BSR|PKB,|PKB|CLE|YYZ|IST|BSR|
BSR|RIC,|RIC|EWR|BHX|IST|BSR|
BSR|SDF,|SDF|CLE|YYZ|IST|BSR|
BSR|GUM,|GUM|FUK|ICN|IST|BSR|
BSR|WRL,|WRL|CYS|DEN|FRA|IST|BSR|
BSR|LBL,|BSR|
BSR|ABQ,|ABQ|DEN|FRA|IST|BSR|
