MCI|MLX,|MLX|ESB|VIE|ORD|MCI|
MCI|MQM,|MQM|ESB|VIE|ORD|MCI|
MCI|MSR,|MSR|ESB|VIE|ORD|MCI|
MCI|TEQ,|TEQ|ESB|VIE|ORD|MCI|
MCI|TZX,|TZX|ESB|VIE|ORD|MCI|
MCI|VAN,|VAN|ESB|VIE|ORD|MCI|
MCI|ULN,|ULN|FRU|IST|ORD|MCI|
MCI|HIJ,|HIJ|ICN|YVR|DEN|MCI|
MCI|VVO,|VVO|ICN|YVR|DEN|MCI|
MCI|ACC,|ACC|IST|ORD|MCI|
MCI|AER,|AER|IST|ORD|MCI|
MCI|AGP,|AGP|IST|ORD|MCI|
MCI|ALG,|ALG|IST|ORD|MCI|
MCI|AMM,|AMM|IST|ORD|MCI|
MCI|AQJ,|AQJ|IST|ORD|MCI|
MCI|ARN,|ARN|EWR|MCI|
MCI|ASR,|ASR|SAW|VIE|ORD|MCI|
MCI|ATH,|ATH|IST|ORD|MCI|
MCI|BAH,|BAH|IST|ORD|MCI|
MCI|BEG,|BEG|IST|ORD|MCI|
MCI|BEN,|BEN|IST|ORD|MCI|
MCI|BEY,|BEY|IST|ORD|MCI|
MCI|BHX,|BHX|EWR|MCI|
MCI|BIO,|BIO|IST|ORD|MCI|
MCI|BLQ,|BLQ|IST|ORD|MCI|
MCI|BOM,|BOM|IST|ORD|MCI|
MCI|BRE,|BRE|IST|ORD|MCI|
MCI|BSL,|BSL|IST|ORD|MCI|
MCI|BSR,|BSR|IST|ORD|MCI|
MCI|BUD,|BUD|IST|ORD|MCI|
MCI|BUS,|BUS|IST|ORD|MCI|
MCI|CAI,|CAI|IST|ORD|MCI|
MCI|CGN,|CGN|IST|ORD|MCI|
MCI|CMN,|CMN|IST|ORD|MCI|
MCI|CND,|CND|IST|ORD|MCI|
MCI|DAR,|DAR|NBO|ZRH|ORD|MCI|
MCI|DLM,|DLM|IST|ORD|MCI|
MCI|DMM,|DMM|IST|ORD|MCI|
MCI|DNK,|DNK|IST|ORD|MCI|
MCI|DNZ,|DNZ|IST|ORD|MCI|
MCI|DOK,|DOK|IST|ORD|MCI|
MCI|DUS,|DUS|ORD|MCI|
MCI|EDI,|EDI|EWR|MCI|
MCI|ELQ,|ELQ|IST|ORD|MCI|
MCI|FDH,|FDH|IST|ORD|MCI|
MCI|GOA,|GOA|IST|ORD|MCI|
MCI|GOT,|GOT|BRU|ORD|MCI|
MCI|HAJ,|HAJ|BRU|ORD|MCI|
MCI|HBE,|HBE|IST|ORD|MCI|
MCI|HEL,|HEL|IST|ORD|MCI|
MCI|HRG,|HRG|IST|ORD|MCI|
MCI|IFN,|IFN|IST|ORD|MCI|
MCI|ISE,|ISE|IST|ORD|MCI|
MCI|ISU,|ISU|IST|ORD|MCI|
MCI|JIB,|JIB|IST|ORD|MCI|
MCI|JRO,|JRO|IST|ORD|MCI|
MCI|KAN,|KAN|IST|ORD|MCI|
MCI|KBL,|KBL|IST|ORD|MCI|
MCI|KBP,|KBP|IST|ORD|MCI|
MCI|KFS,|KFS|IST|ORD|MCI|
MCI|KHI,|KHI|IST|ORD|MCI|
MCI|KIV,|KIV|IST|ORD|MCI|
MCI|KRT,|KRT|IST|ORD|MCI|
MCI|KSH,|KSH|IST|ORD|MCI|
MCI|KVD,|KVD|IST|ORD|MCI|
MCI|KWI,|KWI|SAW|VIE|ORD|MCI|
MCI|KYA,|KYA|IST|ORD|MCI|
MCI|KZN,|KZN|IST|ORD|MCI|
MCI|KZR,|KZR|IST|ORD|MCI|
MCI|LED,|LED|VIE|ORD|MCI|
MCI|LEJ,|LEJ|IST|ORD|MCI|
MCI|LGW,|LGW|IST|ORD|MCI|
MCI|LHE,|LHE|IST|ORD|MCI|
MCI|LIS,|LIS|EWR|MCI|
MCI|LJU,|LJU|IST|ORD|MCI|
MCI|LOS,|LOS|IAH|MCI|
MCI|LUX,|LUX|IST|ORD|MCI|
MCI|LWO,|LWO|IST|ORD|MCI|
MCI|LYS,|LYS|IST|ORD|MCI|
MCI|MAD,|MAD|EWR|MCI|
MCI|MAN,|MAN|EWR|MCI|
MCI|MED,|MED|IST|ORD|MCI|
MCI|MHD,|MHD|IST|ORD|MCI|
MCI|MLA,|MLA|IST|ORD|MCI|
MCI|MRS,|MRS|IST|ORD|MCI|
MCI|MSQ,|MSQ|IST|ORD|MCI|
MCI|MXP,|MXP|EWR|MCI|
MCI|MZH,|MZH|IST|ORD|MCI|
MCI|MZR,|MZR|IST|ORD|MCI|
MCI|NAJ,|NAJ|IST|ORD|MCI|
MCI|NAV,|NAV|IST|ORD|MCI|
MCI|NCE,|NCE|IST|ORD|MCI|
MCI|NIM,|NIM|IST|ORD|MCI|
MCI|NJF,|NJF|IST|ORD|MCI|
MCI|NSI,|NSI|BRU|ORD|MCI|
MCI|NUE,|NUE|IST|ORD|MCI|
MCI|ODS,|ODS|IST|ORD|MCI|
MCI|ORN,|ORN|IST|ORD|MCI|
MCI|OTP,|OTP|IST|ORD|MCI|
MCI|PRG,|PRG|BRU|ORD|MCI|
MCI|PRN,|PRN|IST|ORD|MCI|
MCI|RIX,|RIX|IST|ORD|MCI|
MCI|ROV,|ROV|IST|ORD|MCI|
MCI|RTM,|RTM|IST|ORD|MCI|
MCI|RUH,|RUH|IST|ORD|MCI|
MCI|SAH,|SAH|IST|ORD|MCI|
MCI|SJJ,|SJJ|IST|ORD|MCI|
MCI|SKG,|SKG|IST|ORD|MCI|
MCI|SKP,|SKP|IST|ORD|MCI|
MCI|SSH,|SSH|IST|ORD|MCI|
MCI|STR,|STR|EWR|MCI|
