PDX|BLL,|BLL|IST|FRA|SEA|PDX|
PDX|ESB,|ESB|FRA|SEA|PDX|
PDX|SAW,|SAW|FRA|SEA|PDX|
PDX|HAM,|HAM|EWR|PDX|
PDX|HRE,|HRE|ADD|JED|FRA|SEA|PDX|
PDX|JUB,|JUB|CAI|IST|FRA|SEA|PDX|
PDX|SSG,|SSG|DLA|BRU|YUL|YYC|PDX|
PDX|BGW,|BGW|ESB|FRA|SEA|PDX|
PDX|EBL,|EBL|IST|FRA|SEA|PDX|
PDX|VKO,|VKO|IST|FRA|SEA|PDX|
PDX|MCT,|MCT|IST|FRA|SEA|PDX|
PDX|AYT,|AYT|IST|FRA|SEA|PDX|
PDX|SCQ,|SCQ|BIO|IST|FRA|SEA|PDX|
PDX|AAL,|AAL|IST|FRA|SEA|PDX|
PDX|AOE,|AOE|BRU|YUL|YYC|PDX|
PDX|JNB,|JNB|DKR|IAD|PDX|
PDX|LBV,|LBV|DLA|BRU|YUL|YYC|PDX|
PDX|ADA,|ADA|SAW|FRA|SEA|PDX|
PDX|ADB,|ADB|IST|FRA|SEA|PDX|
PDX|ADF,|ADF|ESB|FRA|SEA|PDX|
PDX|AJI,|AJI|ESB|FRA|SEA|PDX|
PDX|BAL,|BAL|ESB|FRA|SEA|PDX|
PDX|BJV,|BJV|IST|FRA|SEA|PDX|
PDX|CKZ,|CKZ|ESB|FRA|SEA|PDX|
PDX|DIY,|DIY|ESB|FRA|SEA|PDX|
PDX|ECN,|ECN|IST|FRA|SEA|PDX|
PDX|ERC,|ERC|ESB|FRA|SEA|PDX|
PDX|ERZ,|ERZ|ESB|FRA|SEA|PDX|
PDX|EZS,|EZS|ESB|FRA|SEA|PDX|
PDX|GNY,|GNY|ESB|FRA|SEA|PDX|
PDX|GZP,|GZP|ESB|FRA|SEA|PDX|
PDX|GZT,|GZT|ESB|FRA|SEA|PDX|
PDX|HTY,|HTY|SAW|FRA|SEA|PDX|
PDX|KCM,|KCM|ESB|FRA|SEA|PDX|
PDX|KSY,|KSY|ESB|FRA|SEA|PDX|
PDX|MLX,|MLX|ESB|FRA|SEA|PDX|
PDX|MQM,|MQM|ESB|FRA|SEA|PDX|
PDX|MSR,|MSR|ESB|FRA|SEA|PDX|
PDX|TEQ,|TEQ|ESB|FRA|SEA|PDX|
PDX|TZX,|TZX|ESB|FRA|SEA|PDX|
PDX|VAN,|VAN|ESB|FRA|SEA|PDX|
PDX|ULN,|ULN|FRU|URC|PEK|SEA|PDX|
PDX|HIJ,|HIJ|ICN|SEA|PDX|
PDX|VVO,|VVO|ICN|SEA|PDX|
PDX|ACC,|ACC|IST|FRA|SEA|PDX|
PDX|AER,|AER|IST|FRA|SEA|PDX|
PDX|AGP,|AGP|IST|FRA|SEA|PDX|
PDX|ALG,|ALG|IST|FRA|SEA|PDX|
PDX|AMM,|AMM|IST|FRA|SEA|PDX|
PDX|AQJ,|AQJ|IST|FRA|SEA|PDX|
PDX|ARN,|ARN|EWR|PDX|
PDX|ASR,|ASR|SAW|FRA|SEA|PDX|
PDX|ATH,|ATH|IST|FRA|SEA|PDX|
PDX|BAH,|BAH|IST|FRA|SEA|PDX|
PDX|BEG,|BEG|IST|FRA|SEA|PDX|
PDX|BEN,|BEN|IST|FRA|SEA|PDX|
PDX|BEY,|BEY|IST|FRA|SEA|PDX|
PDX|BHX,|BHX|EWR|PDX|
PDX|BIO,|BIO|IST|FRA|SEA|PDX|
PDX|BLQ,|BLQ|IST|FRA|SEA|PDX|
PDX|BOM,|BOM|IST|FRA|SEA|PDX|
PDX|BRE,|BRE|IST|FRA|SEA|PDX|
PDX|BSL,|BSL|IST|FRA|SEA|PDX|
PDX|BSR,|BSR|IST|FRA|SEA|PDX|
PDX|BUD,|BUD|IST|FRA|SEA|PDX|
PDX|BUS,|BUS|IST|FRA|SEA|PDX|
PDX|CAI,|CAI|IST|FRA|SEA|PDX|
PDX|CGN,|CGN|IST|FRA|SEA|PDX|
PDX|CMN,|CMN|IST|FRA|SEA|PDX|
PDX|CND,|CND|IST|FRA|SEA|PDX|
PDX|DAR,|DAR|IST|FRA|SEA|PDX|
PDX|DLM,|DLM|IST|FRA|SEA|PDX|
PDX|DMM,|DMM|IST|FRA|SEA|PDX|
PDX|DNK,|DNK|IST|FRA|SEA|PDX|
PDX|DNZ,|DNZ|IST|FRA|SEA|PDX|
PDX|DOK,|DOK|IST|FRA|SEA|PDX|
PDX|DUS,|DUS|ORD|PDX|
PDX|EDI,|EDI|EWR|PDX|
PDX|ELQ,|ELQ|IST|FRA|SEA|PDX|
PDX|FDH,|FDH|IST|FRA|SEA|PDX|
PDX|GOA,|GOA|IST|FRA|SEA|PDX|
PDX|GOT,|GOT|BRU|YUL|YYC|PDX|
PDX|HAJ,|HAJ|BRU|YUL|YYC|PDX|
PDX|HBE,|HBE|IST|FRA|SEA|PDX|
PDX|HEL,|HEL|IST|FRA|SEA|PDX|
PDX|HRG,|HRG|IST|FRA|SEA|PDX|
PDX|IFN,|IFN|IST|FRA|SEA|PDX|
PDX|ISE,|ISE|IST|FRA|SEA|PDX|
PDX|ISU,|ISU|IST|FRA|SEA|PDX|
PDX|JIB,|JIB|IST|FRA|SEA|PDX|
PDX|JRO,|JRO|IST|FRA|SEA|PDX|
PDX|KAN,|KAN|IST|FRA|SEA|PDX|
PDX|KBL,|KBL|IST|FRA|SEA|PDX|
PDX|KBP,|KBP|IST|FRA|SEA|PDX|
PDX|KFS,|KFS|IST|FRA|SEA|PDX|
PDX|KHI,|KHI|IST|FRA|SEA|PDX|
PDX|KIV,|KIV|IST|FRA|SEA|PDX|
PDX|KRT,|KRT|IST|FRA|SEA|PDX|
PDX|KSH,|KSH|IST|FRA|SEA|PDX|
PDX|KVD,|KVD|IST|FRA|SEA|PDX|
PDX|KWI,|KWI|SAW|FRA|SEA|PDX|
PDX|KYA,|KYA|IST|FRA|SEA|PDX|
PDX|KZN,|KZN|IST|FRA|SEA|PDX|
PDX|KZR,|KZR|IST|FRA|SEA|PDX|
PDX|LED,|LED|VIE|ORD|PDX|
PDX|LEJ,|LEJ|IST|FRA|SEA|PDX|
PDX|LGW,|LGW|IST|FRA|SEA|PDX|
PDX|LHE,|LHE|IST|FRA|SEA|PDX|
PDX|LIS,|LIS|EWR|PDX|
PDX|LJU,|LJU|IST|FRA|SEA|PDX|
PDX|LOS,|LOS|FRA|SEA|PDX|
PDX|LUX,|LUX|IST|FRA|SEA|PDX|
PDX|LWO,|LWO|IST|FRA|SEA|PDX|
PDX|LYS,|LYS|IST|FRA|SEA|PDX|
PDX|MAD,|MAD|EWR|PDX|
PDX|MAN,|MAN|EWR|PDX|
PDX|MED,|MED|IST|FRA|SEA|PDX|
PDX|MHD,|MHD|IST|FRA|SEA|PDX|
PDX|MLA,|MLA|IST|FRA|SEA|PDX|
PDX|MRS,|MRS|IST|FRA|SEA|PDX|
PDX|MSQ,|MSQ|IST|FRA|SEA|PDX|
PDX|MXP,|MXP|EWR|PDX|
PDX|MZH,|MZH|IST|FRA|SEA|PDX|
PDX|MZR,|MZR|IST|FRA|SEA|PDX|
PDX|NAJ,|NAJ|IST|FRA|SEA|PDX|
PDX|NAV,|NAV|IST|FRA|SEA|PDX|
PDX|NCE,|NCE|IST|FRA|SEA|PDX|
PDX|NIM,|NIM|IST|FRA|SEA|PDX|
PDX|NJF,|NJF|IST|FRA|SEA|PDX|
PDX|NSI,|NSI|BRU|YUL|YYC|PDX|
PDX|NUE,|NUE|IST|FRA|SEA|PDX|
PDX|ODS,|ODS|IST|FRA|SEA|PDX|
PDX|ORN,|ORN|IST|FRA|SEA|PDX|
PDX|OTP,|OTP|IST|FRA|SEA|PDX|
PDX|PRG,|PRG|BRU|YUL|YYC|PDX|
PDX|PRN,|PRN|IST|FRA|SEA|PDX|
PDX|RIX,|RIX|IST|FRA|SEA|PDX|
PDX|ROV,|ROV|IST|FRA|SEA|PDX|
PDX|RTM,|RTM|IST|FRA|SEA|PDX|
PDX|RUH,|RUH|IST|FRA|SEA|PDX|
PDX|SAH,|SAH|IST|FRA|SEA|PDX|
PDX|SJJ,|SJJ|IST|FRA|SEA|PDX|
PDX|SKG,|SKG|IST|FRA|SEA|PDX|
PDX|SKP,|SKP|IST|FRA|SEA|PDX|
PDX|SSH,|SSH|IST|FRA|SEA|PDX|
PDX|STR,|STR|EWR|PDX|
PDX|SVX,|SVX|IST|FRA|SEA|PDX|
PDX|SYZ,|SYZ|IST|FRA|SEA|PDX|
PDX|SZG,|SZG|IST|FRA|SEA|PDX|
PDX|TBZ,|TBZ|IST|FRA|SEA|PDX|
PDX|TGD,|TGD|IST|FRA|SEA|PDX|
PDX|TIA,|TIA|IST|FRA|SEA|PDX|
PDX|TIF,|TIF|IST|FRA|SEA|PDX|
PDX|TIP,|TIP|IST|FRA|SEA|PDX|
PDX|TLL,|TLL|VNO|FRA|SEA|PDX|
PDX|TLS,|TLS|IST|FRA|SEA|PDX|
PDX|TRN,|TRN|IST|FRA|SEA|PDX|
PDX|TUN,|TUN|IST|FRA|SEA|PDX|
PDX|TXL,|TXL|EWR|PDX|
PDX|UFA,|UFA|IST|FRA|SEA|PDX|
PDX|VAS,|VAS|SAW|FRA|SEA|PDX|
