NKG|SSH,|SSH|IST|URC|NKG|
NKG|STR,|STR|IST|URC|NKG|
NKG|SVX,|SVX|IST|URC|NKG|
NKG|SYZ,|SYZ|IST|URC|NKG|
NKG|SZG,|SZG|IST|URC|NKG|
NKG|TBZ,|TBZ|IST|URC|NKG|
NKG|TGD,|TGD|IST|URC|NKG|
NKG|TIA,|TIA|IST|URC|NKG|
NKG|TIF,|TIF|IST|URC|NKG|
NKG|TIP,|TIP|IST|URC|NKG|
NKG|TLL,|TLL|IST|URC|NKG|
NKG|TLS,|TLS|IST|URC|NKG|
NKG|TRN,|TRN|IST|URC|NKG|
NKG|TUN,|TUN|IST|URC|NKG|
NKG|TXL,|TXL|IST|URC|NKG|
NKG|UFA,|UFA|IST|URC|NKG|
NKG|VAS,|VAS|SAW|TBS|URC|NKG|
NKG|VCE,|VCE|IST|URC|NKG|
NKG|YNB,|YNB|IST|URC|NKG|
NKG|ZAG,|ZAG|IST|URC|NKG|
NKG|MGQ,|MGQ|JIB|IST|URC|NKG|
NKG|CPT,|CPT|JNB|IST|URC|NKG|
NKG|MBA,|MBA|JRO|IST|URC|NKG|
NKG|NDJ,|NDJ|KAN|IST|URC|NKG|
NKG|CMB,|CMB|MLE|CAN|NKG|
NKG|ADE,|ADE|SAH|IST|URC|NKG|
NKG|ASF,|ASF|SAW|TBS|URC|NKG|
NKG|STW,|STW|SAW|TBS|URC|NKG|
NKG|LFW,|LFW|ABJ|OUA|NIM|IST|URC|NKG|
NKG|CEC,|CEC|SFO|ICN|DLC|NKG|
NKG|SMF,|SMF|SFO|ICN|DLC|NKG|
NKG|CDR,|CDR|AIA|DEN|YVR|ICN|DLC|NKG|
NKG|FMN,|FMN|DEN|YVR|ICN|DLC|NKG|
NKG|JST,|JST|IAD|PEK|DLC|NKG|
NKG|JHW,|JHW|CLE|YYZ|PEK|DLC|NKG|
NKG|SHD,|SHD|IAD|PEK|DLC|NKG|
NKG|PTY,|PTY|IAH|YVR|ICN|DLC|NKG|
