PHX|ORN,|ORN|IST|FRA|DEN|PHX|
PHX|OTP,|OTP|IST|FRA|DEN|PHX|
PHX|PRG,|PRG|BRU|ORD|PHX|
PHX|PRN,|PRN|IST|FRA|DEN|PHX|
PHX|RIX,|RIX|IST|FRA|DEN|PHX|
PHX|ROV,|ROV|IST|FRA|DEN|PHX|
PHX|RTM,|RTM|IST|FRA|DEN|PHX|
PHX|RUH,|RUH|IST|FRA|DEN|PHX|
PHX|SAH,|SAH|IST|FRA|DEN|PHX|
PHX|SJJ,|SJJ|IST|FRA|DEN|PHX|
PHX|SKG,|SKG|IST|FRA|DEN|PHX|
PHX|SKP,|SKP|IST|FRA|DEN|PHX|
PHX|SSH,|SSH|IST|FRA|DEN|PHX|
PHX|STR,|STR|EWR|PHX|
PHX|SVX,|SVX|IST|FRA|DEN|PHX|
PHX|SYZ,|SYZ|IST|FRA|DEN|PHX|
PHX|SZG,|SZG|IST|FRA|DEN|PHX|
PHX|TBZ,|TBZ|IST|FRA|DEN|PHX|
PHX|TGD,|TGD|IST|FRA|DEN|PHX|
PHX|TIA,|TIA|IST|FRA|DEN|PHX|
PHX|TIF,|TIF|IST|FRA|DEN|PHX|
PHX|TIP,|TIP|IST|FRA|DEN|PHX|
PHX|TLL,|TLL|VNO|CPH|YYZ|PHX|
PHX|TLS,|TLS|IST|FRA|DEN|PHX|
PHX|TRN,|TRN|IST|FRA|DEN|PHX|
PHX|TUN,|TUN|IST|FRA|DEN|PHX|
PHX|TXL,|TXL|EWR|PHX|
PHX|UFA,|UFA|IST|FRA|DEN|PHX|
PHX|VAS,|VAS|SAW|FRA|DEN|PHX|
PHX|VCE,|VCE|IST|FRA|DEN|PHX|
PHX|YNB,|YNB|IST|FRA|DEN|PHX|
PHX|ZAG,|ZAG|IST|FRA|DEN|PHX|
PHX|MGQ,|MGQ|JIB|IST|FRA|DEN|PHX|
PHX|CPT,|CPT|JNB|DKR|IAD|PHX|
PHX|MBA,|MBA|JRO|IST|FRA|DEN|PHX|
PHX|NDJ,|NDJ|KAN|IST|FRA|DEN|PHX|
PHX|CMB,|CMB|MLE|CAN|PVG|SFO|PHX|
