YXX|WUS,|WUS|PEK|YVR|YYC|YXX|
YXX|JMU,|JMU|PVG|YVR|YYC|YXX|
YXX|NDG,|NDG|PVG|YVR|YYC|YXX|
YXX|JXA,|JXA|SHE|ICN|YVR|YYC|YXX|
YXX|PUS,|PUS|SHE|ICN|YVR|YYC|YXX|
YXX|BKI,|BKI|SZX|PVG|YVR|YYC|YXX|
YXX|AKU,|AKU|URC|PEK|YVR|YYC|YXX|
YXX|ALA,|ALA|URC|PEK|YVR|YYC|YXX|
YXX|ASB,|ASB|GYD|FRA|YYC|YXX|
YXX|DNH,|DNH|XIY|PEK|YVR|YYC|YXX|
YXX|DYU,|DYU|IST|FRA|YYC|YXX|
YXX|FRU,|FRU|URC|PEK|YVR|YYC|YXX|
YXX|GYD,|GYD|FRA|YYC|YXX|
YXX|HTN,|HTN|URC|PEK|YVR|YYC|YXX|
YXX|IKA,|IKA|SAW|FRA|YYC|YXX|
YXX|KCA,|KCA|URC|PEK|YVR|YYC|YXX|
YXX|KHG,|KHG|URC|PEK|YVR|YYC|YXX|
YXX|KRL,|KRL|URC|PEK|YVR|YYC|YXX|
YXX|KRY,|KRY|URC|PEK|YVR|YYC|YXX|
YXX|LBD,|LBD|URC|PEK|YVR|YYC|YXX|
YXX|NLT,|NLT|URC|PEK|YVR|YYC|YXX|
YXX|OSS,|OSS|URC|PEK|YVR|YYC|YXX|
YXX|OVB,|OVB|URC|PEK|YVR|YYC|YXX|
YXX|TBS,|TBS|SAW|FRA|YYC|YXX|
YXX|TCG,|TCG|URC|PEK|YVR|YYC|YXX|
YXX|TSE,|TSE|FRA|YYC|YXX|
YXX|YIN,|YIN|URC|PEK|YVR|YYC|YXX|
YXX|ENH,|ENH|WUH|ICN|YVR|YYC|YXX|
YXX|ENY,|ENY|XIY|PEK|YVR|YYC|YXX|
YXX|WXN,|WXN|XIY|PEK|YVR|YYC|YXX|
YXX|BLL,|BLL|IST|FRA|YYC|YXX|
YXX|ESB,|ESB|FRA|YYC|YXX|
YXX|SAW,|SAW|FRA|YYC|YXX|
YXX|HAM,|HAM|EWR|YYC|YXX|
YXX|HRE,|HRE|ADD|JED|FRA|YYC|YXX|
YXX|JUB,|JUB|CAI|IST|FRA|YYC|YXX|
YXX|SSG,|SSG|DLA|BRU|YUL|YYC|YXX|
YXX|BGW,|BGW|ESB|FRA|YYC|YXX|
YXX|EBL,|EBL|IST|FRA|YYC|YXX|
YXX|VKO,|VKO|IST|FRA|YYC|YXX|
YXX|MCT,|MCT|IST|FRA|YYC|YXX|
YXX|AYT,|AYT|IST|FRA|YYC|YXX|
YXX|SCQ,|SCQ|BIO|IST|FRA|YYC|YXX|
YXX|AAL,|AAL|IST|FRA|YYC|YXX|
YXX|AOE,|AOE|BRU|YUL|YYC|YXX|
YXX|JNB,|JNB|JFK|YYC|YXX|
YXX|LBV,|LBV|DLA|BRU|YUL|YYC|YXX|
YXX|ADA,|ADA|SAW|FRA|YYC|YXX|
YXX|ADB,|ADB|IST|FRA|YYC|YXX|
YXX|ADF,|ADF|ESB|FRA|YYC|YXX|
YXX|AJI,|AJI|ESB|FRA|YYC|YXX|
YXX|BAL,|BAL|ESB|FRA|YYC|YXX|
YXX|BJV,|BJV|IST|FRA|YYC|YXX|
YXX|CKZ,|CKZ|ESB|FRA|YYC|YXX|
YXX|DIY,|DIY|ESB|FRA|YYC|YXX|
YXX|ECN,|ECN|IST|FRA|YYC|YXX|
YXX|ERC,|ERC|ESB|FRA|YYC|YXX|
YXX|ERZ,|ERZ|ESB|FRA|YYC|YXX|
YXX|EZS,|EZS|ESB|FRA|YYC|YXX|
YXX|GNY,|GNY|ESB|FRA|YYC|YXX|
YXX|GZP,|GZP|ESB|FRA|YYC|YXX|
YXX|GZT,|GZT|ESB|FRA|YYC|YXX|
YXX|HTY,|HTY|SAW|FRA|YYC|YXX|
YXX|KCM,|KCM|ESB|FRA|YYC|YXX|
YXX|KSY,|KSY|ESB|FRA|YYC|YXX|
YXX|MLX,|MLX|ESB|FRA|YYC|YXX|
YXX|MQM,|MQM|ESB|FRA|YYC|YXX|
YXX|MSR,|MSR|ESB|FRA|YYC|YXX|
YXX|TEQ,|TEQ|ESB|FRA|YYC|YXX|
YXX|TZX,|TZX|ESB|FRA|YYC|YXX|
YXX|VAN,|VAN|ESB|FRA|YYC|YXX|
YXX|ULN,|ULN|FRU|URC|PEK|YVR|YYC|YXX|
YXX|HIJ,|HIJ|ICN|YVR|YYC|YXX|
YXX|VVO,|VVO|ICN|YVR|YYC|YXX|
YXX|ACC,|ACC|IST|FRA|YYC|YXX|
YXX|AER,|AER|IST|FRA|YYC|YXX|
YXX|AGP,|AGP|IST|FRA|YYC|YXX|
YXX|ALG,|ALG|IST|FRA|YYC|YXX|
YXX|AMM,|AMM|IST|FRA|YYC|YXX|
YXX|AQJ,|AQJ|IST|FRA|YYC|YXX|
YXX|ARN,|ARN|EWR|YYC|YXX|
YXX|ASR,|ASR|SAW|FRA|YYC|YXX|
YXX|ATH,|ATH|IST|FRA|YYC|YXX|
YXX|BAH,|BAH|IST|FRA|YYC|YXX|
YXX|BEG,|BEG|IST|FRA|YYC|YXX|
YXX|BEN,|BEN|IST|FRA|YYC|YXX|
YXX|BEY,|BEY|IST|FRA|YYC|YXX|
YXX|BHX,|BHX|EWR|YYC|YXX|
YXX|BIO,|BIO|IST|FRA|YYC|YXX|
YXX|BLQ,|BLQ|IST|FRA|YYC|YXX|
YXX|BOM,|BOM|IST|FRA|YYC|YXX|
YXX|BRE,|BRE|IST|FRA|YYC|YXX|
YXX|BSL,|BSL|IST|FRA|YYC|YXX|
YXX|BSR,|BSR|IST|FRA|YYC|YXX|
YXX|BUD,|BUD|IST|FRA|YYC|YXX|
YXX|BUS,|BUS|IST|FRA|YYC|YXX|
YXX|CAI,|CAI|IST|FRA|YYC|YXX|
YXX|CGN,|CGN|IST|FRA|YYC|YXX|
YXX|CMN,|CMN|IST|FRA|YYC|YXX|
YXX|CND,|CND|IST|FRA|YYC|YXX|
YXX|DAR,|DAR|IST|FRA|YYC|YXX|
YXX|DLM,|DLM|IST|FRA|YYC|YXX|
YXX|DMM,|DMM|IST|FRA|YYC|YXX|
YXX|DNK,|DNK|IST|FRA|YYC|YXX|
YXX|DNZ,|DNZ|IST|FRA|YYC|YXX|
YXX|DOK,|DOK|IST|FRA|YYC|YXX|
YXX|DUS,|DUS|ORD|YYC|YXX|
YXX|EDI,|EDI|EWR|YYC|YXX|
YXX|ELQ,|ELQ|IST|FRA|YYC|YXX|
YXX|FDH,|FDH|IST|FRA|YYC|YXX|
YXX|GOA,|GOA|IST|FRA|YYC|YXX|
YXX|GOT,|GOT|BRU|YUL|YYC|YXX|
YXX|HAJ,|HAJ|BRU|YUL|YYC|YXX|
YXX|HBE,|HBE|IST|FRA|YYC|YXX|
YXX|HEL,|HEL|IST|FRA|YYC|YXX|
YXX|HRG,|HRG|IST|FRA|YYC|YXX|
YXX|IFN,|IFN|IST|FRA|YYC|YXX|
YXX|ISE,|ISE|IST|FRA|YYC|YXX|
YXX|ISU,|ISU|IST|FRA|YYC|YXX|
YXX|JIB,|JIB|IST|FRA|YYC|YXX|
YXX|JRO,|JRO|IST|FRA|YYC|YXX|
YXX|KAN,|KAN|IST|FRA|YYC|YXX|
YXX|KBL,|KBL|IST|FRA|YYC|YXX|
YXX|KBP,|KBP|IST|FRA|YYC|YXX|
YXX|KFS,|KFS|IST|FRA|YYC|YXX|
YXX|KHI,|KHI|IST|FRA|YYC|YXX|
YXX|KIV,|KIV|IST|FRA|YYC|YXX|
YXX|KRT,|KRT|IST|FRA|YYC|YXX|
YXX|KSH,|KSH|IST|FRA|YYC|YXX|
YXX|KVD,|KVD|IST|FRA|YYC|YXX|
YXX|KWI,|KWI|SAW|FRA|YYC|YXX|
YXX|KYA,|KYA|IST|FRA|YYC|YXX|
YXX|KZN,|KZN|IST|FRA|YYC|YXX|
YXX|KZR,|KZR|IST|FRA|YYC|YXX|
YXX|LED,|LED|VIE|YYZ|YYC|YXX|
YXX|LEJ,|LEJ|IST|FRA|YYC|YXX|
YXX|LGW,|LGW|IST|FRA|YYC|YXX|
YXX|LHE,|LHE|IST|FRA|YYC|YXX|
YXX|LIS,|LIS|EWR|YYC|YXX|
YXX|LJU,|LJU|IST|FRA|YYC|YXX|
YXX|LOS,|LOS|FRA|YYC|YXX|
YXX|LUX,|LUX|IST|FRA|YYC|YXX|
YXX|LWO,|LWO|IST|FRA|YYC|YXX|
YXX|LYS,|LYS|IST|FRA|YYC|YXX|
YXX|MAD,|MAD|EWR|YYC|YXX|
YXX|MAN,|MAN|EWR|YYC|YXX|
YXX|MED,|MED|IST|FRA|YYC|YXX|
YXX|MHD,|MHD|IST|FRA|YYC|YXX|
YXX|MLA,|MLA|IST|FRA|YYC|YXX|
YXX|MRS,|MRS|IST|FRA|YYC|YXX|
YXX|MSQ,|MSQ|IST|FRA|YYC|YXX|
YXX|MXP,|MXP|EWR|YYC|YXX|
YXX|MZH,|MZH|IST|FRA|YYC|YXX|
YXX|MZR,|MZR|IST|FRA|YYC|YXX|
YXX|NAJ,|NAJ|IST|FRA|YYC|YXX|
YXX|NAV,|NAV|IST|FRA|YYC|YXX|
YXX|NCE,|NCE|IST|FRA|YYC|YXX|
YXX|NIM,|NIM|IST|FRA|YYC|YXX|
YXX|NJF,|NJF|IST|FRA|YYC|YXX|
YXX|NSI,|NSI|BRU|YUL|YYC|YXX|
