BGM|BRE,|BRE|IST|IAD|BGM|
BGM|BSL,|BSL|IST|IAD|BGM|
BGM|BSR,|BSR|IST|IAD|BGM|
BGM|BUD,|BUD|IST|IAD|BGM|
BGM|BUS,|BUS|IST|IAD|BGM|
BGM|CAI,|CAI|JFK|IAD|BGM|
BGM|CGN,|CGN|IST|IAD|BGM|
BGM|CMN,|CMN|IST|IAD|BGM|
BGM|CND,|CND|IST|IAD|BGM|
BGM|DAR,|DAR|NBO|ZRH|IAD|BGM|
BGM|DLM,|DLM|IST|IAD|BGM|
BGM|DMM,|DMM|IST|IAD|BGM|
BGM|DNK,|DNK|IST|IAD|BGM|
BGM|DNZ,|DNZ|IST|IAD|BGM|
BGM|DOK,|DOK|IST|IAD|BGM|
BGM|DUS,|DUS|EWR|IAD|BGM|
BGM|EDI,|EDI|EWR|IAD|BGM|
BGM|ELQ,|ELQ|IST|IAD|BGM|
BGM|FDH,|FDH|IST|IAD|BGM|
BGM|GOA,|GOA|IST|IAD|BGM|
BGM|GOT,|GOT|BRU|IAD|BGM|
BGM|HAJ,|HAJ|BRU|IAD|BGM|
BGM|HBE,|HBE|IST|IAD|BGM|
BGM|HEL,|HEL|IST|IAD|BGM|
BGM|HRG,|HRG|IST|IAD|BGM|
BGM|IFN,|IFN|IST|IAD|BGM|
BGM|ISE,|ISE|IST|IAD|BGM|
BGM|ISU,|ISU|IST|IAD|BGM|
BGM|JIB,|JIB|IST|IAD|BGM|
BGM|JRO,|JRO|IST|IAD|BGM|
BGM|KAN,|KAN|IST|IAD|BGM|
BGM|KBL,|KBL|IST|IAD|BGM|
BGM|KBP,|KBP|IST|IAD|BGM|
BGM|KFS,|KFS|IST|IAD|BGM|
BGM|KHI,|KHI|IST|IAD|BGM|
BGM|KIV,|KIV|IST|IAD|BGM|
BGM|KRT,|KRT|IST|IAD|BGM|
BGM|KSH,|KSH|IST|IAD|BGM|
BGM|KVD,|KVD|IST|IAD|BGM|
BGM|KWI,|KWI|IAD|BGM|
BGM|KYA,|KYA|IST|IAD|BGM|
BGM|KZN,|KZN|IST|IAD|BGM|
BGM|KZR,|KZR|IST|IAD|BGM|
BGM|LED,|LED|VIE|IAD|BGM|
BGM|LEJ,|LEJ|IST|IAD|BGM|
BGM|LGW,|LGW|IST|IAD|BGM|
BGM|LHE,|LHE|IST|IAD|BGM|
BGM|LIS,|LIS|EWR|IAD|BGM|
BGM|LJU,|LJU|IST|IAD|BGM|
BGM|LOS,|LOS|FRA|IAD|BGM|
BGM|LUX,|LUX|IST|IAD|BGM|
BGM|LWO,|LWO|IST|IAD|BGM|
BGM|LYS,|LYS|IST|IAD|BGM|
BGM|MAD,|MAD|EWR|IAD|BGM|
BGM|MAN,|MAN|IAD|BGM|
BGM|MED,|MED|IST|IAD|BGM|
BGM|MHD,|MHD|IST|IAD|BGM|
BGM|MLA,|MLA|IST|IAD|BGM|
BGM|MRS,|MRS|IST|IAD|BGM|
BGM|MSQ,|MSQ|IST|IAD|BGM|
BGM|MXP,|MXP|EWR|IAD|BGM|
BGM|MZH,|MZH|IST|IAD|BGM|
BGM|MZR,|MZR|IST|IAD|BGM|
BGM|NAJ,|NAJ|IST|IAD|BGM|
BGM|NAV,|NAV|IST|IAD|BGM|
BGM|NCE,|NCE|IST|IAD|BGM|
BGM|NIM,|NIM|IST|IAD|BGM|
BGM|NJF,|NJF|IST|IAD|BGM|
BGM|NSI,|NSI|BRU|IAD|BGM|
BGM|NUE,|NUE|IST|IAD|BGM|
BGM|ODS,|ODS|IST|IAD|BGM|
BGM|ORN,|ORN|IST|IAD|BGM|
BGM|OTP,|OTP|IST|IAD|BGM|
BGM|PRG,|PRG|BRU|IAD|BGM|
BGM|PRN,|PRN|IST|IAD|BGM|
BGM|RIX,|RIX|IST|IAD|BGM|
BGM|ROV,|ROV|IST|IAD|BGM|
BGM|RTM,|RTM|IST|IAD|BGM|
BGM|RUH,|RUH|IST|IAD|BGM|
BGM|SAH,|SAH|IST|IAD|BGM|
BGM|SJJ,|SJJ|IST|IAD|BGM|
BGM|SKG,|SKG|IST|IAD|BGM|
BGM|SKP,|SKP|IST|IAD|BGM|
BGM|SSH,|SSH|IST|IAD|BGM|
BGM|STR,|STR|EWR|IAD|BGM|
BGM|SVX,|SVX|IST|IAD|BGM|
BGM|SYZ,|SYZ|IST|IAD|BGM|
BGM|SZG,|SZG|IST|IAD|BGM|
BGM|TBZ,|TBZ|IST|IAD|BGM|
BGM|TGD,|TGD|IST|IAD|BGM|
BGM|TIA,|TIA|IST|IAD|BGM|
BGM|TIF,|TIF|IST|IAD|BGM|
BGM|TIP,|TIP|IST|IAD|BGM|
BGM|TLL,|TLL|VNO|CPH|YYZ|IAD|BGM|
