CMX|KZN,|KZN|IST|ORD|CMX|
CMX|KZR,|KZR|IST|ORD|CMX|
CMX|LED,|LED|VIE|ORD|CMX|
CMX|LEJ,|LEJ|IST|ORD|CMX|
CMX|LGW,|LGW|IST|ORD|CMX|
CMX|LHE,|LHE|IST|ORD|CMX|
CMX|LIS,|LIS|EWR|ORD|CMX|
CMX|LJU,|LJU|IST|ORD|CMX|
CMX|LOS,|LOS|FRA|ORD|CMX|
CMX|LUX,|LUX|IST|ORD|CMX|
CMX|LWO,|LWO|IST|ORD|CMX|
CMX|LYS,|LYS|IST|ORD|CMX|
CMX|MAD,|MAD|EWR|ORD|CMX|
CMX|MAN,|MAN|EWR|ORD|CMX|
CMX|MED,|MED|IST|ORD|CMX|
CMX|MHD,|MHD|IST|ORD|CMX|
CMX|MLA,|MLA|IST|ORD|CMX|
CMX|MRS,|MRS|IST|ORD|CMX|
CMX|MSQ,|MSQ|IST|ORD|CMX|
CMX|MXP,|MXP|EWR|ORD|CMX|
CMX|MZH,|MZH|IST|ORD|CMX|
CMX|MZR,|MZR|IST|ORD|CMX|
CMX|NAJ,|NAJ|IST|ORD|CMX|
CMX|NAV,|NAV|IST|ORD|CMX|
CMX|NCE,|NCE|IST|ORD|CMX|
CMX|NIM,|NIM|IST|ORD|CMX|
CMX|NJF,|NJF|IST|ORD|CMX|
CMX|NSI,|NSI|BRU|ORD|CMX|
CMX|NUE,|NUE|IST|ORD|CMX|
CMX|ODS,|ODS|IST|ORD|CMX|
CMX|ORN,|ORN|IST|ORD|CMX|
CMX|OTP,|OTP|IST|ORD|CMX|
CMX|PRG,|PRG|BRU|ORD|CMX|
CMX|PRN,|PRN|IST|ORD|CMX|
CMX|RIX,|RIX|IST|ORD|CMX|
CMX|ROV,|ROV|IST|ORD|CMX|
CMX|RTM,|RTM|IST|ORD|CMX|
CMX|RUH,|RUH|IST|ORD|CMX|
CMX|SAH,|SAH|IST|ORD|CMX|
CMX|SJJ,|SJJ|IST|ORD|CMX|
CMX|SKG,|SKG|IST|ORD|CMX|
CMX|SKP,|SKP|IST|ORD|CMX|
CMX|SSH,|SSH|IST|ORD|CMX|
CMX|STR,|STR|EWR|ORD|CMX|
CMX|SVX,|SVX|IST|ORD|CMX|
CMX|SYZ,|SYZ|IST|ORD|CMX|
CMX|SZG,|SZG|IST|ORD|CMX|
CMX|TBZ,|TBZ|IST|ORD|CMX|
CMX|TGD,|TGD|IST|ORD|CMX|
CMX|TIA,|TIA|IST|ORD|CMX|
CMX|TIF,|TIF|IST|ORD|CMX|
CMX|TIP,|TIP|IST|ORD|CMX|
CMX|TLL,|TLL|VNO|CPH|YYZ|ORD|CMX|
CMX|TLS,|TLS|IST|ORD|CMX|
CMX|TRN,|TRN|IST|ORD|CMX|
CMX|TUN,|TUN|IST|ORD|CMX|
CMX|TXL,|TXL|EWR|ORD|CMX|
CMX|UFA,|UFA|IST|ORD|CMX|
CMX|VAS,|VAS|SAW|VIE|ORD|CMX|
CMX|VCE,|VCE|IST|ORD|CMX|
CMX|YNB,|YNB|IST|ORD|CMX|
CMX|ZAG,|ZAG|IST|ORD|CMX|
CMX|MGQ,|MGQ|JIB|IST|ORD|CMX|
CMX|CPT,|CPT|JNB|DKR|IAD|ORD|CMX|
CMX|MBA,|MBA|JRO|IST|ORD|CMX|
CMX|NDJ,|NDJ|KAN|IST|ORD|CMX|
CMX|CMB,|CMB|MLE|IST|ORD|CMX|
CMX|ADE,|ADE|SAH|IST|ORD|CMX|
