MDT|KVD,|KVD|IST|IAD|MDT|
MDT|KWI,|KWI|IAD|MDT|
MDT|KYA,|KYA|IST|IAD|MDT|
MDT|KZN,|KZN|IST|IAD|MDT|
MDT|KZR,|KZR|IST|IAD|MDT|
MDT|LED,|LED|VIE|IAD|MDT|
MDT|LEJ,|LEJ|IST|IAD|MDT|
MDT|LGW,|LGW|IST|IAD|MDT|
MDT|LHE,|LHE|IST|IAD|MDT|
MDT|LIS,|LIS|EWR|IAD|MDT|
MDT|LJU,|LJU|IST|IAD|MDT|
MDT|LOS,|LOS|FRA|IAD|MDT|
MDT|LUX,|LUX|IST|IAD|MDT|
MDT|LWO,|LWO|IST|IAD|MDT|
MDT|LYS,|LYS|IST|IAD|MDT|
MDT|MAD,|MAD|EWR|IAD|MDT|
MDT|MAN,|MAN|IAD|MDT|
MDT|MED,|MED|IST|IAD|MDT|
MDT|MHD,|MHD|IST|IAD|MDT|
MDT|MLA,|MLA|IST|IAD|MDT|
MDT|MRS,|MRS|IST|IAD|MDT|
MDT|MSQ,|MSQ|IST|IAD|MDT|
MDT|MXP,|MXP|EWR|IAD|MDT|
MDT|MZH,|MZH|IST|IAD|MDT|
MDT|MZR,|MZR|IST|IAD|MDT|
MDT|NAJ,|NAJ|IST|IAD|MDT|
MDT|NAV,|NAV|IST|IAD|MDT|
MDT|NCE,|NCE|IST|IAD|MDT|
MDT|NIM,|NIM|IST|IAD|MDT|
MDT|NJF,|NJF|IST|IAD|MDT|
MDT|NSI,|NSI|BRU|IAD|MDT|
MDT|NUE,|NUE|IST|IAD|MDT|
MDT|ODS,|ODS|IST|IAD|MDT|
MDT|ORN,|ORN|IST|IAD|MDT|
MDT|OTP,|OTP|IST|IAD|MDT|
MDT|PRG,|PRG|BRU|IAD|MDT|
MDT|PRN,|PRN|IST|IAD|MDT|
MDT|RIX,|RIX|IST|IAD|MDT|
MDT|ROV,|ROV|IST|IAD|MDT|
MDT|RTM,|RTM|IST|IAD|MDT|
MDT|RUH,|RUH|IST|IAD|MDT|
MDT|SAH,|SAH|IST|IAD|MDT|
MDT|SJJ,|SJJ|IST|IAD|MDT|
MDT|SKG,|SKG|IST|IAD|MDT|
MDT|SKP,|SKP|IST|IAD|MDT|
MDT|SSH,|SSH|IST|IAD|MDT|
MDT|STR,|STR|EWR|IAD|MDT|
MDT|SVX,|SVX|IST|IAD|MDT|
MDT|SYZ,|SYZ|IST|IAD|MDT|
MDT|SZG,|SZG|IST|IAD|MDT|
MDT|TBZ,|TBZ|IST|IAD|MDT|
MDT|TGD,|TGD|IST|IAD|MDT|
MDT|TIA,|TIA|IST|IAD|MDT|
MDT|TIF,|TIF|IST|IAD|MDT|
MDT|TIP,|TIP|IST|IAD|MDT|
MDT|TLL,|TLL|VNO|CPH|YYZ|MDT|
MDT|TLS,|TLS|IST|IAD|MDT|
MDT|TRN,|TRN|IST|IAD|MDT|
MDT|TUN,|TUN|IST|IAD|MDT|
MDT|TXL,|TXL|EWR|IAD|MDT|
MDT|UFA,|UFA|IST|IAD|MDT|
MDT|VAS,|VAS|SAW|FRA|IAD|MDT|
MDT|VCE,|VCE|IST|IAD|MDT|
MDT|YNB,|YNB|IST|IAD|MDT|
MDT|ZAG,|ZAG|IST|IAD|MDT|
MDT|MGQ,|MGQ|JIB|IST|IAD|MDT|
MDT|CPT,|CPT|JNB|DKR|IAD|MDT|
MDT|MBA,|MBA|JRO|IST|IAD|MDT|
MDT|NDJ,|NDJ|KAN|IST|IAD|MDT|
