HBE|ZAT,|ZAT|KMG|CTU|URC|IST|HBE|
HBE|LUN,|LUN|NBO|IST|HBE|
HBE|AOG,|AOG|PEK|IST|HBE|
HBE|GMP,|GMP|PEK|IST|HBE|
HBE|ISB,|ISB|IST|HBE|
HBE|TAS,|TAS|IST|HBE|
HBE|WUS,|WUS|PEK|IST|HBE|
HBE|JMU,|JMU|PVG|IST|HBE|
HBE|NDG,|NDG|PVG|IST|HBE|
HBE|JXA,|JXA|SHE|PEK|IST|HBE|
HBE|PUS,|PUS|SHE|PEK|IST|HBE|
HBE|BKI,|BKI|SZX|CKG|URC|IST|HBE|
HBE|AKU,|AKU|URC|IST|HBE|
HBE|ALA,|ALA|IST|HBE|
HBE|ASB,|ASB|IST|HBE|
HBE|DNH,|DNH|URC|IST|HBE|
HBE|DYU,|DYU|IST|HBE|
HBE|FRU,|FRU|IST|HBE|
HBE|GYD,|GYD|IST|HBE|
HBE|HTN,|HTN|URC|IST|HBE|
HBE|IKA,|IKA|IST|HBE|
HBE|KCA,|KCA|URC|IST|HBE|
HBE|KHG,|KHG|URC|IST|HBE|
HBE|KRL,|KRL|URC|IST|HBE|
HBE|KRY,|KRY|URC|IST|HBE|
HBE|LBD,|LBD|URC|IST|HBE|
HBE|NLT,|NLT|URC|IST|HBE|
HBE|OSS,|OSS|IST|HBE|
HBE|OVB,|OVB|IST|HBE|
HBE|TBS,|TBS|IST|HBE|
HBE|TCG,|TCG|URC|IST|HBE|
HBE|TSE,|TSE|IST|HBE|
HBE|YIN,|YIN|URC|IST|HBE|
HBE|ENH,|ENH|WUH|URC|IST|HBE|
HBE|ENY,|ENY|XIY|URC|IST|HBE|
HBE|WXN,|WXN|XIY|URC|IST|HBE|
HBE|BLL,|BLL|IST|HBE|
HBE|ESB,|ESB|IST|HBE|
HBE|SAW,|SAW|ADB|IST|HBE|
HBE|HAM,|HAM|IST|HBE|
HBE|HRE,|HRE|ADD|IST|HBE|
HBE|JUB,|JUB|CAI|IST|HBE|
HBE|SSG,|SSG|DLA|IST|HBE|
HBE|BGW,|BGW|IST|HBE|
HBE|EBL,|EBL|IST|HBE|
HBE|VKO,|VKO|IST|HBE|
HBE|MCT,|MCT|IST|HBE|
HBE|AYT,|AYT|IST|HBE|
HBE|SCQ,|SCQ|BIO|IST|HBE|
HBE|AAL,|AAL|IST|HBE|
HBE|AOE,|AOE|BRU|IST|HBE|
HBE|JNB,|JNB|IST|HBE|
HBE|LBV,|LBV|DLA|IST|HBE|
HBE|ADA,|ADA|IST|HBE|
HBE|ADB,|ADB|IST|HBE|
HBE|ADF,|ADF|IST|HBE|
HBE|AJI,|AJI|IST|HBE|
HBE|BAL,|BAL|IST|HBE|
HBE|BJV,|BJV|IST|HBE|
HBE|CKZ,|CKZ|ESB|IST|HBE|
HBE|DIY,|DIY|IST|HBE|
HBE|ECN,|ECN|IST|HBE|
HBE|ERC,|ERC|IST|HBE|
HBE|ERZ,|ERZ|IST|HBE|
HBE|EZS,|EZS|IST|HBE|
HBE|GNY,|GNY|IST|HBE|
HBE|GZP,|GZP|ESB|IST|HBE|
HBE|GZT,|GZT|IST|HBE|
HBE|HTY,|HTY|IST|HBE|
HBE|KCM,|KCM|IST|HBE|
HBE|KSY,|KSY|IST|HBE|
HBE|MLX,|MLX|IST|HBE|
HBE|MQM,|MQM|IST|HBE|
HBE|MSR,|MSR|IST|HBE|
HBE|TEQ,|TEQ|ESB|IST|HBE|
HBE|TZX,|TZX|IST|HBE|
HBE|VAN,|VAN|IST|HBE|
HBE|ULN,|ULN|FRU|IST|HBE|
HBE|HIJ,|HIJ|ICN|IST|HBE|
HBE|VVO,|VVO|ICN|IST|HBE|
HBE|ACC,|ACC|IST|HBE|
HBE|AER,|AER|IST|HBE|
HBE|AGP,|AGP|IST|HBE|
HBE|ALG,|ALG|IST|HBE|
HBE|AMM,|AMM|IST|HBE|
HBE|AQJ,|AQJ|IST|HBE|
HBE|ARN,|ARN|IST|HBE|
HBE|ASR,|ASR|IST|HBE|
HBE|ATH,|ATH|IST|HBE|
HBE|BAH,|BAH|IST|HBE|
HBE|BEG,|BEG|IST|HBE|
HBE|BEN,|BEN|IST|HBE|
HBE|BEY,|BEY|IST|HBE|
HBE|BHX,|BHX|IST|HBE|
HBE|BIO,|BIO|IST|HBE|
HBE|BLQ,|BLQ|IST|HBE|
HBE|BOM,|BOM|IST|HBE|
HBE|BRE,|BRE|IST|HBE|
HBE|BSL,|BSL|IST|HBE|
HBE|BSR,|BSR|IST|HBE|
HBE|BUD,|BUD|IST|HBE|
HBE|BUS,|BUS|IST|HBE|
HBE|CAI,|CAI|IST|HBE|
HBE|CGN,|CGN|IST|HBE|
HBE|CMN,|CMN|IST|HBE|
HBE|CND,|CND|IST|HBE|
HBE|DAR,|DAR|IST|HBE|
HBE|DLM,|DLM|IST|HBE|
