CLD|YCU,|YCU|CSX|ICN|LAX|CLD|
CLD|LZO,|LZO|CSX|ICN|LAX|CLD|
CLD|MDG,|MDG|ICN|LAX|CLD|
CLD|NGO,|NGO|ICN|LAX|CLD|
CLD|TOY,|TOY|DLC|ICN|LAX|CLD|
CLD|MFM,|MFM|HGH|DLC|ICN|LAX|CLD|
CLD|TGO,|TGO|HET|DLC|ICN|LAX|CLD|
CLD|XIL,|XIL|HET|DLC|ICN|LAX|CLD|
CLD|HEK,|HEK|HRB|ICN|LAX|CLD|
CLD|KIJ,|KIJ|HRB|ICN|LAX|CLD|
CLD|LDS,|LDS|HRB|ICN|LAX|CLD|
CLD|OHE,|OHE|HRB|ICN|LAX|CLD|
CLD|HSN,|HSN|PEK|LAX|CLD|
CLD|DLU,|DLU|KMG|PEK|LAX|CLD|
CLD|SYM,|SYM|KMG|PEK|LAX|CLD|
CLD|ZAT,|ZAT|KMG|PEK|LAX|CLD|
CLD|LUN,|LUN|NBO|ZRH|LAX|CLD|
CLD|AOG,|AOG|PEK|LAX|CLD|
CLD|GMP,|GMP|PEK|LAX|CLD|
CLD|ISB,|ISB|PEK|LAX|CLD|
CLD|TAS,|TAS|PEK|LAX|CLD|
CLD|WUS,|WUS|PEK|LAX|CLD|
CLD|JMU,|JMU|PVG|LAX|CLD|
CLD|NDG,|NDG|PVG|LAX|CLD|
CLD|JXA,|JXA|SHE|ICN|LAX|CLD|
CLD|PUS,|PUS|SHE|ICN|LAX|CLD|
CLD|BKI,|BKI|SZX|PVG|LAX|CLD|
CLD|AKU,|AKU|URC|PEK|LAX|CLD|
CLD|ALA,|ALA|URC|PEK|LAX|CLD|
CLD|ASB,|ASB|GYD|FRA|LAX|CLD|
CLD|DNH,|DNH|XIY|PEK|LAX|CLD|
CLD|DYU,|DYU|URC|PEK|LAX|CLD|
CLD|FRU,|FRU|URC|PEK|LAX|CLD|
CLD|GYD,|GYD|FRA|LAX|CLD|
CLD|HTN,|HTN|URC|PEK|LAX|CLD|
CLD|IKA,|IKA|IST|LAX|CLD|
CLD|KCA,|KCA|URC|PEK|LAX|CLD|
CLD|KHG,|KHG|URC|PEK|LAX|CLD|
CLD|KRL,|KRL|URC|PEK|LAX|CLD|
CLD|KRY,|KRY|URC|PEK|LAX|CLD|
CLD|LBD,|LBD|URC|PEK|LAX|CLD|
CLD|NLT,|NLT|URC|PEK|LAX|CLD|
CLD|OSS,|OSS|URC|PEK|LAX|CLD|
CLD|OVB,|OVB|URC|PEK|LAX|CLD|
CLD|TBS,|TBS|IST|LAX|CLD|
CLD|TCG,|TCG|URC|PEK|LAX|CLD|
CLD|TSE,|TSE|FRA|LAX|CLD|
CLD|YIN,|YIN|URC|PEK|LAX|CLD|
CLD|ENH,|ENH|WUH|ICN|LAX|CLD|
CLD|ENY,|ENY|XIY|PEK|LAX|CLD|
CLD|WXN,|WXN|XIY|PEK|LAX|CLD|
CLD|BLL,|BLL|IST|LAX|CLD|
CLD|ESB,|ESB|IST|LAX|CLD|
CLD|SAW,|SAW|FRA|LAX|CLD|
CLD|HAM,|HAM|EWR|LAX|CLD|
CLD|HRE,|HRE|ADD|IST|LAX|CLD|
CLD|JUB,|JUB|CAI|IST|LAX|CLD|
CLD|SSG,|SSG|DLA|BRU|ORD|LAX|CLD|
CLD|BGW,|BGW|IST|LAX|CLD|
CLD|EBL,|EBL|IST|LAX|CLD|
CLD|VKO,|VKO|IST|LAX|CLD|
CLD|MCT,|MCT|IST|LAX|CLD|
CLD|AYT,|AYT|IST|LAX|CLD|
CLD|SCQ,|SCQ|BIO|IST|LAX|CLD|
CLD|AAL,|AAL|IST|LAX|CLD|
CLD|AOE,|AOE|BRU|ORD|LAX|CLD|
CLD|JNB,|JNB|DKR|IAD|LAX|CLD|
CLD|LBV,|LBV|DLA|BRU|ORD|LAX|CLD|
CLD|ADA,|ADA|IST|LAX|CLD|
CLD|ADB,|ADB|IST|LAX|CLD|
CLD|ADF,|ADF|IST|LAX|CLD|
CLD|AJI,|AJI|IST|LAX|CLD|
CLD|BAL,|BAL|IST|LAX|CLD|
CLD|BJV,|BJV|IST|LAX|CLD|
CLD|CKZ,|CKZ|ESB|IST|LAX|CLD|
CLD|DIY,|DIY|IST|LAX|CLD|
CLD|ECN,|ECN|IST|LAX|CLD|
CLD|ERC,|ERC|IST|LAX|CLD|
CLD|ERZ,|ERZ|IST|LAX|CLD|
CLD|EZS,|EZS|IST|LAX|CLD|
CLD|GNY,|GNY|IST|LAX|CLD|
CLD|GZP,|GZP|ESB|IST|LAX|CLD|
CLD|GZT,|GZT|IST|LAX|CLD|
CLD|HTY,|HTY|IST|LAX|CLD|
CLD|KCM,|KCM|IST|LAX|CLD|
CLD|KSY,|KSY|IST|LAX|CLD|
CLD|MLX,|MLX|IST|LAX|CLD|
CLD|MQM,|MQM|IST|LAX|CLD|
CLD|MSR,|MSR|IST|LAX|CLD|
CLD|TEQ,|TEQ|ESB|IST|LAX|CLD|
CLD|TZX,|TZX|IST|LAX|CLD|
CLD|VAN,|VAN|IST|LAX|CLD|
CLD|ULN,|ULN|FRU|URC|PEK|LAX|CLD|
CLD|HIJ,|HIJ|ICN|LAX|CLD|
CLD|VVO,|VVO|ICN|LAX|CLD|
CLD|ACC,|ACC|IST|LAX|CLD|
CLD|AER,|AER|IST|LAX|CLD|
CLD|AGP,|AGP|IST|LAX|CLD|
CLD|ALG,|ALG|IST|LAX|CLD|
CLD|AMM,|AMM|IST|LAX|CLD|
CLD|AQJ,|AQJ|IST|LAX|CLD|
CLD|ARN,|ARN|EWR|LAX|CLD|
CLD|ASR,|ASR|IST|LAX|CLD|
CLD|ATH,|ATH|IST|LAX|CLD|
CLD|BAH,|BAH|IST|LAX|CLD|
CLD|BEG,|BEG|IST|LAX|CLD|
CLD|BEN,|BEN|IST|LAX|CLD|
CLD|BEY,|BEY|IST|LAX|CLD|
CLD|BHX,|BHX|EWR|LAX|CLD|
CLD|BIO,|BIO|IST|LAX|CLD|
CLD|BLQ,|BLQ|IST|LAX|CLD|
CLD|BOM,|BOM|IST|LAX|CLD|
CLD|BRE,|BRE|IST|LAX|CLD|
CLD|BSL,|BSL|IST|LAX|CLD|
CLD|BSR,|BSR|IST|LAX|CLD|
CLD|BUD,|BUD|IST|LAX|CLD|
CLD|BUS,|BUS|IST|LAX|CLD|
CLD|CAI,|CAI|IST|LAX|CLD|
CLD|CGN,|CGN|IST|LAX|CLD|
CLD|CMN,|CMN|IST|LAX|CLD|
CLD|CND,|CND|IST|LAX|CLD|
CLD|DAR,|DAR|NBO|ZRH|LAX|CLD|
CLD|DLM,|DLM|IST|LAX|CLD|
CLD|DMM,|DMM|IST|LAX|CLD|
CLD|DNK,|DNK|IST|LAX|CLD|
CLD|DNZ,|DNZ|IST|LAX|CLD|
CLD|DOK,|DOK|IST|LAX|CLD|
CLD|DUS,|DUS|ORD|LAX|CLD|
CLD|EDI,|EDI|EWR|LAX|CLD|
CLD|ELQ,|ELQ|IST|LAX|CLD|
CLD|FDH,|FDH|IST|LAX|CLD|
CLD|GOA,|GOA|IST|LAX|CLD|
CLD|GOT,|GOT|BRU|ORD|LAX|CLD|
CLD|HAJ,|HAJ|BRU|ORD|LAX|CLD|
CLD|HBE,|HBE|IST|LAX|CLD|
CLD|HEL,|HEL|IST|LAX|CLD|
CLD|HRG,|HRG|IST|LAX|CLD|
CLD|IFN,|IFN|IST|LAX|CLD|
CLD|ISE,|ISE|IST|LAX|CLD|
CLD|ISU,|ISU|IST|LAX|CLD|
CLD|JIB,|JIB|IST|LAX|CLD|
CLD|JRO,|JRO|IST|LAX|CLD|
CLD|KAN,|KAN|IST|LAX|CLD|
CLD|KBL,|KBL|IST|LAX|CLD|
CLD|KBP,|KBP|IST|LAX|CLD|
CLD|KFS,|KFS|IST|LAX|CLD|
CLD|KHI,|KHI|IST|LAX|CLD|
CLD|KIV,|KIV|IST|LAX|CLD|
CLD|KRT,|KRT|IST|LAX|CLD|
CLD|KSH,|KSH|IST|LAX|CLD|
CLD|KVD,|KVD|IST|LAX|CLD|
CLD|KWI,|KWI|IST|LAX|CLD|
CLD|KYA,|KYA|IST|LAX|CLD|
CLD|KZN,|KZN|IST|LAX|CLD|
CLD|KZR,|KZR|IST|LAX|CLD|
CLD|LED,|LED|VIE|ORD|LAX|CLD|
CLD|LEJ,|LEJ|IST|LAX|CLD|
CLD|LGW,|LGW|IST|LAX|CLD|
CLD|LHE,|LHE|IST|LAX|CLD|
CLD|LIS,|LIS|EWR|LAX|CLD|
CLD|LJU,|LJU|IST|LAX|CLD|
CLD|LOS,|LOS|IAH|LAX|CLD|
CLD|LUX,|LUX|IST|LAX|CLD|
CLD|LWO,|LWO|IST|LAX|CLD|
CLD|LYS,|LYS|IST|LAX|CLD|
CLD|MAD,|MAD|EWR|LAX|CLD|
CLD|MAN,|MAN|EWR|LAX|CLD|
CLD|MED,|MED|IST|LAX|CLD|
CLD|MHD,|MHD|IST|LAX|CLD|
CLD|MLA,|MLA|IST|LAX|CLD|
CLD|MRS,|MRS|IST|LAX|CLD|
CLD|MSQ,|MSQ|IST|LAX|CLD|
CLD|MXP,|MXP|EWR|LAX|CLD|
CLD|MZH,|MZH|IST|LAX|CLD|
CLD|MZR,|MZR|IST|LAX|CLD|
CLD|NAJ,|NAJ|IST|LAX|CLD|
CLD|NAV,|NAV|IST|LAX|CLD|
CLD|NCE,|NCE|IST|LAX|CLD|
CLD|NIM,|NIM|IST|LAX|CLD|
CLD|NJF,|NJF|IST|LAX|CLD|
CLD|NSI,|NSI|BRU|ORD|LAX|CLD|
CLD|NUE,|NUE|IST|LAX|CLD|
CLD|ODS,|ODS|IST|LAX|CLD|
CLD|ORN,|ORN|IST|LAX|CLD|
CLD|OTP,|OTP|IST|LAX|CLD|
CLD|PRG,|PRG|BRU|ORD|LAX|CLD|
CLD|PRN,|PRN|IST|LAX|CLD|
CLD|RIX,|RIX|IST|LAX|CLD|
CLD|ROV,|ROV|IST|LAX|CLD|
CLD|RTM,|RTM|IST|LAX|CLD|
CLD|RUH,|RUH|IST|LAX|CLD|
CLD|SAH,|SAH|IST|LAX|CLD|
CLD|SJJ,|SJJ|IST|LAX|CLD|
CLD|SKG,|SKG|IST|LAX|CLD|
CLD|SKP,|SKP|IST|LAX|CLD|
CLD|SSH,|SSH|IST|LAX|CLD|
CLD|STR,|STR|EWR|LAX|CLD|
CLD|SVX,|SVX|IST|LAX|CLD|
CLD|SYZ,|SYZ|IST|LAX|CLD|
CLD|SZG,|SZG|IST|LAX|CLD|
