DGO|SAW,|SAW|VIE|YYZ|IAH|DGO|
DGO|HAM,|HAM|EWR|IAH|DGO|
DGO|HRE,|HRE|ADD|JED|FRA|IAH|DGO|
DGO|JUB,|JUB|CAI|JFK|IAD|IAH|DGO|
DGO|SSG,|SSG|DLA|BRU|YUL|IAH|DGO|
DGO|BGW,|BGW|ESB|VIE|YYZ|IAH|DGO|
DGO|EBL,|EBL|IST|IAH|DGO|
DGO|VKO,|VKO|IST|IAH|DGO|
DGO|MCT,|MCT|AUH|YYZ|IAH|DGO|
DGO|AYT,|AYT|IST|IAH|DGO|
DGO|SCQ,|SCQ|BIO|IST|IAH|DGO|
DGO|AAL,|AAL|IST|IAH|DGO|
DGO|AOE,|AOE|BRU|YUL|IAH|DGO|
DGO|JNB,|JNB|DKR|IAD|IAH|DGO|
DGO|LBV,|LBV|DLA|BRU|YUL|IAH|DGO|
DGO|ADA,|ADA|SAW|VIE|YYZ|IAH|DGO|
DGO|ADB,|ADB|HAM|EWR|IAH|DGO|
DGO|ADF,|ADF|ESB|VIE|YYZ|IAH|DGO|
DGO|AJI,|AJI|ESB|VIE|YYZ|IAH|DGO|
DGO|BAL,|BAL|ESB|VIE|YYZ|IAH|DGO|
DGO|BJV,|BJV|IST|IAH|DGO|
DGO|CKZ,|CKZ|ESB|VIE|YYZ|IAH|DGO|
DGO|DIY,|DIY|ESB|VIE|YYZ|IAH|DGO|
DGO|ECN,|ECN|IST|IAH|DGO|
DGO|ERC,|ERC|ESB|VIE|YYZ|IAH|DGO|
DGO|ERZ,|ERZ|ESB|VIE|YYZ|IAH|DGO|
DGO|EZS,|EZS|ESB|VIE|YYZ|IAH|DGO|
DGO|GNY,|GNY|ESB|VIE|YYZ|IAH|DGO|
DGO|GZP,|GZP|ESB|VIE|YYZ|IAH|DGO|
DGO|GZT,|GZT|ESB|VIE|YYZ|IAH|DGO|
DGO|HTY,|HTY|SAW|VIE|YYZ|IAH|DGO|
DGO|KCM,|KCM|ESB|VIE|YYZ|IAH|DGO|
DGO|KSY,|KSY|ESB|VIE|YYZ|IAH|DGO|
DGO|MLX,|MLX|ESB|VIE|YYZ|IAH|DGO|
DGO|MQM,|MQM|ESB|VIE|YYZ|IAH|DGO|
DGO|MSR,|MSR|ESB|VIE|YYZ|IAH|DGO|
DGO|TEQ,|TEQ|ESB|VIE|YYZ|IAH|DGO|
DGO|TZX,|TZX|ESB|VIE|YYZ|IAH|DGO|
DGO|VAN,|VAN|ESB|VIE|YYZ|IAH|DGO|
DGO|ULN,|ULN|FRU|IST|IAH|DGO|
DGO|HIJ,|HIJ|ICN|LAX|DGO|
DGO|VVO,|VVO|ICN|LAX|DGO|
DGO|ACC,|ACC|IST|IAH|DGO|
DGO|AER,|AER|IST|IAH|DGO|
DGO|AGP,|AGP|IST|IAH|DGO|
DGO|ALG,|ALG|IST|IAH|DGO|
DGO|AMM,|AMM|IST|IAH|DGO|
DGO|AQJ,|AQJ|IST|IAH|DGO|
DGO|ARN,|ARN|EWR|IAH|DGO|
DGO|ASR,|ASR|SAW|VIE|YYZ|IAH|DGO|
DGO|ATH,|ATH|IST|IAH|DGO|
DGO|BAH,|BAH|IST|IAH|DGO|
DGO|BEG,|BEG|IST|IAH|DGO|
DGO|BEN,|BEN|IST|IAH|DGO|
DGO|BEY,|BEY|IST|IAH|DGO|
DGO|BHX,|BHX|EWR|IAH|DGO|
DGO|BIO,|BIO|IST|IAH|DGO|
DGO|BLQ,|BLQ|IST|IAH|DGO|
DGO|BOM,|BOM|EWR|IAH|DGO|
DGO|BRE,|BRE|IST|IAH|DGO|
DGO|BSL,|BSL|IST|IAH|DGO|
DGO|BSR,|BSR|IST|IAH|DGO|
DGO|BUD,|BUD|IST|IAH|DGO|
DGO|BUS,|BUS|IST|IAH|DGO|
DGO|CAI,|CAI|JFK|IAD|IAH|DGO|
DGO|CGN,|CGN|IST|IAH|DGO|
DGO|CMN,|CMN|IST|IAH|DGO|
DGO|CND,|CND|IST|IAH|DGO|
DGO|DAR,|DAR|NBO|ZRH|YUL|IAH|DGO|
DGO|DLM,|DLM|IST|IAH|DGO|
DGO|DMM,|DMM|IST|IAH|DGO|
DGO|DNK,|DNK|IST|IAH|DGO|
DGO|DNZ,|DNZ|IST|IAH|DGO|
DGO|DOK,|DOK|IST|IAH|DGO|
DGO|DUS,|DUS|ORD|IAH|DGO|
DGO|EDI,|EDI|EWR|IAH|DGO|
DGO|ELQ,|ELQ|IST|IAH|DGO|
DGO|FDH,|FDH|IST|IAH|DGO|
DGO|GOA,|GOA|IST|IAH|DGO|
DGO|GOT,|GOT|BRU|YUL|IAH|DGO|
DGO|HAJ,|HAJ|BRU|YUL|IAH|DGO|
DGO|HBE,|HBE|IST|IAH|DGO|
DGO|HEL,|HEL|IST|IAH|DGO|
DGO|HRG,|HRG|IST|IAH|DGO|
DGO|IFN,|IFN|IST|IAH|DGO|
DGO|ISE,|ISE|IST|IAH|DGO|
