SCL|LHE,|LHE|IST|GRU|EZE|SCL|
SCL|LIS,|LIS|EWR|YYZ|SCL|
SCL|LJU,|LJU|IST|GRU|EZE|SCL|
SCL|LOS,|LOS|IST|GRU|EZE|SCL|
SCL|LUX,|LUX|IST|GRU|EZE|SCL|
SCL|LWO,|LWO|IST|GRU|EZE|SCL|
SCL|LYS,|LYS|IST|GRU|EZE|SCL|
SCL|MAD,|MAD|EWR|YYZ|SCL|
SCL|MAN,|MAN|EWR|YYZ|SCL|
SCL|MED,|MED|IST|GRU|EZE|SCL|
SCL|MHD,|MHD|IST|GRU|EZE|SCL|
SCL|MLA,|MLA|IST|GRU|EZE|SCL|
SCL|MRS,|MRS|IST|GRU|EZE|SCL|
SCL|MSQ,|MSQ|IST|GRU|EZE|SCL|
SCL|MXP,|MXP|IST|GRU|EZE|SCL|
SCL|MZH,|MZH|IST|GRU|EZE|SCL|
SCL|MZR,|MZR|IST|GRU|EZE|SCL|
SCL|NAJ,|NAJ|IST|GRU|EZE|SCL|
SCL|NAV,|NAV|IST|GRU|EZE|SCL|
SCL|NCE,|NCE|IST|GRU|EZE|SCL|
SCL|NIM,|NIM|IST|GRU|EZE|SCL|
SCL|NJF,|NJF|IST|GRU|EZE|SCL|
SCL|NSI,|NSI|IST|GRU|EZE|SCL|
SCL|NUE,|NUE|IST|GRU|EZE|SCL|
SCL|ODS,|ODS|IST|GRU|EZE|SCL|
SCL|ORN,|ORN|IST|GRU|EZE|SCL|
SCL|OTP,|OTP|IST|GRU|EZE|SCL|
SCL|PRG,|PRG|IST|GRU|EZE|SCL|
SCL|PRN,|PRN|IST|GRU|EZE|SCL|
SCL|RIX,|RIX|IST|GRU|EZE|SCL|
SCL|ROV,|ROV|IST|GRU|EZE|SCL|
SCL|RTM,|RTM|IST|GRU|EZE|SCL|
SCL|RUH,|RUH|IST|GRU|EZE|SCL|
