RGN|LZO,|LZO|CSX|CAN|RGN|
RGN|MDG,|MDG|DLC|CAN|RGN|
RGN|NGO,|NGO|PVG|CAN|RGN|
RGN|TOY,|TOY|DLC|CAN|RGN|
RGN|MFM,|MFM|XMN|CAN|RGN|
RGN|TGO,|TGO|HET|CAN|RGN|
RGN|XIL,|XIL|HET|CAN|RGN|
RGN|HEK,|HEK|HRB|CAN|RGN|
RGN|KIJ,|KIJ|HRB|CAN|RGN|
RGN|LDS,|LDS|HRB|CAN|RGN|
RGN|OHE,|OHE|HRB|CAN|RGN|
RGN|HSN,|HSN|XMN|CAN|RGN|
RGN|DLU,|DLU|KMG|CAN|RGN|
RGN|SYM,|SYM|KMG|CAN|RGN|
RGN|ZAT,|ZAT|KMG|CAN|RGN|
RGN|LUN,|LUN|NBO|CAN|RGN|
RGN|AOG,|AOG|PEK|CAN|RGN|
RGN|GMP,|GMP|PEK|CAN|RGN|
RGN|ISB,|ISB|URC|CAN|RGN|
RGN|TAS,|TAS|URC|CAN|RGN|
RGN|WUS,|WUS|PEK|CAN|RGN|
RGN|JMU,|JMU|PVG|CAN|RGN|
RGN|NDG,|NDG|PVG|CAN|RGN|
RGN|JXA,|JXA|SHE|CAN|RGN|
RGN|PUS,|PUS|SHE|CAN|RGN|
RGN|BKI,|BKI|SZX|MXZ|CAN|RGN|
RGN|AKU,|AKU|URC|CAN|RGN|
RGN|ALA,|ALA|URC|CAN|RGN|
RGN|ASB,|ASB|URC|CAN|RGN|
RGN|DNH,|DNH|XIY|CAN|RGN|
RGN|DYU,|DYU|URC|CAN|RGN|
RGN|FRU,|FRU|URC|CAN|RGN|
RGN|GYD,|GYD|URC|CAN|RGN|
RGN|HTN,|HTN|URC|CAN|RGN|
RGN|IKA,|IKA|URC|CAN|RGN|
RGN|KCA,|KCA|URC|CAN|RGN|
RGN|KHG,|KHG|URC|CAN|RGN|
RGN|KRL,|KRL|URC|CAN|RGN|
RGN|KRY,|KRY|URC|CAN|RGN|
RGN|LBD,|LBD|URC|CAN|RGN|
RGN|NLT,|NLT|URC|CAN|RGN|
RGN|OSS,|OSS|URC|CAN|RGN|
RGN|OVB,|OVB|URC|CAN|RGN|
RGN|TBS,|TBS|URC|CAN|RGN|
RGN|TCG,|TCG|URC|CAN|RGN|
RGN|TSE,|TSE|URC|CAN|RGN|
RGN|YIN,|YIN|URC|CAN|RGN|
RGN|ENH,|ENH|WUH|CAN|RGN|
RGN|ENY,|ENY|XIY|CAN|RGN|
RGN|WXN,|WXN|XMN|CAN|RGN|
RGN|BLL,|BLL|IST|CAN|RGN|
RGN|ESB,|ESB|IST|CAN|RGN|
