PHL|AER,|AER|IST|IAD|PHL|
PHL|AGP,|AGP|IST|IAD|PHL|
PHL|ALG,|ALG|IST|IAD|PHL|
PHL|AMM,|AMM|IST|IAD|PHL|
PHL|AQJ,|AQJ|IST|IAD|PHL|
PHL|ARN,|ARN|EWR|IAD|PHL|
PHL|ASR,|ASR|SAW|FRA|IAD|PHL|
PHL|ATH,|ATH|IST|IAD|PHL|
PHL|BAH,|BAH|KWI|IAD|PHL|
PHL|BEG,|BEG|IST|IAD|PHL|
PHL|BEN,|BEN|IST|IAD|PHL|
PHL|BEY,|BEY|IST|IAD|PHL|
PHL|BHX,|BHX|EWR|IAD|PHL|
PHL|BIO,|BIO|IST|IAD|PHL|
PHL|BLQ,|BLQ|IST|IAD|PHL|
PHL|BOM,|BOM|EWR|IAD|PHL|
PHL|BRE,|BRE|IST|IAD|PHL|
PHL|BSL,|BSL|IST|IAD|PHL|
PHL|BSR,|BSR|IST|IAD|PHL|
PHL|BUD,|BUD|IST|IAD|PHL|
PHL|BUS,|BUS|IST|IAD|PHL|
PHL|CAI,|CAI|JFK|IAD|PHL|
PHL|CGN,|CGN|IST|IAD|PHL|
PHL|CMN,|CMN|IST|IAD|PHL|
PHL|CND,|CND|IST|IAD|PHL|
PHL|DAR,|DAR|NBO|ZRH|IAD|PHL|
PHL|DLM,|DLM|IST|IAD|PHL|
PHL|DMM,|DMM|IST|IAD|PHL|
PHL|DNK,|DNK|IST|IAD|PHL|
PHL|DNZ,|DNZ|IST|IAD|PHL|
PHL|DOK,|DOK|IST|IAD|PHL|
PHL|DUS,|DUS|EWR|IAD|PHL|
PHL|EDI,|EDI|EWR|IAD|PHL|
PHL|ELQ,|ELQ|IST|IAD|PHL|
PHL|FDH,|FDH|IST|IAD|PHL|
PHL|GOA,|GOA|IST|IAD|PHL|
PHL|GOT,|GOT|BRU|IAD|PHL|
PHL|HAJ,|HAJ|BRU|IAD|PHL|
PHL|HBE,|HBE|IST|IAD|PHL|
PHL|HEL,|HEL|IST|IAD|PHL|
PHL|HRG,|HRG|IST|IAD|PHL|
PHL|IFN,|IFN|IST|IAD|PHL|
