DAC|ERZ,|ERZ|IST|DAC|
DAC|EZS,|EZS|IST|DAC|
DAC|GNY,|GNY|IST|DAC|
DAC|GZP,|GZP|ESB|IST|DAC|
DAC|GZT,|GZT|IST|DAC|
DAC|HTY,|HTY|IST|DAC|
DAC|KCM,|KCM|IST|DAC|
DAC|KSY,|KSY|IST|DAC|
DAC|MLX,|MLX|IST|DAC|
DAC|MQM,|MQM|IST|DAC|
DAC|MSR,|MSR|IST|DAC|
DAC|TEQ,|TEQ|ESB|IST|DAC|
DAC|TZX,|TZX|IST|DAC|
DAC|VAN,|VAN|IST|DAC|
DAC|ULN,|ULN|FRU|URC|CAN|DAC|
DAC|HIJ,|HIJ|ICN|CAN|DAC|
DAC|VVO,|VVO|ICN|CAN|DAC|
DAC|ACC,|ACC|IST|DAC|
DAC|AER,|AER|IST|DAC|
DAC|AGP,|AGP|IST|DAC|
DAC|ALG,|ALG|IST|DAC|
DAC|AMM,|AMM|IST|DAC|
DAC|AQJ,|AQJ|IST|DAC|
DAC|ARN,|ARN|IST|DAC|
DAC|ASR,|ASR|IST|DAC|
DAC|ATH,|ATH|IST|DAC|
DAC|BAH,|BAH|IST|DAC|
DAC|BEG,|BEG|IST|DAC|
DAC|BEN,|BEN|IST|DAC|
DAC|BEY,|BEY|IST|DAC|
DAC|BHX,|BHX|IST|DAC|
DAC|BIO,|BIO|IST|DAC|
DAC|BLQ,|BLQ|IST|DAC|
DAC|BOM,|BOM|IST|DAC|
DAC|BRE,|BRE|IST|DAC|
DAC|BSL,|BSL|IST|DAC|
DAC|BSR,|BSR|IST|DAC|
DAC|BUD,|BUD|IST|DAC|
DAC|BUS,|BUS|IST|DAC|
DAC|CAI,|CAI|IST|DAC|
DAC|CGN,|CGN|IST|DAC|
DAC|CMN,|CMN|IST|DAC|
DAC|CND,|CND|IST|DAC|
DAC|DAR,|DAR|IST|DAC|
DAC|DLM,|DLM|IST|DAC|
DAC|DMM,|DMM|IST|DAC|
DAC|DNK,|DNK|IST|DAC|
DAC|DNZ,|DNZ|IST|DAC|
DAC|DOK,|DOK|IST|DAC|
DAC|DUS,|DUS|IST|DAC|
DAC|EDI,|EDI|IST|DAC|
DAC|ELQ,|ELQ|IST|DAC|
DAC|FDH,|FDH|IST|DAC|
DAC|GOA,|GOA|IST|DAC|
DAC|GOT,|GOT|IST|DAC|
DAC|HAJ,|HAJ|IST|DAC|
DAC|HBE,|HBE|IST|DAC|
DAC|HEL,|HEL|IST|DAC|
DAC|HRG,|HRG|IST|DAC|
DAC|IFN,|IFN|IST|DAC|
DAC|ISE,|ISE|IST|DAC|
DAC|ISU,|ISU|IST|DAC|
DAC|JIB,|JIB|IST|DAC|
DAC|JRO,|JRO|IST|DAC|
DAC|KAN,|KAN|IST|DAC|
DAC|KBL,|KBL|IST|DAC|
DAC|KBP,|KBP|IST|DAC|
DAC|KFS,|KFS|IST|DAC|
DAC|KHI,|KHI|IST|DAC|
DAC|KIV,|KIV|IST|DAC|
DAC|KRT,|KRT|IST|DAC|
DAC|KSH,|KSH|IST|DAC|
DAC|KVD,|KVD|IST|DAC|
DAC|KWI,|KWI|IST|DAC|
DAC|KYA,|KYA|IST|DAC|
DAC|KZN,|KZN|IST|DAC|
DAC|KZR,|KZR|IST|DAC|
DAC|LED,|LED|IST|DAC|
DAC|LEJ,|LEJ|IST|DAC|
DAC|LGW,|LGW|IST|DAC|
DAC|LHE,|LHE|IST|DAC|
DAC|LIS,|LIS|IST|DAC|
DAC|LJU,|LJU|IST|DAC|
DAC|LOS,|LOS|IST|DAC|
DAC|LUX,|LUX|IST|DAC|
DAC|LWO,|LWO|IST|DAC|
DAC|LYS,|LYS|IST|DAC|
DAC|MAD,|MAD|IST|DAC|
DAC|MAN,|MAN|IST|DAC|
DAC|MED,|MED|IST|DAC|
DAC|MHD,|MHD|IST|DAC|
DAC|MLA,|MLA|IST|DAC|
DAC|MRS,|MRS|IST|DAC|
DAC|MSQ,|MSQ|IST|DAC|
DAC|MXP,|MXP|IST|DAC|
DAC|MZH,|MZH|IST|DAC|
DAC|MZR,|MZR|IST|DAC|
DAC|NAJ,|NAJ|IST|DAC|
DAC|NAV,|NAV|IST|DAC|
DAC|NCE,|NCE|IST|DAC|
DAC|NIM,|NIM|IST|DAC|
DAC|NJF,|NJF|IST|DAC|
DAC|NSI,|NSI|IST|DAC|
DAC|NUE,|NUE|IST|DAC|
DAC|ODS,|ODS|IST|DAC|
DAC|ORN,|ORN|IST|DAC|
DAC|OTP,|OTP|IST|DAC|
DAC|PRG,|PRG|IST|DAC|
DAC|PRN,|PRN|IST|DAC|
DAC|RIX,|RIX|IST|DAC|
DAC|ROV,|ROV|IST|DAC|
DAC|RTM,|RTM|IST|DAC|
DAC|RUH,|RUH|IST|DAC|
DAC|SAH,|SAH|IST|DAC|
DAC|SJJ,|SJJ|IST|DAC|
DAC|SKG,|SKG|IST|DAC|
DAC|SKP,|SKP|IST|DAC|
DAC|SSH,|SSH|IST|DAC|
DAC|STR,|STR|IST|DAC|
DAC|SVX,|SVX|IST|DAC|
DAC|SYZ,|SYZ|IST|DAC|
DAC|SZG,|SZG|IST|DAC|
DAC|TBZ,|TBZ|IST|DAC|
DAC|TGD,|TGD|IST|DAC|
DAC|TIA,|TIA|IST|DAC|
DAC|TIF,|TIF|IST|DAC|
DAC|TIP,|TIP|IST|DAC|
DAC|TLL,|TLL|IST|DAC|
DAC|TLS,|TLS|IST|DAC|
DAC|TRN,|TRN|IST|DAC|
DAC|TUN,|TUN|IST|DAC|
DAC|TXL,|TXL|IST|DAC|
DAC|UFA,|UFA|IST|DAC|
DAC|VAS,|VAS|IST|DAC|
DAC|VCE,|VCE|IST|DAC|
DAC|YNB,|YNB|IST|DAC|
DAC|ZAG,|ZAG|IST|DAC|
DAC|MGQ,|MGQ|JIB|IST|DAC|
DAC|CPT,|CPT|JNB|IST|DAC|
DAC|MBA,|MBA|JRO|IST|DAC|
DAC|NDJ,|NDJ|KAN|IST|DAC|
DAC|CMB,|CMB|MLE|CAN|DAC|
DAC|ADE,|ADE|SAH|IST|DAC|
DAC|ASF,|ASF|SAW|ADB|IST|DAC|
DAC|STW,|STW|SAW|ADB|IST|DAC|
DAC|LFW,|LFW|ABJ|OUA|NIM|IST|DAC|
DAC|CEC,|CEC|SFO|PVG|CAN|DAC|
DAC|SMF,|SMF|SFO|PVG|CAN|DAC|
DAC|CDR,|CDR|AIA|DEN|YVR|CAN|DAC|
DAC|FMN,|FMN|DEN|YVR|CAN|DAC|
DAC|JST,|JST|IAD|IST|DAC|
DAC|JHW,|JHW|CLE|YYZ|IST|DAC|
DAC|SHD,|SHD|IAD|IST|DAC|
DAC|PTY,|PTY|MIA|ZRH|IST|DAC|
DAC|FNA,|FNA|BRU|IST|DAC|
DAC|SXB,|SXB|BRU|IST|DAC|
DAC|ACV,|ACV|SFO|PVG|CAN|DAC|
DAC|MGW,|MGW|IAD|IST|DAC|
DAC|ALB,|ALB|EWR|BHX|IST|DAC|
DAC|AUS,|AUS|DEN|YVR|CAN|DAC|
DAC|BFD,|BFD|CLE|YYZ|IST|DAC|
DAC|BUF,|BUF|EWR|BHX|IST|DAC|
DAC|CHS,|CHS|EWR|BHX|IST|DAC|
DAC|DAY,|DAY|CLE|YYZ|IST|DAC|
DAC|DUJ,|DUJ|CLE|YYZ|IST|DAC|
DAC|ERI,|ERI|CLE|YYZ|IST|DAC|
DAC|FKL,|FKL|CLE|YYZ|IST|DAC|
DAC|FNT,|FNT|CLE|YYZ|IST|DAC|
DAC|GRR,|GRR|CLE|YYZ|IST|DAC|
DAC|GSP,|GSP|EWR|BHX|IST|DAC|
