MLI|KBP,|KBP|IST|ORD|MLI|
MLI|KFS,|KFS|IST|ORD|MLI|
MLI|KHI,|KHI|IST|ORD|MLI|
MLI|KIV,|KIV|IST|ORD|MLI|
MLI|KRT,|KRT|IST|ORD|MLI|
MLI|KSH,|KSH|IST|ORD|MLI|
MLI|KVD,|KVD|IST|ORD|MLI|
MLI|KWI,|KWI|SAW|VIE|ORD|MLI|
MLI|KYA,|KYA|IST|ORD|MLI|
MLI|KZN,|KZN|IST|ORD|MLI|
MLI|KZR,|KZR|IST|ORD|MLI|
MLI|LED,|LED|VIE|ORD|MLI|
MLI|LEJ,|LEJ|IST|ORD|MLI|
MLI|LGW,|LGW|IST|ORD|MLI|
MLI|LHE,|LHE|IST|ORD|MLI|
MLI|LIS,|LIS|EWR|ORD|MLI|
MLI|LJU,|LJU|IST|ORD|MLI|
MLI|LOS,|LOS|FRA|ORD|MLI|
MLI|LUX,|LUX|IST|ORD|MLI|
MLI|LWO,|LWO|IST|ORD|MLI|
MLI|LYS,|LYS|IST|ORD|MLI|
MLI|MAD,|MAD|EWR|ORD|MLI|
MLI|MAN,|MAN|EWR|ORD|MLI|
MLI|MED,|MED|IST|ORD|MLI|
MLI|MHD,|MHD|IST|ORD|MLI|
MLI|MLA,|MLA|IST|ORD|MLI|
MLI|MRS,|MRS|IST|ORD|MLI|
MLI|MSQ,|MSQ|IST|ORD|MLI|
MLI|MXP,|MXP|EWR|ORD|MLI|
MLI|MZH,|MZH|IST|ORD|MLI|
MLI|MZR,|MZR|IST|ORD|MLI|
MLI|NAJ,|NAJ|IST|ORD|MLI|
MLI|NAV,|NAV|IST|ORD|MLI|
MLI|NCE,|NCE|IST|ORD|MLI|
MLI|NIM,|NIM|IST|ORD|MLI|
MLI|NJF,|NJF|IST|ORD|MLI|
MLI|NSI,|NSI|BRU|ORD|MLI|
MLI|NUE,|NUE|IST|ORD|MLI|
MLI|ODS,|ODS|IST|ORD|MLI|
MLI|ORN,|ORN|IST|ORD|MLI|
MLI|OTP,|OTP|IST|ORD|MLI|
MLI|PRG,|PRG|BRU|ORD|MLI|
MLI|PRN,|PRN|IST|ORD|MLI|
MLI|RIX,|RIX|IST|ORD|MLI|
MLI|ROV,|ROV|IST|ORD|MLI|
MLI|RTM,|RTM|IST|ORD|MLI|
MLI|RUH,|RUH|IST|ORD|MLI|
MLI|SAH,|SAH|IST|ORD|MLI|
MLI|SJJ,|SJJ|IST|ORD|MLI|
MLI|SKG,|SKG|IST|ORD|MLI|
MLI|SKP,|SKP|IST|ORD|MLI|
MLI|SSH,|SSH|IST|ORD|MLI|
MLI|STR,|STR|EWR|ORD|MLI|
MLI|SVX,|SVX|IST|ORD|MLI|
MLI|SYZ,|SYZ|IST|ORD|MLI|
MLI|SZG,|SZG|IST|ORD|MLI|
MLI|TBZ,|TBZ|IST|ORD|MLI|
MLI|TGD,|TGD|IST|ORD|MLI|
MLI|TIA,|TIA|IST|ORD|MLI|
MLI|TIF,|TIF|IST|ORD|MLI|
MLI|TIP,|TIP|IST|ORD|MLI|
MLI|TLL,|TLL|VNO|CPH|YYZ|ORD|MLI|
MLI|TLS,|TLS|IST|ORD|MLI|
MLI|TRN,|TRN|IST|ORD|MLI|
MLI|TUN,|TUN|IST|ORD|MLI|
MLI|TXL,|TXL|EWR|ORD|MLI|
MLI|UFA,|UFA|IST|ORD|MLI|
MLI|VAS,|VAS|SAW|VIE|ORD|MLI|
MLI|VCE,|VCE|IST|ORD|MLI|
MLI|YNB,|YNB|IST|ORD|MLI|
MLI|ZAG,|ZAG|IST|ORD|MLI|
MLI|MGQ,|MGQ|JIB|IST|ORD|MLI|
MLI|CPT,|CPT|JNB|DKR|IAD|ORD|MLI|
MLI|MBA,|MBA|JRO|IST|ORD|MLI|
MLI|NDJ,|NDJ|KAN|IST|ORD|MLI|
MLI|CMB,|CMB|MLE|IST|ORD|MLI|
MLI|ADE,|ADE|SAH|IST|ORD|MLI|
