HDN|HAM,|HAM|EWR|DEN|HDN|
HDN|HRE,|HRE|ADD|JED|FRA|DEN|HDN|
HDN|JUB,|JUB|CAI|IST|FRA|DEN|HDN|
HDN|SSG,|SSG|DLA|BRU|ORD|DEN|HDN|
HDN|BGW,|BGW|ESB|FRA|DEN|HDN|
HDN|EBL,|EBL|IST|FRA|DEN|HDN|
HDN|VKO,|VKO|IST|FRA|DEN|HDN|
HDN|MCT,|MCT|IST|FRA|DEN|HDN|
HDN|AYT,|AYT|IST|FRA|DEN|HDN|
HDN|SCQ,|SCQ|BIO|IST|FRA|DEN|HDN|
HDN|AAL,|AAL|IST|FRA|DEN|HDN|
HDN|AOE,|AOE|BRU|ORD|DEN|HDN|
HDN|JNB,|JNB|DKR|IAD|DEN|HDN|
HDN|LBV,|LBV|DLA|BRU|ORD|DEN|HDN|
HDN|ADA,|ADA|SAW|FRA|DEN|HDN|
HDN|ADB,|ADB|IST|FRA|DEN|HDN|
HDN|ADF,|ADF|ESB|FRA|DEN|HDN|
HDN|AJI,|AJI|ESB|FRA|DEN|HDN|
HDN|BAL,|BAL|ESB|FRA|DEN|HDN|
HDN|BJV,|BJV|IST|FRA|DEN|HDN|
HDN|CKZ,|CKZ|ESB|FRA|DEN|HDN|
HDN|DIY,|DIY|ESB|FRA|DEN|HDN|
HDN|ECN,|ECN|IST|FRA|DEN|HDN|
HDN|ERC,|ERC|ESB|FRA|DEN|HDN|
HDN|ERZ,|ERZ|ESB|FRA|DEN|HDN|
HDN|EZS,|EZS|ESB|FRA|DEN|HDN|
HDN|GNY,|GNY|ESB|FRA|DEN|HDN|
HDN|GZP,|GZP|ESB|FRA|DEN|HDN|
HDN|GZT,|GZT|ESB|FRA|DEN|HDN|
HDN|HTY,|HTY|SAW|FRA|DEN|HDN|
HDN|KCM,|KCM|ESB|FRA|DEN|HDN|
HDN|KSY,|KSY|ESB|FRA|DEN|HDN|
HDN|MLX,|MLX|ESB|FRA|DEN|HDN|
HDN|MQM,|MQM|ESB|FRA|DEN|HDN|
HDN|MSR,|MSR|ESB|FRA|DEN|HDN|
HDN|TEQ,|TEQ|ESB|FRA|DEN|HDN|
