MFE|DNH,|DNH|XIY|PEK|IAH|MFE|
MFE|DYU,|DYU|IST|IAH|MFE|
MFE|FRU,|FRU|IST|IAH|MFE|
MFE|GYD,|GYD|FRA|IAH|MFE|
MFE|HTN,|HTN|URC|PEK|IAH|MFE|
MFE|IKA,|IKA|SAW|VIE|YYZ|IAH|MFE|
MFE|KCA,|KCA|URC|PEK|IAH|MFE|
MFE|KHG,|KHG|URC|PEK|IAH|MFE|
MFE|KRL,|KRL|URC|PEK|IAH|MFE|
MFE|KRY,|KRY|URC|PEK|IAH|MFE|
MFE|LBD,|LBD|URC|PEK|IAH|MFE|
MFE|NLT,|NLT|URC|PEK|IAH|MFE|
MFE|OSS,|OSS|IST|IAH|MFE|
MFE|OVB,|OVB|IST|IAH|MFE|
MFE|TBS,|TBS|SAW|VIE|YYZ|IAH|MFE|
MFE|TCG,|TCG|URC|PEK|IAH|MFE|
MFE|TSE,|TSE|FRA|IAH|MFE|
MFE|YIN,|YIN|URC|PEK|IAH|MFE|
MFE|ENH,|ENH|WUH|PEK|IAH|MFE|
MFE|ENY,|ENY|XIY|PEK|IAH|MFE|
MFE|WXN,|WXN|XIY|PEK|IAH|MFE|
MFE|BLL,|BLL|IST|IAH|MFE|
MFE|ESB,|ESB|VIE|YYZ|IAH|MFE|
MFE|SAW,|SAW|VIE|YYZ|IAH|MFE|
MFE|HAM,|HAM|EWR|IAH|MFE|
MFE|HRE,|HRE|ADD|JED|FRA|IAH|MFE|
MFE|JUB,|JUB|CAI|JFK|IAD|IAH|MFE|
MFE|SSG,|SSG|DLA|BRU|YUL|IAH|MFE|
MFE|BGW,|BGW|ESB|VIE|YYZ|IAH|MFE|
MFE|EBL,|EBL|IST|IAH|MFE|
MFE|VKO,|VKO|IST|IAH|MFE|
MFE|MCT,|MCT|AUH|YYZ|IAH|MFE|
MFE|AYT,|AYT|IST|IAH|MFE|
MFE|SCQ,|SCQ|BIO|IST|IAH|MFE|
MFE|AAL,|AAL|IST|IAH|MFE|
MFE|AOE,|AOE|BRU|YUL|IAH|MFE|
MFE|JNB,|JNB|DKR|IAD|IAH|MFE|
MFE|LBV,|LBV|DLA|BRU|YUL|IAH|MFE|
MFE|ADA,|ADA|SAW|VIE|YYZ|IAH|MFE|
MFE|ADB,|ADB|HAM|EWR|IAH|MFE|
MFE|ADF,|ADF|ESB|VIE|YYZ|IAH|MFE|
MFE|AJI,|AJI|ESB|VIE|YYZ|IAH|MFE|
MFE|BAL,|BAL|ESB|VIE|YYZ|IAH|MFE|
MFE|BJV,|BJV|IST|IAH|MFE|
MFE|CKZ,|CKZ|ESB|VIE|YYZ|IAH|MFE|
MFE|DIY,|DIY|ESB|VIE|YYZ|IAH|MFE|
MFE|ECN,|ECN|IST|IAH|MFE|
MFE|ERC,|ERC|ESB|VIE|YYZ|IAH|MFE|
MFE|ERZ,|ERZ|ESB|VIE|YYZ|IAH|MFE|
MFE|EZS,|EZS|ESB|VIE|YYZ|IAH|MFE|
MFE|GNY,|GNY|ESB|VIE|YYZ|IAH|MFE|
MFE|GZP,|GZP|ESB|VIE|YYZ|IAH|MFE|
MFE|GZT,|GZT|ESB|VIE|YYZ|IAH|MFE|
MFE|HTY,|HTY|SAW|VIE|YYZ|IAH|MFE|
MFE|KCM,|KCM|ESB|VIE|YYZ|IAH|MFE|
MFE|KSY,|KSY|ESB|VIE|YYZ|IAH|MFE|
MFE|MLX,|MLX|ESB|VIE|YYZ|IAH|MFE|
MFE|MQM,|MQM|ESB|VIE|YYZ|IAH|MFE|
MFE|MSR,|MSR|ESB|VIE|YYZ|IAH|MFE|
MFE|TEQ,|TEQ|ESB|VIE|YYZ|IAH|MFE|
MFE|TZX,|TZX|ESB|VIE|YYZ|IAH|MFE|
MFE|VAN,|VAN|ESB|VIE|YYZ|IAH|MFE|
MFE|ULN,|ULN|FRU|IST|IAH|MFE|
MFE|HIJ,|HIJ|ICN|YVR|IAH|MFE|
MFE|VVO,|VVO|ICN|YVR|IAH|MFE|
MFE|ACC,|ACC|IST|IAH|MFE|
MFE|AER,|AER|IST|IAH|MFE|
MFE|AGP,|AGP|IST|IAH|MFE|
MFE|ALG,|ALG|IST|IAH|MFE|
MFE|AMM,|AMM|IST|IAH|MFE|
MFE|AQJ,|AQJ|IST|IAH|MFE|
MFE|ARN,|ARN|EWR|IAH|MFE|
MFE|ASR,|ASR|SAW|VIE|YYZ|IAH|MFE|
MFE|ATH,|ATH|IST|IAH|MFE|
MFE|BAH,|BAH|IST|IAH|MFE|
MFE|BEG,|BEG|IST|IAH|MFE|
MFE|BEN,|BEN|IST|IAH|MFE|
MFE|BEY,|BEY|IST|IAH|MFE|
MFE|BHX,|BHX|EWR|IAH|MFE|
MFE|BIO,|BIO|IST|IAH|MFE|
MFE|BLQ,|BLQ|IST|IAH|MFE|
MFE|BOM,|BOM|EWR|IAH|MFE|
MFE|BRE,|BRE|IST|IAH|MFE|
MFE|BSL,|BSL|IST|IAH|MFE|
