CMH|TIF,|TIF|IST|YYZ|CMH|
CMH|TIP,|TIP|IST|YYZ|CMH|
CMH|TLL,|TLL|VNO|CPH|YYZ|CMH|
CMH|TLS,|TLS|IST|YYZ|CMH|
CMH|TRN,|TRN|IST|YYZ|CMH|
CMH|TUN,|TUN|IST|YYZ|CMH|
CMH|TXL,|TXL|EWR|CMH|
CMH|UFA,|UFA|IST|YYZ|CMH|
CMH|VAS,|VAS|SAW|VIE|YYZ|CMH|
CMH|VCE,|VCE|IST|YYZ|CMH|
CMH|YNB,|YNB|IST|YYZ|CMH|
CMH|ZAG,|ZAG|IST|YYZ|CMH|
CMH|MGQ,|MGQ|JIB|IST|YYZ|CMH|
CMH|CPT,|CPT|JNB|DKR|IAD|CMH|
CMH|MBA,|MBA|JRO|IST|YYZ|CMH|
CMH|NDJ,|NDJ|KAN|IST|YYZ|CMH|
CMH|CMB,|CMB|MLE|IST|YYZ|CMH|
CMH|ADE,|ADE|SAH|IST|YYZ|CMH|
CMH|ASF,|ASF|SAW|VIE|YYZ|CMH|
