HEK|TSE,|TSE|URC|PEK|HRB|HEK|
HEK|YIN,|YIN|URC|PEK|HRB|HEK|
HEK|ENH,|ENH|WUH|TNA|HRB|HEK|
HEK|ENY,|ENY|XIY|HRB|HEK|
HEK|WXN,|WXN|XIY|HRB|HEK|
HEK|BLL,|BLL|IST|PEK|HRB|HEK|
HEK|ESB,|ESB|IST|PEK|HRB|HEK|
HEK|SAW,|SAW|TBS|URC|PEK|HRB|HEK|
HEK|HAM,|HAM|IST|PEK|HRB|HEK|
HEK|HRE,|HRE|ADD|IST|PEK|HRB|HEK|
HEK|JUB,|JUB|CAI|IST|PEK|HRB|HEK|
HEK|SSG,|SSG|DLA|IST|PEK|HRB|HEK|
HEK|BGW,|BGW|IST|PEK|HRB|HEK|
HEK|EBL,|EBL|IST|PEK|HRB|HEK|
HEK|VKO,|VKO|IST|PEK|HRB|HEK|
HEK|MCT,|MCT|IST|PEK|HRB|HEK|
HEK|AYT,|AYT|IST|PEK|HRB|HEK|
HEK|SCQ,|SCQ|BIO|IST|PEK|HRB|HEK|
HEK|AAL,|AAL|IST|PEK|HRB|HEK|
HEK|AOE,|AOE|BRU|IST|PEK|HRB|HEK|
HEK|JNB,|JNB|IST|PEK|HRB|HEK|
HEK|LBV,|LBV|DLA|IST|PEK|HRB|HEK|
HEK|ADA,|ADA|IST|PEK|HRB|HEK|
HEK|ADB,|ADB|IST|PEK|HRB|HEK|
HEK|ADF,|ADF|IST|PEK|HRB|HEK|
HEK|AJI,|AJI|IST|PEK|HRB|HEK|
HEK|BAL,|BAL|IST|PEK|HRB|HEK|
HEK|BJV,|BJV|IST|PEK|HRB|HEK|
HEK|CKZ,|CKZ|ESB|IST|PEK|HRB|HEK|
HEK|DIY,|DIY|IST|PEK|HRB|HEK|
HEK|ECN,|ECN|IST|PEK|HRB|HEK|
HEK|ERC,|ERC|IST|PEK|HRB|HEK|
HEK|ERZ,|ERZ|IST|PEK|HRB|HEK|
HEK|EZS,|EZS|IST|PEK|HRB|HEK|
HEK|GNY,|GNY|IST|PEK|HRB|HEK|
HEK|GZP,|GZP|ESB|IST|PEK|HRB|HEK|
HEK|GZT,|GZT|IST|PEK|HRB|HEK|
HEK|HTY,|HTY|IST|PEK|HRB|HEK|
HEK|KCM,|KCM|IST|PEK|HRB|HEK|
HEK|KSY,|KSY|IST|PEK|HRB|HEK|
HEK|MLX,|MLX|IST|PEK|HRB|HEK|
HEK|MQM,|MQM|IST|PEK|HRB|HEK|
HEK|MSR,|MSR|IST|PEK|HRB|HEK|
HEK|TEQ,|TEQ|ESB|IST|PEK|HRB|HEK|
HEK|TZX,|TZX|IST|PEK|HRB|HEK|
HEK|VAN,|VAN|IST|PEK|HRB|HEK|
HEK|ULN,|ULN|FRU|URC|PEK|HRB|HEK|
HEK|HIJ,|HIJ|ICN|HRB|HEK|
HEK|VVO,|VVO|ICN|HRB|HEK|
HEK|ACC,|ACC|IST|PEK|HRB|HEK|
HEK|AER,|AER|IST|PEK|HRB|HEK|
HEK|AGP,|AGP|IST|PEK|HRB|HEK|
HEK|ALG,|ALG|IST|PEK|HRB|HEK|
HEK|AMM,|AMM|IST|PEK|HRB|HEK|
HEK|AQJ,|AQJ|IST|PEK|HRB|HEK|
HEK|ARN,|ARN|IST|PEK|HRB|HEK|
HEK|ASR,|ASR|IST|PEK|HRB|HEK|
HEK|ATH,|ATH|IST|PEK|HRB|HEK|
HEK|BAH,|BAH|IST|PEK|HRB|HEK|
HEK|BEG,|BEG|IST|PEK|HRB|HEK|
HEK|BEN,|BEN|IST|PEK|HRB|HEK|
HEK|BEY,|BEY|IST|PEK|HRB|HEK|
HEK|BHX,|BHX|IST|PEK|HRB|HEK|
HEK|BIO,|BIO|IST|PEK|HRB|HEK|
HEK|BLQ,|BLQ|IST|PEK|HRB|HEK|
HEK|BOM,|BOM|IST|PEK|HRB|HEK|
HEK|BRE,|BRE|IST|PEK|HRB|HEK|
HEK|BSL,|BSL|IST|PEK|HRB|HEK|
HEK|BSR,|BSR|IST|PEK|HRB|HEK|
HEK|BUD,|BUD|IST|PEK|HRB|HEK|
HEK|BUS,|BUS|IST|PEK|HRB|HEK|
HEK|CAI,|CAI|IST|PEK|HRB|HEK|
HEK|CGN,|CGN|IST|PEK|HRB|HEK|
HEK|CMN,|CMN|IST|PEK|HRB|HEK|
HEK|CND,|CND|IST|PEK|HRB|HEK|
HEK|DAR,|DAR|NBO|CAN|HRB|HEK|
HEK|DLM,|DLM|IST|PEK|HRB|HEK|
HEK|DMM,|DMM|IST|PEK|HRB|HEK|
HEK|DNK,|DNK|IST|PEK|HRB|HEK|
HEK|DNZ,|DNZ|IST|PEK|HRB|HEK|
HEK|DOK,|DOK|IST|PEK|HRB|HEK|
HEK|DUS,|DUS|IST|PEK|HRB|HEK|
HEK|EDI,|EDI|IST|PEK|HRB|HEK|
HEK|ELQ,|ELQ|IST|PEK|HRB|HEK|
HEK|FDH,|FDH|IST|PEK|HRB|HEK|
HEK|GOA,|GOA|IST|PEK|HRB|HEK|
HEK|GOT,|GOT|IST|PEK|HRB|HEK|
HEK|HAJ,|HAJ|IST|PEK|HRB|HEK|
HEK|HBE,|HBE|IST|PEK|HRB|HEK|
HEK|HEL,|HEL|IST|PEK|HRB|HEK|
HEK|HRG,|HRG|IST|PEK|HRB|HEK|
HEK|IFN,|IFN|IST|PEK|HRB|HEK|
HEK|ISE,|ISE|IST|PEK|HRB|HEK|
HEK|ISU,|ISU|IST|PEK|HRB|HEK|
HEK|JIB,|JIB|IST|PEK|HRB|HEK|
HEK|JRO,|JRO|IST|PEK|HRB|HEK|
HEK|KAN,|KAN|IST|PEK|HRB|HEK|
HEK|KBL,|KBL|IST|PEK|HRB|HEK|
HEK|KBP,|KBP|IST|PEK|HRB|HEK|
HEK|KFS,|KFS|IST|PEK|HRB|HEK|
HEK|KHI,|KHI|IST|PEK|HRB|HEK|
HEK|KIV,|KIV|IST|PEK|HRB|HEK|
HEK|KRT,|KRT|IST|PEK|HRB|HEK|
HEK|KSH,|KSH|IST|PEK|HRB|HEK|
HEK|KVD,|KVD|IST|PEK|HRB|HEK|
HEK|KWI,|KWI|IST|PEK|HRB|HEK|
HEK|KYA,|KYA|IST|PEK|HRB|HEK|
HEK|KZN,|KZN|IST|PEK|HRB|HEK|
HEK|KZR,|KZR|IST|PEK|HRB|HEK|
HEK|LED,|LED|IST|PEK|HRB|HEK|
HEK|LEJ,|LEJ|IST|PEK|HRB|HEK|
HEK|LGW,|LGW|IST|PEK|HRB|HEK|
HEK|LHE,|LHE|IST|PEK|HRB|HEK|
HEK|LIS,|LIS|IST|PEK|HRB|HEK|
HEK|LJU,|LJU|IST|PEK|HRB|HEK|
HEK|LOS,|LOS|IST|PEK|HRB|HEK|
HEK|LUX,|LUX|IST|PEK|HRB|HEK|
HEK|LWO,|LWO|IST|PEK|HRB|HEK|
HEK|LYS,|LYS|IST|PEK|HRB|HEK|
HEK|MAD,|MAD|IST|PEK|HRB|HEK|
HEK|MAN,|MAN|IST|PEK|HRB|HEK|
HEK|MED,|MED|IST|PEK|HRB|HEK|
HEK|MHD,|MHD|IST|PEK|HRB|HEK|
HEK|MLA,|MLA|IST|PEK|HRB|HEK|
HEK|MRS,|MRS|IST|PEK|HRB|HEK|
HEK|MSQ,|MSQ|IST|PEK|HRB|HEK|
HEK|MXP,|MXP|IST|PEK|HRB|HEK|
HEK|MZH,|MZH|IST|PEK|HRB|HEK|
HEK|MZR,|MZR|IST|PEK|HRB|HEK|
HEK|NAJ,|NAJ|IST|PEK|HRB|HEK|
HEK|NAV,|NAV|IST|PEK|HRB|HEK|
