MIA|CGN,|CGN|IST|ZRH|MIA|
MIA|CMN,|CMN|IST|ZRH|MIA|
MIA|CND,|CND|IST|ZRH|MIA|
MIA|DAR,|DAR|NBO|ZRH|MIA|
MIA|DLM,|DLM|IST|ZRH|MIA|
MIA|DMM,|DMM|IST|ZRH|MIA|
MIA|DNK,|DNK|IST|ZRH|MIA|
MIA|DNZ,|DNZ|IST|ZRH|MIA|
MIA|DOK,|DOK|IST|ZRH|MIA|
MIA|DUS,|DUS|EWR|MIA|
MIA|EDI,|EDI|EWR|MIA|
MIA|ELQ,|ELQ|IST|ZRH|MIA|
MIA|FDH,|FDH|IST|ZRH|MIA|
MIA|GOA,|GOA|IST|ZRH|MIA|
MIA|GOT,|GOT|BRU|EWR|MIA|
MIA|HAJ,|HAJ|BRU|EWR|MIA|
MIA|HBE,|HBE|IST|ZRH|MIA|
MIA|HEL,|HEL|IST|ZRH|MIA|
MIA|HRG,|HRG|IST|ZRH|MIA|
MIA|IFN,|IFN|IST|ZRH|MIA|
MIA|ISE,|ISE|IST|ZRH|MIA|
MIA|ISU,|ISU|IST|ZRH|MIA|
MIA|JIB,|JIB|IST|ZRH|MIA|
MIA|JRO,|JRO|IST|ZRH|MIA|
MIA|KAN,|KAN|IST|ZRH|MIA|
MIA|KBL,|KBL|IST|ZRH|MIA|
MIA|KBP,|KBP|IST|ZRH|MIA|
MIA|KFS,|KFS|IST|ZRH|MIA|
MIA|KHI,|KHI|IST|ZRH|MIA|
MIA|KIV,|KIV|IST|ZRH|MIA|
MIA|KRT,|KRT|IST|ZRH|MIA|
MIA|KSH,|KSH|IST|ZRH|MIA|
MIA|KVD,|KVD|IST|ZRH|MIA|
MIA|KWI,|KWI|IST|ZRH|MIA|
MIA|KYA,|KYA|IST|ZRH|MIA|
MIA|KZN,|KZN|IST|ZRH|MIA|
MIA|KZR,|KZR|IST|ZRH|MIA|
MIA|LED,|LED|VIE|IAD|MIA|
MIA|LEJ,|LEJ|IST|ZRH|MIA|
MIA|LGW,|LGW|IST|ZRH|MIA|
MIA|LHE,|LHE|IST|ZRH|MIA|
MIA|LIS,|LIS|MIA|
MIA|LJU,|LJU|IST|ZRH|MIA|
MIA|LOS,|LOS|IAH|MIA|
MIA|LUX,|LUX|IST|ZRH|MIA|
MIA|LWO,|LWO|IST|ZRH|MIA|
MIA|LYS,|LYS|IST|ZRH|MIA|
MIA|MAD,|MAD|EWR|MIA|
MIA|MAN,|MAN|EWR|MIA|
MIA|MED,|MED|IST|ZRH|MIA|
MIA|MHD,|MHD|IST|ZRH|MIA|
MIA|MLA,|MLA|IST|ZRH|MIA|
MIA|MRS,|MRS|IST|ZRH|MIA|
MIA|MSQ,|MSQ|IST|ZRH|MIA|
MIA|MXP,|MXP|EWR|MIA|
MIA|MZH,|MZH|IST|ZRH|MIA|
MIA|MZR,|MZR|IST|ZRH|MIA|
MIA|NAJ,|NAJ|IST|ZRH|MIA|
MIA|NAV,|NAV|IST|ZRH|MIA|
MIA|NCE,|NCE|IST|ZRH|MIA|
MIA|NIM,|NIM|IST|ZRH|MIA|
MIA|NJF,|NJF|IST|ZRH|MIA|
MIA|NSI,|NSI|BRU|EWR|MIA|
MIA|NUE,|NUE|IST|ZRH|MIA|
MIA|ODS,|ODS|IST|ZRH|MIA|
MIA|ORN,|ORN|IST|ZRH|MIA|
MIA|OTP,|OTP|IST|ZRH|MIA|
MIA|PRG,|PRG|BRU|EWR|MIA|
MIA|PRN,|PRN|IST|ZRH|MIA|
MIA|RIX,|RIX|IST|ZRH|MIA|
MIA|ROV,|ROV|IST|ZRH|MIA|
MIA|RTM,|RTM|IST|ZRH|MIA|
MIA|RUH,|RUH|IST|ZRH|MIA|
MIA|SAH,|SAH|IST|ZRH|MIA|
MIA|SJJ,|SJJ|IST|ZRH|MIA|
MIA|SKG,|SKG|IST|ZRH|MIA|
MIA|SKP,|SKP|IST|ZRH|MIA|
MIA|SSH,|SSH|IST|ZRH|MIA|
MIA|STR,|STR|EWR|MIA|
MIA|SVX,|SVX|IST|ZRH|MIA|
MIA|SYZ,|SYZ|IST|ZRH|MIA|
MIA|SZG,|SZG|IST|ZRH|MIA|
MIA|TBZ,|TBZ|IST|ZRH|MIA|
MIA|TGD,|TGD|IST|ZRH|MIA|
MIA|TIA,|TIA|IST|ZRH|MIA|
MIA|TIF,|TIF|IST|ZRH|MIA|
MIA|TIP,|TIP|IST|ZRH|MIA|
MIA|TLL,|TLL|VNO|FRA|MIA|
MIA|TLS,|TLS|IST|ZRH|MIA|
MIA|TRN,|TRN|IST|ZRH|MIA|
MIA|TUN,|TUN|IST|ZRH|MIA|
MIA|TXL,|TXL|EWR|MIA|
MIA|UFA,|UFA|IST|ZRH|MIA|
MIA|VAS,|VAS|IST|ZRH|MIA|
MIA|VCE,|VCE|IST|ZRH|MIA|
MIA|YNB,|YNB|IST|ZRH|MIA|
MIA|ZAG,|ZAG|IST|ZRH|MIA|
MIA|MGQ,|MGQ|JIB|IST|ZRH|MIA|
MIA|CPT,|CPT|JNB|DKR|IAD|MIA|
MIA|MBA,|MBA|JRO|IST|ZRH|MIA|
MIA|NDJ,|NDJ|KAN|IST|ZRH|MIA|
MIA|CMB,|CMB|MLE|IST|ZRH|MIA|
MIA|ADE,|ADE|SAH|IST|ZRH|MIA|
MIA|ASF,|ASF|SAW|FRA|MIA|
MIA|STW,|STW|SAW|FRA|MIA|
MIA|LFW,|LFW|ABJ|BRU|EWR|MIA|
