HPN|DIG,|DIG|KMG|PEK|ORD|HPN|
HPN|DLC,|DLC|PEK|ORD|HPN|
HPN|DPS,|DPS|SZX|PEK|ORD|HPN|
HPN|DXB,|DXB|IST|ORD|HPN|
HPN|DYG,|DYG|PEK|ORD|HPN|
HPN|FUG,|FUG|CAN|PEK|ORD|HPN|
HPN|FUK,|FUK|ICN|YVR|ORD|HPN|
HPN|HAK,|HAK|PEK|ORD|HPN|
HPN|HAN,|HAN|PEK|ORD|HPN|
HPN|HDG,|HDG|CAN|PEK|ORD|HPN|
HPN|HET,|HET|DLC|PEK|ORD|HPN|
HPN|HFE,|HFE|XIY|PEK|ORD|HPN|
HPN|HJJ,|HJJ|CSX|PEK|ORD|HPN|
HPN|HKT,|HKT|KWE|PEK|ORD|HPN|
HPN|HRB,|HRB|PEK|ORD|HPN|
HPN|HZH,|HZH|CAN|PEK|ORD|HPN|
HPN|JIU,|JIU|CAN|PEK|ORD|HPN|
HPN|JJN,|JJN|PEK|ORD|HPN|
HPN|JNG,|JNG|CAN|PEK|ORD|HPN|
HPN|KHN,|KHN|DLC|PEK|ORD|HPN|
HPN|KIX,|KIX|SFO|ORD|HPN|
HPN|KOW,|KOW|PEK|ORD|HPN|
HPN|KTM,|KTM|IST|ORD|HPN|
HPN|KUL,|KUL|CAN|PEK|ORD|HPN|
HPN|KWE,|KWE|PEK|ORD|HPN|
HPN|KWL,|KWL|PEK|ORD|HPN|
HPN|LHW,|LHW|CGO|PEK|ORD|HPN|
HPN|LYA,|LYA|KHN|DLC|PEK|ORD|HPN|
HPN|LYG,|LYG|HSN|PEK|ORD|HPN|
HPN|LZH,|LZH|CAN|PEK|ORD|HPN|
HPN|MEL,|MEL|SYD|LAX|ORD|HPN|
HPN|MIG,|MIG|CSX|PEK|ORD|HPN|
HPN|MLE,|MLE|IST|ORD|HPN|
HPN|MNL,|MNL|XMN|PEK|ORD|HPN|
HPN|MXZ,|MXZ|CAN|PEK|ORD|HPN|
HPN|NAO,|NAO|PEK|ORD|HPN|
HPN|NGB,|NGB|PEK|ORD|HPN|
HPN|NKG,|NKG|DLC|PEK|ORD|HPN|
HPN|NNY,|NNY|CGO|PEK|ORD|HPN|
HPN|PEN,|PEN|CAN|PEK|ORD|HPN|
HPN|PER,|PER|CAN|PEK|ORD|HPN|
HPN|PNH,|PNH|CAN|PEK|ORD|HPN|
HPN|REP,|REP|CAN|PEK|ORD|HPN|
HPN|RGN,|RGN|CAN|PEK|ORD|HPN|
HPN|SGN,|SGN|CAN|PEK|ORD|HPN|
HPN|SHA,|SHA|PEK|ORD|HPN|
HPN|SIN,|SIN|HKG|ORD|HPN|
HPN|SVO,|SVO|URC|TSE|FRA|ORD|HPN|
HPN|SYX,|SYX|PEK|ORD|HPN|
HPN|TAO,|TAO|DLC|PEK|ORD|HPN|
HPN|TEN,|TEN|PEK|ORD|HPN|
HPN|TNA,|TNA|DLC|PEK|ORD|HPN|
HPN|TPE,|TPE|PVG|ORD|HPN|
HPN|TSN,|TSN|DLC|PEK|ORD|HPN|
HPN|TXN,|TXN|DLC|PEK|ORD|HPN|
HPN|TYN,|TYN|DAT|CIH|PEK|ORD|HPN|
HPN|WNZ,|WNZ|CGO|PEK|ORD|HPN|
HPN|WUX,|WUX|CAN|PEK|ORD|HPN|
HPN|XFN,|XFN|XMN|PEK|ORD|HPN|
HPN|XIY,|XIY|PEK|ORD|HPN|
HPN|XUZ,|XUZ|LYG|HSN|PEK|ORD|HPN|
HPN|YIH,|YIH|CKG|PEK|ORD|HPN|
HPN|YIW,|YIW|PEK|ORD|HPN|
HPN|YNT,|YNT|SHE|PEK|ORD|HPN|
HPN|YNZ,|YNZ|DLC|PEK|ORD|HPN|
HPN|YTY,|YTY|DLC|PEK|ORD|HPN|
